wavelength,k
2.066e-16,2.139
2.101e-16,2.185
2.138e-16,2.21
2.175e-16,2.235
2.214e-16,2.275
2.254e-16,2.333
2.296e-16,2.394
2.339e-16,2.435
2.384e-16,2.444
2.431e-16,2.43
2.48e-16,2.441
2.53e-16,2.495
2.583e-16,2.576
2.638e-16,2.669
2.695e-16,2.776
2.755e-16,2.894
2.818e-16,3.034
2.883e-16,3.209
2.952e-16,3.433
3.024e-16,3.666
3.1e-16,3.694
3.179e-16,3.479
3.263e-16,3.204
3.351e-16,2.933
3.444e-16,2.705
3.542e-16,2.517
3.647e-16,2.369
3.757e-16,2.217
3.875e-16,2.093
3.999e-16,2.015
4.133e-16,1.994
4.275e-16,2.004
4.428e-16,2.036
4.592e-16,2.083
4.769e-16,2.145
4.959e-16,2.221
5.166e-16,2.287
5.391e-16,2.06
5.636e-16,1.85
5.904e-16,1.77
6.199e-16,1.773
6.525e-16,1.873
6.888e-16,1.396
7.293e-16,0.949
7.749e-16,0.749
8.266e-16,0.643
