wavelength,n
2.066e-16,0.861
2.101e-16,0.922
2.138e-16,0.969
2.175e-16,1.0
2.214e-16,1.025
2.254e-16,1.057
2.296e-16,1.116
2.339e-16,1.194
2.384e-16,1.27
2.431e-16,1.309
2.48e-16,1.307
2.53e-16,1.301
2.583e-16,1.312
2.638e-16,1.341
2.695e-16,1.385
2.755e-16,1.443
2.818e-16,1.515
2.883e-16,1.618
2.952e-16,1.791
3.024e-16,2.127
3.1e-16,2.632
3.179e-16,3.044
3.263e-16,3.287
3.351e-16,3.427
3.444e-16,3.485
3.542e-16,3.511
3.647e-16,3.52
3.757e-16,3.525
3.875e-16,3.482
3.999e-16,3.419
4.133e-16,3.366
4.275e-16,3.342
4.428e-16,3.345
4.592e-16,3.377
4.769e-16,3.447
4.959e-16,3.57
5.166e-16,3.822
5.391e-16,4.111
5.636e-16,4.135
5.904e-16,4.136
6.199e-16,4.194
6.525e-16,4.433
6.888e-16,4.909
7.293e-16,4.754
7.749e-16,4.568
8.266e-16,4.418
