wavelength,k
2.36e-09,0.00521
3.16e-09,0.00317
4.47e-09,0.0109
6.76e-09,0.0139
1.14e-08,0.0186
1.355e-08,0.0532
1.714e-08,0.175
2.43e-08,0.226
2.563e-08,0.17
3.038e-08,0.159
3.27e-08,0.208
3.568e-08,0.323
3.793e-08,0.413
4.059e-08,0.534
4.478e-08,0.613
4.607e-08,0.662
4.895e-08,0.753
5.391e-08,0.911
5.843e-08,0.999
6.163e-08,0.986
6.714e-08,1.0
7.185e-08,0.805
7.359e-08,0.865
7.437e-08,0.856
8.345e-08,0.885
8.78e-08,0.934
9.198e-08,0.953
9.321e-08,0.951
9.888e-08,1.04
1.0258e-07,1.05
1.0482e-07,1.1
1.0667e-07,1.09
1.0857e-07,1.16
1.135e-07,1.16
1.2007e-07,1.12
1.2157e-07,1.13
