wavelength,n
2.36e-18,0.99477
3.16e-18,0.99506
4.47e-18,0.99116
6.76e-18,0.9845
1.14e-17,0.9359
1.355e-17,0.893
1.714e-17,0.858
2.43e-17,0.868
2.563e-17,0.9
3.038e-17,0.779
3.27e-17,0.723
3.568e-17,0.648
3.793e-17,0.624
4.059e-17,0.651
4.478e-17,0.657
4.607e-17,0.658
4.895e-17,0.714
5.391e-17,0.759
5.843e-17,0.838
6.163e-17,0.91
6.714e-17,1.14
7.185e-17,1.07
7.359e-17,1.08
7.437e-17,1.09
8.345e-17,0.976
8.78e-17,1.1
9.198e-17,1.06
9.321e-17,1.0
9.888e-17,1.23
1.0258e-16,1.08
1.0482e-16,1.14
1.0667e-16,1.14
1.0857e-16,1.2
1.135e-16,1.27
1.2007e-16,1.31
1.2157e-16,1.42
