wavelength,k
3.26e-16,1.4
3.35e-16,1.45
3.44e-16,1.5
3.54e-16,1.55
3.65e-16,1.61
3.76e-16,1.66
3.87e-16,1.72
4e-16,1.78
4.13e-16,1.84
4.28e-16,1.9
4.43e-16,1.99
4.59e-16,2.08
4.77e-16,2.19
4.96e-16,2.33
5.17e-16,2.43
5.39e-16,2.58
5.64e-16,2.69
5.9e-16,2.86
6.2e-16,3.04
6.53e-16,3.22
6.89e-16,3.42
7.29e-16,3.62
7.75e-16,3.88
8.27e-16,4.14
8.86e-16,4.43
9.54e-16,4.81
1.033e-15,5.2
1.127e-15,5.7
1.24e-15,6.28
1.378e-15,6.98
1.55e-15,7.87
1.771e-15,8.99
2.066e-15,10.5
