wavelength,n
1.164e-16,0.753
1.198e-16,0.743
1.234e-16,0.726
1.272e-16,0.708
1.312e-16,0.68
1.355e-16,0.657
1.401e-16,0.624
1.45e-16,0.601
1.503e-16,0.572
1.56e-16,0.546
1.621e-16,0.518
1.687e-16,0.492
1.759e-16,0.466
1.837e-16,0.44
1.922e-16,0.408
2.016e-16,0.377
2.119e-16,0.342
2.234e-16,0.31
2.362e-16,0.299
2.505e-16,0.302
2.666e-16,0.317
2.85e-16,0.334
3.061e-16,0.346
3.306e-16,0.345
3.594e-16,0.335
3.936e-16,0.305
4.35e-16,0.248
4.862e-16,0.217
5.51e-16,0.205
6.358e-16,0.221
7.514e-16,0.265
9.184e-16,0.338
1.181e-15,0.448
1.653e-15,0.561
2.755e-15,0.662
8.266e-15,0.366
