wavelength,k
8.26561e-23,1.23546e-16
1.23984e-22,5.00417e-16
1.5498e-22,1.0806e-15
2.0664e-22,2.91538e-15
2.47968e-22,5.46845e-15
3.0996e-22,1.18086e-14
4.13281e-22,3.18586e-14
6.19921e-22,1.29041e-13
8.26561e-22,3.48144e-13
9.91873e-22,6.53022e-13
1.23984e-21,1.41013e-12
1.5498e-21,3.04504e-12
2.0664e-21,8.21529e-12
2.47968e-21,1.54096e-11
3.0996e-21,3.32755e-11
4.27366e-21,1.0458e-10
4.56854e-21,1.27617e-10
4.88377e-21,1.57024e-10
5.22075e-21,1.94035e-10
5.58098e-21,2.40749e-10
5.96607e-21,2.99808e-10
6.37773e-21,3.7464e-10
6.81779e-21,4.69608e-10
7.28822e-21,5.9028e-10
7.7911e-21,7.43907e-10
8.32869e-21,9.39716e-10
8.90337e-21,1.18926e-09
9.5177e-21,1.50807e-09
1.01744e-20,1.91112e-09
1.08765e-20,2.42147e-09
1.16269e-20,3.07179e-09
1.24292e-20,3.901e-09
1.32868e-20,4.95902e-09
1.42036e-20,6.30937e-09
1.51836e-20,8.03076e-09
1.62313e-20,1.01888e-08
1.73513e-20,1.29303e-08
1.85485e-20,1.63953e-08
1.91985e-20,1.84823e-08
1.94851e-20,1.94574e-08
1.96021e-20,4.3148e-09
1.96809e-20,4.37631e-09
1.98284e-20,4.49383e-09
1.99821e-20,4.61884e-09
2.11965e-20,5.69988e-09
2.26591e-20,7.24499e-09
2.42226e-20,9.22309e-09
2.58939e-20,1.17599e-08
2.76806e-20,1.49711e-08
2.95906e-20,1.90468e-08
3.16323e-20,2.42475e-08
3.38149e-20,3.0869e-08
3.61482e-20,3.93502e-08
3.86424e-20,5.02263e-08
4.13281e-20,6e-08
4.15617e-20,7e-08
4.17967e-20,7e-08
4.2033e-20,7e-08
4.22707e-20,7e-08
4.25097e-20,7e-08
4.275e-20,7e-08
4.29918e-20,7e-08
4.32348e-20,8e-08
4.34793e-20,8e-08
4.37251e-20,8e-08
4.39723e-20,8e-08
4.4221e-20,8e-08
4.4471e-20,8e-08
4.47224e-20,9e-08
4.49753e-20,9e-08
4.52296e-20,9e-08
4.54853e-20,9e-08
4.57425e-20,9e-08
4.60011e-20,1e-07
4.62612e-20,1e-07
4.65228e-20,1e-07
4.67858e-20,1e-07
4.70503e-20,1e-07
4.73164e-20,1.1e-07
4.75839e-20,1.1e-07
4.78529e-20,1.1e-07
4.81235e-20,1.1e-07
4.83956e-20,1.2e-07
4.86692e-20,1.2e-07
4.89444e-20,1.2e-07
4.92211e-20,1.2e-07
4.94994e-20,1.3e-07
4.97793e-20,1.3e-07
5.00607e-20,1.3e-07
5.03438e-20,1.3e-07
5.06284e-20,1.4e-07
5.09147e-20,1.4e-07
5.12026e-20,1.4e-07
5.14921e-20,1.5e-07
5.17832e-20,1.5e-07
5.2076e-20,1.5e-07
5.23704e-20,1.6e-07
5.26665e-20,1.6e-07
5.29643e-20,1.6e-07
5.32638e-20,1.7e-07
5.35649e-20,1.7e-07
5.38678e-20,1.7e-07
5.41723e-20,1.8e-07
5.44786e-20,1.8e-07
5.47866e-20,1.8e-07
5.50964e-20,1.9e-07
5.54079e-20,1.9e-07
5.57212e-20,2e-07
5.60363e-20,2e-07
