wavelength,n
8.26561e-14,1.0
1.23984e-13,1.0
1.5498e-13,1.0
2.0664e-13,1.0
2.47968e-13,1.0
3.0996e-13,1.0
4.13281e-13,1.0
6.19921e-13,1.0
8.26561e-13,1.0
9.91873e-13,1.0
1.23984e-12,1.0
1.5498e-12,1.0
2.0664e-12,1.0
2.47968e-12,0.99999999
3.0996e-12,0.99999999
4.27366e-12,0.99999998
4.56854e-12,0.99999998
4.88377e-12,0.99999998
5.22075e-12,0.99999997
5.58098e-12,0.99999997
5.96607e-12,0.99999997
6.37773e-12,0.99999996
6.81779e-12,0.99999996
7.28822e-12,0.99999995
7.7911e-12,0.99999994
8.32869e-12,0.99999993
8.90337e-12,0.99999992
9.5177e-12,0.99999991
1.01744e-11,0.9999999
1.08765e-11,0.99999988
1.16269e-11,0.99999987
1.24292e-11,0.99999985
1.32868e-11,0.99999983
1.42036e-11,0.9999998
1.51836e-11,0.99999977
1.62313e-11,0.99999974
1.73513e-11,0.99999971
1.85485e-11,0.99999967
1.91985e-11,0.99999965
1.94851e-11,0.99999965
1.96021e-11,0.99999964
1.96809e-11,0.99999963
1.98284e-11,0.99999962
1.99821e-11,0.99999962
2.11965e-11,0.99999956
2.26591e-11,0.99999948
2.42226e-11,0.9999994
2.58939e-11,0.9999993
2.76806e-11,0.99999917
2.95906e-11,0.99999899
3.16323e-11,0.99999885
3.38149e-11,0.9999987
3.61482e-11,0.99999854
3.86424e-11,0.99999837
4.13281e-11,0.99999814
4.15617e-11,0.99999812
4.17967e-11,0.9999981
4.2033e-11,0.99999808
4.22707e-11,0.99999806
4.25097e-11,0.99999803
4.275e-11,0.99999801
4.29918e-11,0.99999799
4.32348e-11,0.99999797
4.34793e-11,0.99999795
4.37251e-11,0.99999794
4.39723e-11,0.99999792
4.4221e-11,0.9999979
4.4471e-11,0.99999787
4.47224e-11,0.99999786
4.49753e-11,0.99999784
4.52296e-11,0.99999782
4.54853e-11,0.9999978
4.57425e-11,0.99999778
4.60011e-11,0.99999776
4.62612e-11,0.99999774
4.65228e-11,0.99999772
4.67858e-11,0.99999771
4.70503e-11,0.99999768
4.73164e-11,0.99999767
4.75839e-11,0.99999765
4.78529e-11,0.99999763
4.81235e-11,0.9999976
4.83956e-11,0.99999757
4.86692e-11,0.99999755
4.89444e-11,0.99999752
4.92211e-11,0.99999749
4.94994e-11,0.99999746
4.97793e-11,0.99999744
5.00607e-11,0.99999741
5.03438e-11,0.99999737
5.06284e-11,0.99999734
5.09147e-11,0.99999732
5.12026e-11,0.99999728
5.14921e-11,0.99999725
5.17832e-11,0.99999722
5.2076e-11,0.99999719
5.23704e-11,0.99999716
5.26665e-11,0.99999713
5.29643e-11,0.99999709
5.32638e-11,0.99999706
5.35649e-11,0.99999703
5.38678e-11,0.99999699
5.41723e-11,0.99999696
5.44786e-11,0.99999692
5.47866e-11,0.99999689
5.50964e-11,0.99999685
5.54079e-11,0.99999681
5.57212e-11,0.99999678
5.60363e-11,0.99999674
5.63531e-11,0.9999967
5.66717e-11,0.99999666
5.69921e-11,0.99999663
5.73144e-11,0.99999659
5.76384e-11,0.99999655
5.79643e-11,0.99999651
5.8292e-11,0.99999647
5.86216e-11,0.99999643
5.89531e-11,0.99999639
5.92864e-11,0.99999635
5.96216e-11,0.9999963
5.99587e-11,0.99999626
6.02977e-11,0.99999622
6.06386e-11,0.99999617
6.09815e-11,0.99999613
6.13263e-11,0.99999609
6.1673e-11,0.99999604
6.20217e-11,0.99999599
6.23724e-11,0.99999595
6.2725e-11,0.9999959
6.30797e-11,0.99999585
6.34364e-11,0.99999581
6.3795e-11,0.99999576
6.41557e-11,0.99999571
6.45185e-11,0.99999566
6.48832e-11,0.99999561
6.52501e-11,0.99999556
6.5619e-11,0.99999551
6.599e-11,0.99999546
6.63631e-11,0.99999541
6.67384e-11,0.99999535
6.71157e-11,0.9999953
6.74952e-11,0.99999525
6.78768e-11,0.99999519
6.82606e-11,0.99999514
6.86465e-11,0.99999508
6.90346e-11,0.99999502
6.9425e-11,0.99999496
6.98175e-11,0.99999491
7.02123e-11,0.99999485
7.06092e-11,0.9999948
7.10085e-11,0.99999473
7.14099e-11,0.99999467
7.18137e-11,0.99999462
7.22197e-11,0.99999456
7.26281e-11,0.9999945
7.30387e-11,0.99999443
7.34517e-11,0.99999437
7.3867e-11,0.9999943
7.42846e-11,0.99999424
7.47046e-11,0.99999417
7.5127e-11,0.99999411
7.55518e-11,0.99999403
7.59789e-11,0.99999397
7.64085e-11,0.9999939
7.68405e-11,0.99999383
7.7275e-11,0.99999377
