wavelength,k
2.48e-20,5.38e-11
3.1e-20,1.35e-10
4.133e-20,4.8e-10
6.199e-20,2.04e-09
1.24e-19,3.33e-08
1.55e-19,8.27e-08
2.066e-19,2.75e-07
3.1e-19,1.19e-06
6.199e-19,1.75e-05
8.266e-19,4.76e-05
9.537e-19,1.5e-05
9.84e-19,8.15e-06
9.919e-19,7.09e-06
1.033e-18,8.94e-06
1.24e-18,1.86e-05
1.55e-18,4.41e-05
2.066e-18,0.000139
2.48e-18,0.000266
2.755e-18,0.000375
3.1e-18,0.000542
3.542e-18,0.000811
4.133e-18,0.00125
4.959e-18,0.00215
6.199e-18,0.00407
6.888e-18,0.0053
7.749e-18,0.00711
8.266e-18,0.00816
8.551e-18,0.00885
8.856e-18,0.01
9.184e-18,0.0116
9.537e-18,0.0135
9.919e-18,0.0152
1.033e-17,0.0166
1.078e-17,0.0177
1.127e-17,0.0193
1.181e-17,0.0225
1.24e-17,0.0268
1.305e-17,0.031
1.378e-17,0.033
1.393e-17,0.0337
1.409e-17,0.0334
1.425e-17,0.0334
1.442e-17,0.0336
1.476e-17,0.0345
1.512e-17,0.0352
1.55e-17,0.036
1.59e-17,0.0374
1.631e-17,0.0414
1.675e-17,0.0475
1.722e-17,0.0526
1.771e-17,0.0533
1.823e-17,0.0503
1.879e-17,0.0458
1.937e-17,0.0432
2e-17,0.0414
2.066e-17,0.0409
2.101e-17,0.041
2.138e-17,0.0408
2.175e-17,0.0409
2.214e-17,0.0418
2.234e-17,0.0412
2.254e-17,0.0406
2.275e-17,0.0398
2.296e-17,0.0401
2.317e-17,0.0407
2.339e-17,0.0393
2.362e-17,0.0388
2.384e-17,0.0376
2.407e-17,0.0372
2.431e-17,0.0358
2.455e-17,0.0379
2.48e-17,0.0417
2.49e-17,0.0418
2.5e-17,0.0338
2.51e-17,0.0106
2.52e-17,0.00492
2.53e-17,0.00492
2.556e-17,0.00496
2.583e-17,0.00502
2.695e-17,0.00597
2.818e-17,0.00686
2.952e-17,0.00736
3.1e-17,0.00884
3.263e-17,0.0102
3.444e-17,0.0114
3.647e-17,0.0141
3.875e-17,0.0154
4.133e-17,0.0169
4.428e-17,0.0196
4.769e-17,0.0252
5.166e-17,0.033
5.636e-17,0.0454
6.199e-17,0.0592
6.888e-17,0.0731
7.749e-17,0.0792
8.266e-17,0.0916
8.856e-17,0.111
9.537e-17,0.127
1.033e-16,0.145
1.078e-16,0.158
1.127e-16,0.176
1.181e-16,0.296
1.24e-16,0.499
1.305e-16,0.647
1.378e-16,0.787
1.459e-16,0.926
1.55e-16,1.06
1.653e-16,1.19
1.698e-16,1.23
1.746e-16,1.27
1.797e-16,1.31
1.851e-16,1.35
1.907e-16,1.39
1.968e-16,1.44
2.033e-16,1.49
2.101e-16,1.56
2.175e-16,1.64
2.214e-16,1.74
2.48e-16,2.0
3.1e-16,2.63
4.133e-16,3.66
6.199e-16,5.74
8.266e-16,7.96
1.24e-15,12.8
1.378e-15,14.5
1.55e-15,15.5
1.771e-15,10.2
1.907e-15,8.98
2.066e-15,9.33
2.254e-15,12.2
2.48e-15,14.7
2.755e-15,16.8
3.1e-15,19.5
3.542e-15,22.2
4.133e-15,25.1
4.959e-15,28.8
6.199e-15,32.6
8.266e-15,37.6
1.24e-14,48.8
2.48e-14,60.2
