wavelength,n
2.48e-11,1.0
3.1e-11,1.0
4.133e-11,1.0
6.199e-11,1.001
1.24e-10,1.0
1.55e-10,1.0
2.066e-10,0.9999
3.1e-10,0.9998
6.199e-10,0.9999
8.266e-10,1.0
9.537e-10,1.0
9.84e-10,1.0
9.919e-10,0.9999
1.033e-09,1.0
1.24e-09,0.9999
1.55e-09,0.9996
2.066e-09,0.999
2.48e-09,0.9987
2.755e-09,0.9984
3.1e-09,0.9977
3.542e-09,0.9974
4.133e-09,0.9963
4.959e-09,0.9948
6.199e-09,0.9923
6.888e-09,0.9911
7.749e-09,0.9891
8.266e-09,0.9881
8.551e-09,0.9871
8.856e-09,0.986
9.184e-09,0.9849
9.537e-09,0.9846
9.919e-09,0.9847
1.033e-08,0.9846
1.078e-08,0.9841
1.127e-08,0.9829
1.181e-08,0.9815
1.24e-08,0.9815
1.305e-08,0.9838
1.378e-08,0.986
1.393e-08,0.9867
1.409e-08,0.987
1.425e-08,0.987
1.442e-08,0.987
1.476e-08,0.988
1.512e-08,0.988
1.55e-08,0.987
1.59e-08,0.986
1.631e-08,0.984
1.675e-08,0.986
1.722e-08,0.992
1.771e-08,1.0
1.823e-08,1.005
1.879e-08,1.008
1.937e-08,1.008
2e-08,1.008
2.066e-08,1.008
2.101e-08,1.008
2.138e-08,1.009
2.175e-08,1.01
2.214e-08,1.011
2.234e-08,1.012
2.254e-08,1.013
2.275e-08,1.013
2.296e-08,1.014
2.317e-08,1.015
2.339e-08,1.017
2.362e-08,1.018
2.384e-08,1.019
2.407e-08,1.02
2.431e-08,1.021
2.455e-08,1.023
2.48e-08,1.03
2.49e-08,1.04
2.5e-08,1.05
2.51e-08,1.053
2.52e-08,1.04
2.53e-08,1.033
2.556e-08,1.023
2.583e-08,1.018
2.695e-08,1.004
2.818e-08,0.997
2.952e-08,0.989
3.1e-08,0.982
3.263e-08,0.975
3.444e-08,0.967
3.647e-08,0.959
3.875e-08,0.95
4.133e-08,0.939
4.428e-08,0.924
4.769e-08,0.906
5.166e-08,0.885
5.636e-08,0.861
6.199e-08,0.833
6.888e-08,0.798
7.749e-08,0.741
8.266e-08,0.692
8.856e-08,0.644
9.537e-08,0.577
1.033e-07,0.477
1.078e-07,0.404
1.127e-07,0.293
1.181e-07,0.11
1.24e-07,0.0723
1.305e-07,0.0691
1.378e-07,0.0717
1.459e-07,0.0858
1.55e-07,0.115
1.653e-07,0.155
1.698e-07,0.171
1.746e-07,0.184
1.797e-07,0.194
1.851e-07,0.199
1.907e-07,0.197
1.968e-07,0.187
2.033e-07,0.166
2.101e-07,0.14
2.175e-07,0.121
2.214e-07,0.112
2.48e-07,0.111
3.1e-07,0.132
4.133e-07,0.184
6.199e-07,0.382
8.266e-07,0.791
1.24e-06,2.997
1.378e-06,4.776
1.55e-06,8.269
1.771e-06,11.2
1.907e-06,8.809
2.066e-06,6.056
2.254e-06,4.194
2.48e-06,4.509
2.755e-06,5.056
3.1e-06,6.069
3.542e-06,7.519
4.133e-06,9.516
4.959e-06,12.3
6.199e-06,15.2
8.266e-06,18.9
1.24e-05,23.8
2.48e-05,30.3
