wavelength,n
9.53725e-19,0.9999096
9.55194e-19,0.99989956
9.56668e-19,0.99989366
9.58147e-19,0.99988922
9.5963e-19,0.99988434
9.61118e-19,0.99988093
9.6261e-19,0.99987775
9.64107e-19,0.99987509
9.65609e-19,0.99987261
9.67115e-19,0.99987019
9.68626e-19,0.99986795
9.70142e-19,0.99986573
9.71663e-19,0.9998638
9.73188e-19,0.99986205
9.74718e-19,0.99986036
9.76253e-19,0.99985877
9.77793e-19,0.99985702
9.79338e-19,0.9998556
9.80888e-19,0.9998545
9.82442e-19,0.99985304
9.84001e-19,0.99985132
9.85566e-19,0.99984955
9.87135e-19,0.99984829
9.8871e-19,0.99984735
9.90289e-19,0.99984615
9.91873e-19,0.99984461
9.93463e-19,0.99984317
9.95058e-19,0.99984179
9.96657e-19,0.99984049
9.98262e-19,0.99983941
9.99872e-19,0.99983819
1.001488e-18,0.99983716
1.003108e-18,0.99983613
1.004734e-18,0.9998349
1.006365e-18,0.99983378
1.008002e-18,0.99983265
1.009643e-18,0.99983147
1.01129e-18,0.99983026
1.012943e-18,0.99982923
1.014601e-18,0.99982825
1.016264e-18,0.9998272
1.017933e-18,0.99982618
1.019607e-18,0.99982529
1.021287e-18,0.99982438
1.022972e-18,0.99982323
1.024663e-18,0.99982208
1.026359e-18,0.99982072
1.028061e-18,0.99981943
1.029769e-18,0.99981874
1.031482e-18,0.99981792
1.033202e-18,0.99981667
1.034926e-18,0.99981558
1.036657e-18,0.99981449
1.038394e-18,0.9998136
1.040136e-18,0.9998128
1.041884e-18,0.99981162
1.043638e-18,0.99981064
1.045398e-18,0.99980978
1.047164e-18,0.99980871
1.048936e-18,0.99980769
1.050713e-18,0.99980681
1.052497e-18,0.99980586
1.054287e-18,0.99980476
1.056083e-18,0.9998037
1.057886e-18,0.99980267
1.059694e-18,0.99980179
1.061508e-18,0.9998007
1.063329e-18,0.99979936
1.065156e-18,0.99979844
1.06699e-18,0.99979748
1.068829e-18,0.9997966
1.070675e-18,0.99979555
1.072528e-18,0.9997943
1.074386e-18,0.9997935
1.076252e-18,0.99979254
1.078123e-18,0.99979144
1.080002e-18,0.99979036
1.081886e-18,0.99978935
1.083778e-18,0.99978815
1.085676e-18,0.9997869
1.087581e-18,0.99978606
1.089492e-18,0.99978501
1.09141e-18,0.99978373
1.093335e-18,0.9997829
1.095267e-18,0.999782
1.097205e-18,0.99978101
1.099151e-18,0.9997801
1.101103e-18,0.99977894
1.103062e-18,0.99977784
1.105028e-18,0.99977689
1.107002e-18,0.99977579
1.108982e-18,0.99977466
1.110969e-18,0.9997739
1.112964e-18,0.99977304
1.114966e-18,0.99977194
1.116975e-18,0.99977069
1.118991e-18,0.99976941
1.121014e-18,0.99976826
1.123045e-18,0.9997675
1.125083e-18,0.99976663
1.127129e-18,0.99976516
1.129182e-18,0.99976413
1.131243e-18,0.99976332
1.133311e-18,0.9997622
1.135386e-18,0.99976114
1.13747e-18,0.99975993
1.139561e-18,0.99975882
1.141659e-18,0.99975779
1.143766e-18,0.9997566
1.14588e-18,0.99975537
1.148002e-18,0.99975411
1.150132e-18,0.99975288
1.152269e-18,0.99975202
1.154415e-18,0.99975122
1.156569e-18,0.99975006
1.158731e-18,0.99974871
1.160901e-18,0.99974759
1.163079e-18,0.99974645
1.165265e-18,0.99974499
1.167459e-18,0.99974345
1.169662e-18,0.99974257
1.171873e-18,0.99974201
1.174093e-18,0.99974087
1.176321e-18,0.99973945
1.178557e-18,0.99973799
1.180802e-18,0.99973667
1.183055e-18,0.99973552
1.185317e-18,0.99973456
1.187588e-18,0.99973352
1.189867e-18,0.99973173
1.192156e-18,0.9997306
1.194453e-18,0.99972974
1.196759e-18,0.99972793
1.199073e-18,0.9997266
1.201397e-18,0.99972569
1.20373e-18,0.99972457
1.206072e-18,0.9997233
1.208423e-18,0.99972184
1.210783e-18,0.9997203
1.213153e-18,0.99971922
1.215531e-18,0.99971843
1.217919e-18,0.99971681
1.220317e-18,0.99971526
1.222724e-18,0.99971437
1.22514e-18,0.99971308
1.227566e-18,0.99971168
1.230002e-18,0.99971027
1.232447e-18,0.99970894
1.234902e-18,0.99970772
1.237367e-18,0.99970605
1.239842e-18,0.99970461
1.242327e-18,0.99970347
1.244821e-18,0.99970217
1.247326e-18,0.99970085
1.249841e-18,0.99969948
1.252366e-18,0.9996982
1.254901e-18,0.99969644
1.257446e-18,0.99969533
1.260002e-18,0.9996943
1.262568e-18,0.99969241
1.265145e-18,0.99969072
1.267732e-18,0.99968935
1.27033e-18,0.99968825
1.272938e-18,0.99968696
1.275557e-18,0.99968562
1.278187e-18,0.99968443
1.280828e-18,0.99968278
1.28348e-18,0.99968103
1.286143e-18,0.99967946
1.288817e-18,0.99967752
1.291502e-18,0.99967593
1.294198e-18,0.99967467
1.296906e-18,0.99967304
1.299625e-18,0.99967138
1.302355e-18,0.99967
1.305097e-18,0.99966873
1.30785e-18,0.99966726
1.310615e-18,0.99966563
1.313392e-18,0.99966381
1.31618e-18,0.99966207
1.318981e-18,0.99966067
1.321793e-18,0.99965914
1.324617e-18,0.99965727
1.327454e-18,0.99965526
1.330302e-18,0.99965392
1.333163e-18,0.99965255
1.336037e-18,0.99965077
1.338922e-18,0.99964906
1.34182e-18,0.9996472
1.344731e-18,0.99964559
1.347654e-18,0.99964416
1.35059e-18,0.99964251
1.353539e-18,0.99964077
1.356501e-18,0.99963916
1.359476e-18,0.99963758
1.362464e-18,0.99963598
1.365465e-18,0.99963401
1.368479e-18,0.99963213
1.371506e-18,0.99963032
1.374548e-18,0.99962859
1.377602e-18,0.99962762
1.38067e-18,0.99962601
1.382209e-18,0.99962461
1.383752e-18,0.99962334
1.385298e-18,0.99962241
1.386848e-18,0.99962141
1.388401e-18,0.99962031
1.389957e-18,0.9996192
1.391517e-18,0.99961838
1.393081e-18,0.99961752
1.394648e-18,0.99961634
1.396218e-18,0.99961552
1.397792e-18,0.99961437
1.39937e-18,0.99961309
1.400951e-18,0.99961218
1.402536e-18,0.99961126
1.404124e-18,0.99961017
1.405716e-18,0.99960911
1.407312e-18,0.9996084
1.408911e-18,0.99960728
1.410514e-18,0.99960608
1.412121e-18,0.99960519
1.413731e-18,0.99960415
1.415345e-18,0.99960295
1.416962e-18,0.99960231
1.418583e-18,0.99960162
1.420208e-18,0.99960035
1.421837e-18,0.99959949
1.423469e-18,0.99959821
1.425106e-18,0.99959701
1.426746e-18,0.99959596
1.428389e-18,0.9995952
1.430037e-18,0.99959458
1.431688e-18,0.99959354
1.433343e-18,0.9995923
1.435002e-18,0.9995911
1.436665e-18,0.99959026
1.438332e-18,0.9995892
1.440002e-18,0.99958814
1.441677e-18,0.99958706
1.443355e-18,0.99958594
1.445037e-18,0.99958484
1.446723e-18,0.99958382
1.448413e-18,0.9995826
1.450107e-18,0.99958148
1.451805e-18,0.99958058
1.453507e-18,0.99957955
1.455213e-18,0.99957839
1.456923e-18,0.99957697
1.458637e-18,0.99957575
1.460356e-18,0.99957494
1.462078e-18,0.99957386
1.463804e-18,0.99957307
1.465534e-18,0.9995723
1.467268e-18,0.99957142
1.469007e-18,0.99957008
1.47075e-18,0.99956839
1.472496e-18,0.99956749
1.474247e-18,0.99956656
1.476002e-18,0.99956537
1.477761e-18,0.99956418
1.479525e-18,0.99956288
1.481293e-18,0.99956174
1.483064e-18,0.9995609
1.484841e-18,0.99955986
1.486621e-18,0.99955869
1.488406e-18,0.99955755
1.490195e-18,0.99955653
1.491988e-18,0.99955528
1.493785e-18,0.99955386
1.495587e-18,0.99955278
1.497394e-18,0.9995516
1.499204e-18,0.9995505
1.501019e-18,0.99954909
1.502839e-18,0.99954782
1.504662e-18,0.99954689
1.506491e-18,0.99954558
1.508323e-18,0.99954434
1.510161e-18,0.99954321
1.512002e-18,0.99954197
1.513848e-18,0.99954076
1.515699e-18,0.99953948
1.517554e-18,0.99953824
1.519414e-18,0.99953697
1.521278e-18,0.99953581
1.523147e-18,0.99953458
1.525021e-18,0.99953328
1.526899e-18,0.99953216
1.528782e-18,0.99953096
1.530669e-18,0.99952964
1.532561e-18,0.99952828
1.534458e-18,0.99952703
1.536359e-18,0.99952602
1.538265e-18,0.99952476
1.540176e-18,0.99952331
1.542092e-18,0.99952196
1.544012e-18,0.99952055
1.545937e-18,0.9995193
1.547868e-18,0.99951806
1.549802e-18,0.99951688
1.551742e-18,0.99951553
1.553687e-18,0.99951398
1.555636e-18,0.9995128
1.55759e-18,0.99951158
1.55955e-18,0.99951025
1.561514e-18,0.99950908
1.563483e-18,0.99950763
1.565457e-18,0.99950619
1.567436e-18,0.9995049
1.56942e-18,0.99950347
1.571409e-18,0.99950213
1.573403e-18,0.99950074
1.575403e-18,0.99949934
1.577407e-18,0.99949795
1.579416e-18,0.99949652
1.581431e-18,0.99949519
1.583451e-18,0.99949393
1.585476e-18,0.99949258
1.587506e-18,0.99949118
1.589541e-18,0.99948985
1.591581e-18,0.9994884
1.593627e-18,0.99948688
1.595678e-18,0.99948535
1.597734e-18,0.99948388
1.599796e-18,0.9994825
1.601863e-18,0.99948106
1.603935e-18,0.99947954
1.606013e-18,0.99947809
1.608096e-18,0.99947667
1.610184e-18,0.99947525
1.612278e-18,0.99947388
1.614377e-18,0.99947236
1.616482e-18,0.99947077
1.618593e-18,0.9994693
1.620708e-18,0.99946783
1.62283e-18,0.99946641
1.624957e-18,0.99946484
1.627089e-18,0.99946315
1.629227e-18,0.99946161
1.631371e-18,0.99946003
1.63352e-18,0.99945851
1.635675e-18,0.99945723
1.637836e-18,0.99945579
1.640002e-18,0.99945432
1.642175e-18,0.99945275
1.644353e-18,0.9994513
1.646536e-18,0.99944986
1.648726e-18,0.99944821
1.650921e-18,0.99944663
1.653122e-18,0.9994451
1.65533e-18,0.99944357
1.657543e-18,0.999442
1.659762e-18,0.99944037
1.661986e-18,0.9994388
1.664217e-18,0.99943722
1.666454e-18,0.99943556
1.668697e-18,0.99943387
1.670946e-18,0.99943222
1.673201e-18,0.99943064
1.675462e-18,0.99942902
1.677729e-18,0.99942741
1.680003e-18,0.99942583
1.682282e-18,0.99942404
1.684568e-18,0.99942239
1.68686e-18,0.99942083
1.689158e-18,0.99941903
1.691462e-18,0.99941726
1.693773e-18,0.99941571
1.69609e-18,0.99941408
1.698414e-18,0.99941231
1.700743e-18,0.99941068
1.703079e-18,0.99940889
1.705422e-18,0.99940705
1.707771e-18,0.9994054
1.710127e-18,0.99940364
1.712489e-18,0.99940193
1.714857e-18,0.99940028
1.717233e-18,0.99939847
1.719614e-18,0.99939661
1.722003e-18,0.99939485
1.724398e-18,0.99939303
1.726799e-18,0.99939122
1.729208e-18,0.99938952
1.731623e-18,0.99938782
1.734045e-18,0.9993861
1.736473e-18,0.99938424
1.738909e-18,0.99938237
1.741351e-18,0.99938052
1.7438e-18,0.9993786
1.746256e-18,0.99937671
1.748719e-18,0.99937469
1.751189e-18,0.99937276
1.753666e-18,0.99937112
1.75615e-18,0.99936935
1.758641e-18,0.99936742
1.761139e-18,0.99936547
1.763644e-18,0.99936357
1.766157e-18,0.99936173
1.768676e-18,0.99935983
1.771203e-18,0.99935788
1.773737e-18,0.99935597
1.776278e-18,0.99935401
1.778826e-18,0.999352
1.781382e-18,0.99935006
1.783945e-18,0.99934811
1.786516e-18,0.99934602
1.789094e-18,0.99934393
1.791679e-18,0.99934196
1.794272e-18,0.99934019
1.796872e-18,0.9993382
1.79948e-18,0.99933602
1.802096e-18,0.99933391
1.804719e-18,0.99933205
1.80735e-18,0.99933003
1.809988e-18,0.99932797
1.812634e-18,0.99932587
1.815288e-18,0.99932366
1.81795e-18,0.9993216
1.820619e-18,0.99931962
1.823297e-18,0.99931774
1.825982e-18,0.99931571
1.828675e-18,0.99931347
1.831376e-18,0.99931135
1.834086e-18,0.99930913
1.836803e-18,0.99930686
1.839528e-18,0.99930476
1.842261e-18,0.99930261
1.845003e-18,0.99930031
1.847752e-18,0.99929818
1.85051e-18,0.99929603
1.853276e-18,0.99929384
1.856051e-18,0.9992917
1.858833e-18,0.99928948
1.861624e-18,0.99928735
1.864424e-18,0.99928507
1.867232e-18,0.99928274
1.870048e-18,0.99928049
1.872873e-18,0.99927818
1.875706e-18,0.99927593
1.878548e-18,0.99927378
1.881399e-18,0.99927153
1.884258e-18,0.99926915
1.887126e-18,0.99926686
1.890003e-18,0.99926463
1.892888e-18,0.99926238
1.895783e-18,0.99926006
1.898686e-18,0.99925765
1.901598e-18,0.9992554
1.904519e-18,0.99925319
1.907449e-18,0.99925065
1.910388e-18,0.99924796
1.913336e-18,0.99924541
1.916293e-18,0.999243
1.91926e-18,0.99924053
1.922235e-18,0.99923791
1.92522e-18,0.99923545
1.928214e-18,0.99923317
1.931218e-18,0.99923056
1.934231e-18,0.99922787
1.937253e-18,0.99922533
1.940285e-18,0.99922258
1.943326e-18,0.99922012
1.946377e-18,0.99921786
1.949437e-18,0.99921509
1.952507e-18,0.9992124
1.955587e-18,0.99920978
1.958676e-18,0.9992071
1.961775e-18,0.9992046
1.964884e-18,0.99920198
1.968003e-18,0.9991994
1.971132e-18,0.99919677
1.974271e-18,0.99919417
1.977419e-18,0.99919139
1.980578e-18,0.99918858
1.983747e-18,0.9991858
1.986926e-18,0.99918317
1.990115e-18,0.99918058
1.993315e-18,0.99917782
1.996525e-18,0.99917497
1.999745e-18,0.99917229
2.002976e-18,0.99916952
2.006217e-18,0.9991666
2.009468e-18,0.99916378
2.01273e-18,0.99916099
2.016003e-18,0.99915812
2.019286e-18,0.9991551
2.022581e-18,0.99915224
2.025885e-18,0.99914949
2.029201e-18,0.99914656
2.032528e-18,0.99914368
2.035865e-18,0.99914073
2.039214e-18,0.99913783
2.042573e-18,0.99913485
2.045944e-18,0.99913185
2.049325e-18,0.99912888
2.052718e-18,0.99912577
2.056123e-18,0.99912272
2.059538e-18,0.99911977
2.062965e-18,0.99911674
2.066403e-18,0.99911359
2.069853e-18,0.9991106
2.073314e-18,0.99910754
2.076787e-18,0.99910442
2.080272e-18,0.99910137
2.083768e-18,0.99909825
2.087276e-18,0.99909522
2.090796e-18,0.99909192
2.094327e-18,0.99908862
2.097871e-18,0.99908549
2.101427e-18,0.99908226
2.104995e-18,0.99907906
2.108575e-18,0.99907594
2.112167e-18,0.99907257
2.115771e-18,0.99906898
2.119388e-18,0.99906557
2.123017e-18,0.99906233
2.126658e-18,0.99905914
2.130312e-18,0.9990559
2.133979e-18,0.99905252
2.137658e-18,0.9990492
2.14135e-18,0.9990459
2.145055e-18,0.9990424
2.148773e-18,0.99903887
2.152503e-18,0.99903512
2.156247e-18,0.99903164
2.160003e-18,0.99902824
2.163773e-18,0.99902492
2.167556e-18,0.99902144
2.171352e-18,0.99901777
2.175161e-18,0.99901414
2.178984e-18,0.99901066
2.18282e-18,0.99900712
2.18667e-18,0.99900333
2.190533e-18,0.99899962
2.19441e-18,0.99899621
2.198301e-18,0.99899254
2.202206e-18,0.99898857
2.206124e-18,0.99898492
2.210057e-18,0.99898136
2.214003e-18,0.99897789
2.217964e-18,0.99897422
2.221939e-18,0.99897014
2.225928e-18,0.99896636
2.229931e-18,0.99896258
2.233949e-18,0.99895873
2.237982e-18,0.99895493
2.242029e-18,0.99895104
2.24609e-18,0.99894709
2.250167e-18,0.99894315
2.254258e-18,0.99893906
2.258364e-18,0.99893487
2.262485e-18,0.9989307
2.266621e-18,0.9989265
2.270773e-18,0.99892222
2.274939e-18,0.99891798
2.279121e-18,0.99891382
2.283318e-18,0.9989098
2.287531e-18,0.99890602
2.291759e-18,0.9989023
2.296003e-18,0.99889892
2.300263e-18,0.99889557
2.304539e-18,0.99889174
2.30883e-18,0.99888764
2.313138e-18,0.99888344
2.317461e-18,0.99887948
2.321801e-18,0.99887545
2.326157e-18,0.99887109
2.33053e-18,0.99886643
2.334919e-18,0.99886159
2.339324e-18,0.9988568
2.343746e-18,0.99885199
2.348185e-18,0.99884712
2.352641e-18,0.99884233
2.357114e-18,0.99883754
2.361604e-18,0.99883276
2.36611e-18,0.99882845
2.370635e-18,0.99882372
2.375176e-18,0.99881877
2.379735e-18,0.99881407
2.384311e-18,0.99880946
2.388905e-18,0.9988045
2.393517e-18,0.99879962
2.398147e-18,0.99879485
2.402794e-18,0.99879013
2.40746e-18,0.99878517
2.412144e-18,0.99878017
2.416846e-18,0.99877516
2.421566e-18,0.99877019
2.426305e-18,0.99876529
2.431062e-18,0.99876017
2.435839e-18,0.99875504
2.440634e-18,0.99875002
2.445447e-18,0.99874506
2.45028e-18,0.99873985
2.455132e-18,0.99873449
2.460004e-18,0.99872933
2.464894e-18,0.99872407
2.469805e-18,0.99871876
2.474734e-18,0.99871353
2.479684e-18,0.99870832
2.484653e-18,0.99870294
2.489642e-18,0.99869736
2.494652e-18,0.99869196
2.499681e-18,0.99868672
2.504731e-18,0.99868111
2.509801e-18,0.9986752
2.514892e-18,0.99866948
2.520004e-18,0.99866409
2.525136e-18,0.99865869
2.53029e-18,0.99865312
2.535464e-18,0.99864745
2.54066e-18,0.99864177
2.545877e-18,0.99863582
2.551115e-18,0.99862985
2.556375e-18,0.99862396
2.561657e-18,0.99861793
2.56696e-18,0.99861214
2.572286e-18,0.99860629
2.577634e-18,0.99860045
2.583004e-18,0.9985944
2.588396e-18,0.9985883
2.593811e-18,0.99858268
2.599249e-18,0.99857651
2.60471e-18,0.99857021
2.610193e-18,0.99856414
2.6157e-18,0.99855788
2.62123e-18,0.99855145
2.626784e-18,0.99854552
2.632361e-18,0.99853934
2.637961e-18,0.99853268
2.643586e-18,0.99852647
2.649235e-18,0.99852022
2.654908e-18,0.99851349
2.660605e-18,0.99850696
2.666327e-18,0.99850033
2.672073e-18,0.99849339
2.677844e-18,0.99848688
2.68364e-18,0.99848031
2.689462e-18,0.99847304
2.695308e-18,0.99846616
2.701181e-18,0.99845935
2.707078e-18,0.99845212
2.713002e-18,0.99844538
2.718951e-18,0.99843857
2.724927e-18,0.99843143
2.730929e-18,0.99842411
2.736958e-18,0.99841664
2.743013e-18,0.9984092
2.749095e-18,0.99840191
2.755204e-18,0.99839458
2.76134e-18,0.99838705
2.767504e-18,0.99837987
2.773695e-18,0.99837242
2.779915e-18,0.99836488
2.786162e-18,0.99835692
2.792437e-18,0.99834868
2.79874e-18,0.99834053
2.805072e-18,0.99833197
2.811433e-18,0.99832335
2.817822e-18,0.99831248
2.824241e-18,0.99830462
2.830689e-18,0.99830037
2.837167e-18,0.99829404
2.843674e-18,0.99828729
2.850211e-18,0.99827982
2.856779e-18,0.99827245
2.863376e-18,0.99826478
2.870004e-18,0.99825704
2.876663e-18,0.99824927
2.883353e-18,0.99824121
2.890074e-18,0.99823309
2.896827e-18,0.99822505
2.903611e-18,0.99821676
2.910427e-18,0.9982085
2.917275e-18,0.99820034
2.924155e-18,0.99819205
2.931068e-18,0.99818343
2.938014e-18,0.99817476
2.944993e-18,0.99816619
2.952004e-18,0.99815758
2.95905e-18,0.99814875
2.966129e-18,0.99813987
2.973242e-18,0.99813112
2.980389e-18,0.99812234
2.987571e-18,0.99811356
2.994787e-18,0.99810462
3.002038e-18,0.99809546
3.009325e-18,0.99808622
3.016647e-18,0.99807713
3.024005e-18,0.99806808
3.031398e-18,0.99805877
3.038828e-18,0.99804948
3.046295e-18,0.99804013
3.053798e-18,0.99803061
3.061338e-18,0.99802104
3.068916e-18,0.99801142
3.076531e-18,0.99800148
3.084184e-18,0.9979917
3.091875e-18,0.99798218
3.099605e-18,0.99797213
3.107373e-18,0.99796191
3.115181e-18,0.99795216
3.123027e-18,0.99794176
3.130914e-18,0.99793142
3.13884e-18,0.99792104
3.146807e-18,0.99791057
3.154814e-18,0.99790015
3.162862e-18,0.99788937
3.170951e-18,0.99787837
3.179082e-18,0.99786774
3.187254e-18,0.99785711
3.195469e-18,0.99784618
3.203726e-18,0.99783519
3.212026e-18,0.99782422
3.220369e-18,0.99781293
3.228755e-18,0.99780153
3.237185e-18,0.99779031
3.245659e-18,0.9977789
3.254178e-18,0.99776732
3.262742e-18,0.9977557
3.271351e-18,0.99774383
3.280005e-18,0.99773201
3.288705e-18,0.99772045
3.297452e-18,0.99770853
3.306245e-18,0.99769625
3.315085e-18,0.99768413
3.323973e-18,0.99767203
3.332908e-18,0.99765978
3.341892e-18,0.99764749
3.350924e-18,0.99763479
3.360005e-18,0.99762205
3.369136e-18,0.99760955
3.378316e-18,0.99759679
3.387546e-18,0.99758387
3.396827e-18,0.99757112
3.406159e-18,0.99755819
3.415542e-18,0.99754536
3.424978e-18,0.99753186
3.434465e-18,0.9975186
3.444005e-18,0.99750535
3.453599e-18,0.99749159
3.463245e-18,0.99747773
3.472946e-18,0.99746404
3.482702e-18,0.99745007
3.492512e-18,0.99743606
3.502378e-18,0.99742189
3.5123e-18,0.99740749
3.522278e-18,0.99739331
3.532313e-18,0.99737907
