wavelength,n
1.88e-16,1.48
1.92e-16,1.55
1.95e-16,1.59
1.99e-16,1.62
2.03e-16,1.63
2.07e-16,1.67
2.12e-16,1.7
2.16e-16,1.72
2.21e-16,1.73
2.26e-16,1.74
2.31e-16,1.78
2.37e-16,1.81
2.43e-16,1.82
2.49e-16,1.82
2.55e-16,1.83
2.62e-16,1.84
2.69e-16,1.85
2.76e-16,1.86
2.84e-16,1.85
2.92e-16,1.85
3.01e-16,1.86
3.11e-16,1.86
3.2e-16,1.86
3.32e-16,1.86
3.42e-16,1.87
3.54e-16,1.89
3.68e-16,1.89
3.81e-16,1.92
3.97e-16,1.96
4.13e-16,2.0
4.31e-16,2.06
4.51e-16,2.11
4.71e-16,2.19
4.96e-16,2.25
5.21e-16,2.32
5.49e-16,2.39
5.82e-16,2.47
6.17e-16,2.51
6.59e-16,2.56
7.04e-16,2.62
7.56e-16,2.7
8.21e-16,2.83
8.92e-16,2.97
9.84e-16,3.1
1.088e-15,3.3
1.216e-15,3.48
1.393e-15,3.65
1.61e-15,3.78
1.937e-15,3.89
