wavelength,k
6.67e-16,3.591222
7.14e-16,3.5417088
7.69e-16,3.4266289
8.33e-16,3.2991627
9.09e-16,3.4956418
1e-15,3.9968299
1.05e-15,4.3245235
1.11e-15,4.7136001
1.18e-15,5.1486289
1.25e-15,5.6230394
1.33e-15,6.1751066
1.43e-15,6.7993804
1.54e-15,7.4926629
1.67e-15,8.2838453
1.82e-15,9.2513402
2e-15,10.396535
2.11e-15,11.06412
2.22e-15,11.821314
2.35e-15,12.667669
2.5e-15,13.607095
2.67e-15,14.654142
2.86e-15,15.828837
3.08e-15,17.177196
3.33e-15,18.769452
3.64e-15,20.649783
4e-15,22.850789
4.44e-15,25.500166
5e-15,28.788898
5.71e-15,32.92614
6.67e-15,38.275608
8e-15,45.5231
1e-14,55.822815
1.11e-14,61.094152
1.25e-14,67.549462
1.43e-14,75.010773
1.67e-14,84.122793
2e-14,95.659355
2.22e-14,102.66741
2.5e-14,110.79
2.86e-14,120.35199
3.33e-14,131.81545
4e-14,145.83988
4.44e-14,154.08616
5e-14,163.32577
5.71e-14,173.65334
6.67e-14,186.39648
8e-14,202.91175
1e-13,224.74485
1.25e-13,248.88501
1.54e-13,276.1872
