wavelength,n
6.67e-07,3.736186
7.14e-07,3.8159832
7.69e-07,3.7771262
8.33e-07,3.4879914
9.09e-07,2.9807157
1e-06,2.5372515
1.05e-06,2.3419619
1.11e-06,2.1691522
1.18e-06,2.0338468
1.25e-06,1.9061057
1.33e-06,1.7797564
1.43e-06,1.7014062
1.54e-06,1.6167352
1.67e-06,1.5124883
1.82e-06,1.4476138
2e-06,1.3787354
2.11e-06,1.3419643
2.22e-06,1.324614
2.35e-06,1.335824
2.5e-06,1.3719253
2.67e-06,1.4347181
2.86e-06,1.5147128
3.08e-06,1.6006395
3.33e-06,1.729625
3.64e-06,1.9643186
4e-06,2.2903056
4.44e-06,2.714248
5e-06,3.3460153
5.71e-06,4.3080595
6.67e-06,5.7374219
8e-06,8.0417701
1e-05,12.132436
1.11e-05,14.599652
1.25e-05,17.948846
1.43e-05,22.52774
1.67e-05,28.406166
2e-05,36.663706
2.22e-05,42.092997
2.5e-05,48.760817
2.86e-05,57.122067
3.33e-05,67.891603
4e-05,82.241906
4.44e-05,91.33097
5e-05,102.1264
5.71e-05,114.9495
6.67e-05,129.77236
8e-05,148.54398
0.0001,173.64793
0.000125,200.43914
0.000154,227.5746
