wavelength,k
2.36e-18,0.00164
3.16e-18,0.00194
4.47e-18,0.00439
6.76e-18,0.00197
1.14e-17,0.00501
1.355e-17,0.00604
1.714e-17,0.0282
2.43e-17,0.169
2.563e-17,0.168
3.038e-17,0.25
3.27e-17,0.255
3.568e-17,0.179
3.793e-17,0.157
4.059e-17,0.17
4.478e-17,0.203
4.607e-17,0.234
4.895e-17,0.325
5.391e-17,0.464
5.843e-17,0.57
6.163e-17,0.608
6.714e-17,0.779
7.185e-17,0.734
7.359e-17,0.807
7.437e-17,0.78
8.345e-17,0.778
8.78e-17,0.807
9.198e-17,0.838
9.321e-17,0.791
9.888e-17,0.786
1.0258e-16,0.759
1.0482e-16,0.745
1.0667e-16,0.725
1.0857e-16,0.722
1.135e-16,0.677
1.2007e-16,0.757
1.2157e-16,0.773
