wavelength,n
1.90745e-08,0.885482
1.90892e-08,0.885989
1.91039e-08,0.886495
1.91186e-08,0.886392
1.91334e-08,0.886289
1.91481e-08,0.885578
1.91629e-08,0.883796
1.91778e-08,0.882623
1.91926e-08,0.881548
1.92075e-08,0.880422
1.92224e-08,0.87873
1.92373e-08,0.877085
1.92522e-08,0.876109
1.92672e-08,0.875136
1.92821e-08,0.875353
1.92971e-08,0.87665
1.93122e-08,0.877835
1.93272e-08,0.878511
1.93423e-08,0.879694
1.93574e-08,0.880819
1.93725e-08,0.881324
1.93877e-08,0.881324
1.94028e-08,0.881269
1.9418e-08,0.881324
1.94333e-08,0.881381
1.94485e-08,0.881942
1.94638e-08,0.882503
1.94791e-08,0.883064
1.94944e-08,0.883064
1.95097e-08,0.883064
1.95251e-08,0.883624
1.95405e-08,0.884129
1.95559e-08,0.884129
1.95713e-08,0.884073
1.95868e-08,0.883458
1.96022e-08,0.882842
1.96178e-08,0.882281
1.96333e-08,0.881213
1.96488e-08,0.881269
1.96644e-08,0.881269
1.968e-08,0.881269
1.96957e-08,0.881269
1.97113e-08,0.8802
1.9727e-08,0.879694
1.97427e-08,0.879188
1.97584e-08,0.878741
1.97742e-08,0.878916
1.979e-08,0.879657
1.98058e-08,0.88084
1.98216e-08,0.881962
1.98375e-08,0.882522
1.98534e-08,0.882522
1.98693e-08,0.882582
1.98852e-08,0.882143
1.99012e-08,0.883446
1.99171e-08,0.885183
1.99331e-08,0.886856
1.99492e-08,0.887969
1.99652e-08,0.889576
1.99813e-08,0.891182
1.99974e-08,0.891559
2.00136e-08,0.8915
2.00298e-08,0.891939
2.00459e-08,0.892436
2.00622e-08,0.892323
2.00784e-08,0.892765
2.00947e-08,0.892045
2.0111e-08,0.891381
2.01273e-08,0.889658
2.01437e-08,0.888544
2.016e-08,0.888041
2.01764e-08,0.888041
2.01929e-08,0.888041
2.02093e-08,0.887428
2.02258e-08,0.88687
2.02423e-08,0.885752
2.02589e-08,0.884633
2.02754e-08,0.884184
2.0292e-08,0.884241
2.03086e-08,0.884354
2.03253e-08,0.884411
2.0342e-08,0.884526
2.03587e-08,0.885644
2.03754e-08,0.88676
2.03921e-08,0.887261
2.04089e-08,0.887261
2.04257e-08,0.887762
2.04426e-08,0.888319
2.04594e-08,0.888764
2.04763e-08,0.888096
2.04933e-08,0.887483
2.05102e-08,0.887428
2.05272e-08,0.886257
2.05442e-08,0.885643
2.05612e-08,0.884524
2.05783e-08,0.883403
2.05954e-08,0.882392
2.06125e-08,0.882503
2.06296e-08,0.88312
2.06468e-08,0.883681
2.0664e-08,0.883681
2.06813e-08,0.883624
2.06985e-08,0.883624
2.07158e-08,0.883624
2.07331e-08,0.883569
2.07505e-08,0.883008
2.07679e-08,0.882953
2.07853e-08,0.882897
2.08027e-08,0.881775
2.08202e-08,0.881213
2.08377e-08,0.880651
2.08552e-08,0.880088
2.08728e-08,0.879581
2.08903e-08,0.879581
2.0908e-08,0.879638
2.09256e-08,0.8802
2.09433e-08,0.880144
2.0961e-08,0.87947
2.09787e-08,0.878797
2.09965e-08,0.877669
2.10143e-08,0.875919
2.10321e-08,0.874787
2.10499e-08,0.873143
2.10678e-08,0.87212
2.10857e-08,0.871667
2.11037e-08,0.871783
2.11217e-08,0.871274
2.11397e-08,0.871332
2.11577e-08,0.871332
2.11758e-08,0.870824
2.11939e-08,0.870256
2.1212e-08,0.869687
2.12302e-08,0.86861
2.12484e-08,0.868731
2.12666e-08,0.868731
2.12848e-08,0.867654
2.13031e-08,0.867146
2.13214e-08,0.866701
2.13398e-08,0.866258
2.13582e-08,0.866386
2.13766e-08,0.866516
2.1395e-08,0.867085
2.14135e-08,0.867151
2.1432e-08,0.867151
2.14506e-08,0.866647
2.14691e-08,0.866144
2.14877e-08,0.866211
2.15064e-08,0.866278
2.1525e-08,0.866413
2.15437e-08,0.866481
2.15625e-08,0.86598
2.15812e-08,0.866118
2.16e-08,0.866258
2.16189e-08,0.866896
2.16377e-08,0.867037
2.16566e-08,0.867747
2.16756e-08,0.868953
2.16945e-08,0.870156
2.17135e-08,0.87065
2.17325e-08,0.871215
2.17516e-08,0.871215
2.17707e-08,0.87178
2.17898e-08,0.872415
2.1809e-08,0.872909
2.18282e-08,0.872838
2.18474e-08,0.872838
2.18667e-08,0.872274
2.1886e-08,0.87178
2.19053e-08,0.872415
2.19247e-08,0.873614
2.19441e-08,0.874106
2.19635e-08,0.875162
2.1983e-08,0.875092
2.20025e-08,0.875515
2.20221e-08,0.875378
2.20416e-08,0.874679
2.20612e-08,0.872919
2.20809e-08,0.871789
2.21006e-08,0.871857
2.21203e-08,0.871857
2.214e-08,0.871789
2.21598e-08,0.870522
2.21796e-08,0.869388
2.21995e-08,0.868254
2.22194e-08,0.867186
2.22393e-08,0.866687
2.22593e-08,0.866188
2.22793e-08,0.866188
2.22993e-08,0.866188
2.23194e-08,0.86498
2.23395e-08,0.86384
2.23596e-08,0.862769
2.23798e-08,0.862198
2.24e-08,0.861126
2.24203e-08,0.859982
2.24406e-08,0.858909
2.24609e-08,0.857261
2.24813e-08,0.856259
2.25017e-08,0.854684
2.25221e-08,0.853186
2.25426e-08,0.852423
2.25631e-08,0.852903
2.25836e-08,0.854459
2.26042e-08,0.856425
2.26249e-08,0.858305
2.26455e-08,0.860097
2.26662e-08,0.861318
2.2687e-08,0.862454
2.27077e-08,0.863588
2.27285e-08,0.865288
2.27494e-08,0.866256
2.27703e-08,0.866095
2.27912e-08,0.865935
2.28122e-08,0.86521
2.28332e-08,0.863996
2.28542e-08,0.86286
2.28753e-08,0.861883
2.28964e-08,0.862044
2.29176e-08,0.862612
2.29388e-08,0.86318
2.296e-08,0.862612
