wavelength,k
1.90745e-08,0.0799122
1.90892e-08,0.0799122
1.91039e-08,0.0799122
1.91186e-08,0.0804822
1.91334e-08,0.0804295
1.91481e-08,0.0804295
1.91629e-08,0.0798599
1.91778e-08,0.0804822
1.91926e-08,0.0804822
1.92075e-08,0.0804295
1.92224e-08,0.0798599
1.92373e-08,0.0799122
1.92522e-08,0.0800172
1.92672e-08,0.080694
1.92821e-08,0.0818367
1.92971e-08,0.082979
1.93122e-08,0.083495
1.93272e-08,0.0840103
1.93423e-08,0.0839553
1.93574e-08,0.0839003
1.93725e-08,0.0838455
1.93877e-08,0.0832764
1.94028e-08,0.0833309
1.9418e-08,0.0839003
1.94333e-08,0.0832764
1.94485e-08,0.0832764
1.94638e-08,0.0827614
1.94791e-08,0.0828156
1.94944e-08,0.0834402
1.95097e-08,0.083495
1.95251e-08,0.0841208
1.95405e-08,0.0852622
1.95559e-08,0.0858327
1.95713e-08,0.0864032
1.95868e-08,0.0862898
1.96022e-08,0.0862898
1.96178e-08,0.0863464
1.96333e-08,0.0864032
1.96488e-08,0.0869164
1.96644e-08,0.0869164
1.968e-08,0.0869735
1.96957e-08,0.0869735
1.97113e-08,0.0869735
1.9727e-08,0.0870307
1.97427e-08,0.0871454
1.97584e-08,0.0877745
1.97742e-08,0.0889762
1.979e-08,0.0901194
1.98058e-08,0.0906311
1.98216e-08,0.091202
1.98375e-08,0.0917125
1.98534e-08,0.0917729
1.98693e-08,0.0923436
1.98852e-08,0.0929754
1.99012e-08,0.0946876
1.99171e-08,0.0957025
1.99331e-08,0.0961458
1.99492e-08,0.0954521
1.99652e-08,0.0948838
1.99813e-08,0.0948838
1.99974e-08,0.0955145
2.00136e-08,0.0966513
2.00298e-08,0.09766
2.00459e-08,0.0974696
2.00622e-08,0.0962119
2.00784e-08,0.09508
2.00947e-08,0.0945752
2.0111e-08,0.0940698
2.01273e-08,0.0940698
2.01437e-08,0.0941924
2.016e-08,0.0948219
2.01764e-08,0.0953897
2.01929e-08,0.0960202
2.02093e-08,0.0965251
2.02258e-08,0.0970926
2.02423e-08,0.0970294
2.02589e-08,0.097533
2.02754e-08,0.0969033
2.0292e-08,0.0963995
2.03086e-08,0.0963995
2.03253e-08,0.0963995
2.0342e-08,0.0970294
2.03587e-08,0.0970294
2.03754e-08,0.0970926
2.03921e-08,0.0982273
2.04089e-08,0.0992968
2.04257e-08,0.0997985
2.04426e-08,0.0997337
2.04594e-08,0.0996691
2.04763e-08,0.0995402
2.04933e-08,0.0989754
2.05102e-08,0.0983469
2.05272e-08,0.0977191
2.05442e-08,0.0971547
2.05612e-08,0.0966525
2.05783e-08,0.0966525
2.05954e-08,0.0960253
2.06125e-08,0.0954605
2.06296e-08,0.0948956
2.06468e-08,0.0943915
2.0664e-08,0.0932603
2.06813e-08,0.0928148
2.06985e-08,0.0923082
2.07158e-08,0.0918607
2.07331e-08,0.0919807
2.07505e-08,0.0926704
2.07679e-08,0.0926704
2.07853e-08,0.0927312
2.08027e-08,0.0922828
2.08202e-08,0.0924045
2.08377e-08,0.0931599
2.08552e-08,0.0944286
2.08728e-08,0.0961455
2.08903e-08,0.0967175
2.0908e-08,0.097225
2.09256e-08,0.0971608
2.09433e-08,0.0965896
2.0961e-08,0.0960818
2.09787e-08,0.0961455
2.09965e-08,0.0962093
2.10143e-08,0.0963372
2.10321e-08,0.0964013
2.10499e-08,0.0971042
2.10678e-08,0.0976783
2.10857e-08,0.0982523
2.11037e-08,0.0983179
2.11217e-08,0.097809
2.11397e-08,0.0979401
2.11577e-08,0.0981379
2.11758e-08,0.0994247
2.11939e-08,0.100646
2.1212e-08,0.101292
2.12302e-08,0.101938
2.12484e-08,0.103163
2.12666e-08,0.103811
2.12848e-08,0.10446
2.13031e-08,0.10518
2.13214e-08,0.10641
2.13398e-08,0.107641
2.13582e-08,0.108293
2.13766e-08,0.109526
2.1395e-08,0.111263
2.14135e-08,0.11242
2.1432e-08,0.112998
2.14506e-08,0.113577
2.14691e-08,0.114811
2.14877e-08,0.115467
2.15064e-08,0.116624
2.1525e-08,0.118438
2.15437e-08,0.119512
2.15625e-08,0.120667
2.15812e-08,0.121738
2.16e-08,0.122231
2.16189e-08,0.122724
2.16377e-08,0.122724
2.16566e-08,0.123382
2.16756e-08,0.124533
2.16945e-08,0.125683
2.17135e-08,0.127235
2.17325e-08,0.127064
2.17516e-08,0.127064
2.17707e-08,0.127064
2.17898e-08,0.127637
2.1809e-08,0.127637
2.18282e-08,0.128782
2.18474e-08,0.129354
2.18667e-08,0.129268
2.1886e-08,0.129268
2.19053e-08,0.129839
2.19247e-08,0.130411
2.19441e-08,0.130411
2.19635e-08,0.130411
2.1983e-08,0.130498
2.20025e-08,0.131818
2.20221e-08,0.132479
2.20416e-08,0.134285
2.20612e-08,0.136092
2.20809e-08,0.137715
2.21006e-08,0.139242
2.21203e-08,0.139626
2.214e-08,0.140009
2.21598e-08,0.139916
2.21796e-08,0.140391
2.21995e-08,0.140772
2.22194e-08,0.140587
2.22393e-08,0.140495
2.22593e-08,0.140403
2.22793e-08,0.140219
2.22993e-08,0.138434
2.23194e-08,0.136918
2.23395e-08,0.137189
2.23596e-08,0.137937
2.23798e-08,0.139164
2.24e-08,0.140391
2.24203e-08,0.141619
2.24406e-08,0.142753
