wavelength,k
1.90745e-17,0.0751338
1.90892e-17,0.0740511
1.91039e-17,0.0740989
1.91186e-17,0.074713
1.91334e-17,0.0746648
1.91481e-17,0.0746648
1.91629e-17,0.0735329
1.91778e-17,0.0730139
1.91926e-17,0.0730612
1.92075e-17,0.0731085
1.92224e-17,0.0725883
1.92373e-17,0.0726355
1.92522e-17,0.073251
1.92672e-17,0.0732987
1.92821e-17,0.0733465
1.92971e-17,0.0739637
1.93122e-17,0.074012
1.93272e-17,0.0746304
1.93423e-17,0.0752002
1.93574e-17,0.0752002
1.93725e-17,0.0752495
1.93877e-17,0.0758693
1.94028e-17,0.0764898
1.9418e-17,0.0770605
1.94333e-17,0.077631
1.94485e-17,0.0787718
1.94638e-17,0.0787202
1.94791e-17,0.0792901
1.94944e-17,0.0786687
1.95097e-17,0.0781502
1.95251e-17,0.0782015
1.95405e-17,0.0788235
1.95559e-17,0.0793941
1.95713e-17,0.0799646
1.95868e-17,0.0804822
1.96022e-17,0.0799122
1.96178e-17,0.0799122
1.96333e-17,0.0799122
1.96488e-17,0.0799646
1.96644e-17,0.0793941
1.968e-17,0.0794463
1.96957e-17,0.0794986
1.97113e-17,0.079551
1.9727e-17,0.0801754
1.97427e-17,0.0802814
1.97584e-17,0.0809075
1.97742e-17,0.0821075
1.979e-17,0.0832533
1.98058e-17,0.0843988
1.98216e-17,0.084343
1.98375e-17,0.084343
1.98534e-17,0.084343
1.98693e-17,0.0849714
1.98852e-17,0.0856005
1.99012e-17,0.0861732
1.99171e-17,0.0866884
1.99331e-17,0.0872605
1.99492e-17,0.0877745
1.99652e-17,0.0877167
1.99813e-17,0.0876589
1.99974e-17,0.0870307
2.00136e-17,0.0865169
2.00298e-17,0.0866311
2.00459e-17,0.0872605
2.00622e-17,0.0878325
2.00784e-17,0.0877745
2.00947e-17,0.0877745
2.0111e-17,0.0871454
2.01273e-17,0.0866311
2.01437e-17,0.0861732
2.016e-17,0.0868609
2.01764e-17,0.0875504
2.01929e-17,0.0881243
2.02093e-17,0.088757
2.02258e-17,0.088757
2.02423e-17,0.0888755
2.02589e-17,0.08951
2.02754e-17,0.0907204
2.0292e-17,0.0914178
2.03086e-17,0.0920552
2.03253e-17,0.0932695
2.0342e-17,0.0951251
2.03587e-17,0.0980059
2.03754e-17,0.0995992
2.03921e-17,0.100614
2.04089e-17,0.101626
2.04257e-17,0.102566
2.04426e-17,0.102363
2.04594e-17,0.101659
2.04763e-17,0.100956
2.04933e-17,0.100321
2.05102e-17,0.0991178
2.05272e-17,0.0986136
2.05442e-17,0.0991828
2.05612e-17,0.099752
2.05783e-17,0.0996213
2.05954e-17,0.0989881
2.06125e-17,0.0988589
2.06296e-17,0.0975964
2.06468e-17,0.0952655
2.0664e-17,0.0930568
2.06813e-17,0.0915319
2.06985e-17,0.0917125
2.07158e-17,0.091894
2.07331e-17,0.0919548
2.07505e-17,0.0920157
2.07679e-17,0.0921378
2.07853e-17,0.0922604
2.08027e-17,0.0923219
2.08202e-17,0.0924452
2.08377e-17,0.0931445
2.08552e-17,0.0944215
2.08728e-17,0.095573
2.08903e-17,0.0949973
2.0908e-17,0.0951251
2.09256e-17,0.0958305
2.09433e-17,0.0964726
2.0961e-17,0.097693
2.09787e-17,0.0988476
2.09965e-17,0.0988476
2.10143e-17,0.0988476
2.10321e-17,0.0994919
2.10499e-17,0.100137
2.10678e-17,0.100783
2.10857e-17,0.100783
2.11037e-17,0.101429
2.11217e-17,0.101498
2.11397e-17,0.102076
2.11577e-17,0.102655
2.11758e-17,0.102146
2.11939e-17,0.102215
2.1212e-17,0.101705
2.12302e-17,0.101333
2.12484e-17,0.102124
2.12666e-17,0.103429
2.12848e-17,0.104227
2.13031e-17,0.105612
2.13214e-17,0.107513
2.13398e-17,0.110002
2.13582e-17,0.111755
2.13766e-17,0.113428
2.1395e-17,0.114011
2.14135e-17,0.114674
2.1432e-17,0.115921
2.14506e-17,0.117752
2.14691e-17,0.118918
2.14877e-17,0.120083
2.15064e-17,0.120666
2.1525e-17,0.121915
2.15437e-17,0.12325
2.15625e-17,0.125085
2.15812e-17,0.127502
2.16e-17,0.129741
2.16189e-17,0.131973
2.16377e-17,0.13295
2.16566e-17,0.134016
2.16756e-17,0.134987
2.16945e-17,0.136049
2.17135e-17,0.137684
2.17325e-17,0.138646
2.17516e-17,0.139032
2.17707e-17,0.139418
2.17898e-17,0.139324
2.1809e-17,0.139324
2.18282e-17,0.140563
2.18474e-17,0.14228
2.18667e-17,0.144469
2.1886e-17,0.146555
2.19053e-17,0.148337
2.19247e-17,0.148414
2.19441e-17,0.147928
2.19635e-17,0.147542
2.1983e-17,0.146504
2.20025e-17,0.144261
2.20221e-17,0.140071
2.20416e-17,0.136237
2.20612e-17,0.13499
2.20809e-17,0.135254
2.21006e-17,0.136649
2.21203e-17,0.138343
2.214e-17,0.138726
2.21598e-17,0.138073
2.21796e-17,0.137599
2.21995e-17,0.138163
2.22194e-17,0.139109
2.22393e-17,0.138366
2.22593e-17,0.137804
