wavelength,n
1.90745e-08,0.878433
1.90892e-08,0.877772
1.91039e-08,0.877206
1.91186e-08,0.876688
1.91334e-08,0.877254
1.91481e-08,0.877254
1.91629e-08,0.877159
1.91778e-08,0.876545
1.91926e-08,0.875978
1.92075e-08,0.875411
1.92224e-08,0.874797
1.92373e-08,0.874229
1.92522e-08,0.873708
1.92672e-08,0.87314
1.92821e-08,0.872571
1.92971e-08,0.87205
1.93122e-08,0.87148
1.93272e-08,0.870959
1.93423e-08,0.871008
1.93574e-08,0.871008
1.93725e-08,0.870438
1.93877e-08,0.869917
1.94028e-08,0.869397
1.9418e-08,0.869447
1.94333e-08,0.869498
1.94485e-08,0.8696
1.94638e-08,0.870171
1.94791e-08,0.870222
1.94944e-08,0.87074
1.95097e-08,0.870119
1.95251e-08,0.869549
1.95405e-08,0.86903
1.95559e-08,0.869082
1.95713e-08,0.869134
1.95868e-08,0.869757
1.96022e-08,0.869705
1.96178e-08,0.869705
1.96333e-08,0.869705
1.96488e-08,0.869134
1.96644e-08,0.869082
1.968e-08,0.868511
1.96957e-08,0.86794
1.97113e-08,0.867369
1.9727e-08,0.86685
1.97427e-08,0.865705
1.97584e-08,0.865186
1.97742e-08,0.864721
1.979e-08,0.86483
1.98058e-08,0.864941
1.98216e-08,0.865514
1.98375e-08,0.865514
1.98534e-08,0.865514
1.98693e-08,0.864997
1.98852e-08,0.864481
1.99012e-08,0.864538
1.99171e-08,0.865168
1.99331e-08,0.865225
1.99492e-08,0.865855
1.99652e-08,0.866426
1.99813e-08,0.866997
1.99974e-08,0.86751
2.00136e-08,0.866882
2.00298e-08,0.86574
2.00459e-08,0.865225
2.00622e-08,0.865283
2.00784e-08,0.865855
2.00947e-08,0.865855
2.0111e-08,0.866368
2.01273e-08,0.86574
2.01437e-08,0.864538
2.016e-08,0.863449
2.01764e-08,0.86236
2.01929e-08,0.862419
2.02093e-08,0.861904
2.02258e-08,0.861904
2.02423e-08,0.860755
2.02589e-08,0.86024
2.02754e-08,0.859785
2.0292e-08,0.858695
2.03086e-08,0.858181
2.03253e-08,0.857729
2.0342e-08,0.856766
2.03587e-08,0.857091
2.03754e-08,0.85844
2.03921e-08,0.859723
2.04089e-08,0.861004
2.04257e-08,0.862856
2.04426e-08,0.864568
2.04594e-08,0.865641
2.04763e-08,0.866713
2.04933e-08,0.867216
2.05102e-08,0.867655
2.05272e-08,0.867021
2.05442e-08,0.867085
2.05612e-08,0.867151
2.05783e-08,0.868288
2.05954e-08,0.868791
2.06125e-08,0.869927
2.06296e-08,0.870933
2.06468e-08,0.871249
2.0664e-08,0.870436
2.06813e-08,0.868549
2.06985e-08,0.86684
2.07158e-08,0.865127
2.07331e-08,0.864555
2.07505e-08,0.863983
2.07679e-08,0.862838
2.07853e-08,0.861691
2.08027e-08,0.861117
2.08202e-08,0.859969
2.08377e-08,0.858881
2.08552e-08,0.857855
2.08728e-08,0.857983
2.08903e-08,0.857919
2.0908e-08,0.856766
2.09256e-08,0.855677
2.09433e-08,0.855165
2.0961e-08,0.854719
2.09787e-08,0.854851
2.09965e-08,0.854851
2.10143e-08,0.854851
2.10321e-08,0.854341
2.10499e-08,0.853831
2.10678e-08,0.853321
2.10857e-08,0.853321
2.11037e-08,0.852812
2.11217e-08,0.852233
2.11397e-08,0.852303
2.11577e-08,0.852372
2.11758e-08,0.851724
2.11939e-08,0.851145
2.1212e-08,0.850496
2.12302e-08,0.848686
2.12484e-08,0.847012
2.12666e-08,0.845989
2.12848e-08,0.844312
2.13031e-08,0.842706
