wavelength,k
3.26e-16,1.08
3.35e-16,1.14
3.44e-16,1.19
3.54e-16,1.25
3.65e-16,1.32
3.76e-16,1.38
3.87e-16,1.44
4e-16,1.5
4.13e-16,1.56
4.28e-16,1.64
4.43e-16,1.71
4.59e-16,1.8
4.77e-16,1.88
4.96e-16,1.99
5.17e-16,2.1
5.39e-16,2.23
5.64e-16,2.36
5.9e-16,2.48
6.2e-16,2.62
6.53e-16,2.78
6.89e-16,2.96
7.29e-16,3.15
7.75e-16,3.4
8.27e-16,3.64
8.86e-16,3.87
9.54e-16,4.23
1.033e-15,4.62
1.127e-15,5.05
1.24e-15,5.59
1.378e-15,6.24
1.55e-15,7.02
1.771e-15,8.09
2.066e-15,9.46
