wavelength,k
4e-07,3.11
4.1e-07,2.94
4.2e-07,3.0
4.3e-07,3.01
4.4e-07,3.03
4.5e-07,3.08
4.6e-07,3.12
4.8e-07,3.0
5e-07,3.12
5.2e-07,3.14
5.3e-07,3.12
5.4e-07,3.12
5.5e-07,3.12
5.6e-07,3.09
5.7e-07,3.12
5.8e-07,3.13
5.9e-07,3.12
6e-07,3.07
6.2e-07,3.12
6.4e-07,3.1
6.6e-07,3.13
6.8e-07,3.14
7e-07,3.19
7.2e-07,3.25
7.4e-07,3.24
7.6e-07,3.4
7.8e-07,3.62
8e-07,3.69
8.2e-07,3.72
8.4e-07,3.78
8.5e-07,4.06
8.6e-07,4.05
8.8e-07,4.1
9e-07,4.19
9.2e-07,4.33
9.4e-07,4.4
9.5e-07,4.47
9.8e-07,4.67
1e-06,4.82
1.05e-06,5.15
1.1e-06,5.6
1.15e-06,6.15
1.2e-06,6.28
1.3e-06,7.03
1.4e-06,7.51
1.45e-06,8.0
1.5e-06,8.24
1.55e-06,8.52
1.6e-06,8.9
1.7e-06,9.92
1.75e-06,10.0
1.8e-06,10.4
1.85e-06,10.6
1.9e-06,11.0
1.95e-06,11.4
2e-06,11.8
2.05e-06,12.2
2.1e-06,12.6
2.15e-06,12.9
2.2e-06,13.2
2.25e-06,13.5
2.3e-06,14.1
2.35e-06,14.3
2.4e-06,14.4
2.45e-06,15.0
2.5e-06,15.3
2.55e-06,15.7
2.6e-06,16.1
2.75e-06,16.6
3e-06,17.3
3.3e-06,17.7
3.5e-06,18.5
4.22e-06,24.7
4.7e-06,28.4
5.9e-06,35.9
6.7e-06,38.4
8.2e-06,51.0
9.2e-06,58.8
