wavelength,k
4e-16,2.93
4.1e-16,3.06
4.2e-16,2.88
4.4e-16,2.97
4.6e-16,2.99
4.8e-16,3.04
5e-16,3.1
5.2e-16,3.11
5.4e-16,3.12
5.6e-16,3.12
5.8e-16,3.12
6e-16,3.16
6.2e-16,3.14
6.4e-16,3.15
6.6e-16,3.19
6.8e-16,3.16
7e-16,3.12
7.2e-16,3.15
7.4e-16,3.25
7.6e-16,3.28
7.8e-16,3.48
8e-16,3.57
8.2e-16,3.64
8.4e-16,3.74
8.5e-16,3.88
9e-16,4.13
9.5e-16,4.4
1e-15,4.73
1.05e-15,5.01
1.1e-15,5.45
1.2e-15,6.12
1.3e-15,6.89
1.4e-15,7.4
1.5e-15,8.24
1.6e-15,8.85
1.7e-15,9.34
1.8e-15,10.2
1.9e-15,11.1
2e-15,11.4
2.05e-15,11.8
2.1e-15,12.3
2.15e-15,12.5
2.2e-15,12.8
2.25e-15,12.8
2.3e-15,13.4
2.35e-15,13.0
2.4e-15,13.9
2.45e-15,14.1
2.5e-15,14.4
2.55e-15,14.9
2.6e-15,14.9
2.8e-15,16.2
3e-15,17.4
3.3e-15,17.5
3.7e-15,18.6
4.22e-15,24.4
4.7e-15,28.2
6e-15,35.7
6.6e-15,38.2
8.2e-15,50.5
9.2e-15,58.5
