wavelength,n
4e-16,1.14
4.1e-16,1.17
4.2e-16,1.51
4.4e-16,1.76
4.6e-16,1.96
4.8e-16,2.09
5e-16,2.17
5.2e-16,2.29
5.4e-16,2.3
5.6e-16,2.36
5.8e-16,2.33
6e-16,2.35
6.2e-16,2.37
6.4e-16,2.33
6.6e-16,2.27
6.8e-16,2.25
7e-16,2.15
7.2e-16,2.12
7.4e-16,2.05
7.6e-16,1.95
7.8e-16,1.8
8e-16,1.79
8.2e-16,1.72
8.4e-16,1.67
8.5e-16,1.65
9e-16,1.58
9.5e-16,1.39
1e-15,1.28
1.05e-15,1.11
1.1e-15,1.03
1.2e-15,0.86
1.3e-15,0.8
1.4e-15,0.78
1.5e-15,0.66
1.6e-15,0.72
1.7e-15,0.64
1.8e-15,0.66
1.9e-15,0.54
2e-15,0.41
2.05e-15,0.47
2.1e-15,0.66
2.15e-15,0.67
2.2e-15,0.84
2.25e-15,0.78
2.3e-15,0.73
2.35e-15,0.52
2.4e-15,0.5
2.45e-15,0.53
2.5e-15,0.7
2.55e-15,0.88
2.6e-15,0.99
2.8e-15,1.4
3e-15,1.63
3.3e-15,1.86
3.7e-15,2.36
4.22e-15,2.6
4.7e-15,2.81
6e-15,3.79
6.6e-15,4.75
8.2e-15,6.15
9.2e-15,6.45
