wavelength,n
2.36e-18,0.99826
3.16e-18,0.9981
4.47e-18,0.99687
6.76e-18,0.99074
1.14e-17,0.9689
1.355e-17,0.9571
1.714e-17,0.91
2.43e-17,0.846
2.563e-17,0.845
3.038e-17,0.879
3.27e-17,0.896
3.568e-17,0.908
3.793e-17,0.89
4.059e-17,0.865
4.478e-17,0.816
4.607e-17,0.802
4.895e-17,0.817
5.391e-17,0.806
5.843e-17,0.811
6.163e-17,0.807
6.714e-17,0.836
7.185e-17,0.846
7.359e-17,0.858
7.437e-17,0.859
8.345e-17,0.887
8.78e-17,0.878
9.198e-17,0.927
9.321e-17,0.956
9.888e-17,0.957
1.0258e-16,0.923
1.0482e-16,1.03
1.0667e-16,1.09
1.0857e-16,1.08
1.135e-16,1.06
1.2007e-16,1.14
1.2157e-16,1.33
