wavelength,k
2.5e-07,1.063965
2.55e-07,0.990757
2.6e-07,0.917045
2.65e-07,0.843424
2.7e-07,0.770466
2.75e-07,0.698714
2.8e-07,0.628673
2.85e-07,0.56081
2.9e-07,0.495546
2.95e-07,0.43326
3e-07,0.374286
3.05e-07,0.318917
3.1e-07,0.267408
3.15e-07,0.219978
3.2e-07,0.176816
3.25e-07,0.138083
3.3e-07,0.103919
3.35e-07,0.074443
3.4e-07,0.050857
3.45e-07,0.034999
3.5e-07,0.024358
3.55e-07,0.017131
3.6e-07,0.012164
3.65e-07,0.008709
3.7e-07,0.006284
3.75e-07,0.004572
3.8e-07,0.003352
3.85e-07,0.002478
3.9e-07,0.001845
3.95e-07,0.001384
4e-07,0.001046
4.05e-07,0.000795
4.1e-07,0.000609
4.15e-07,0.000469
4.2e-07,0.000364
4.25e-07,0.000284
4.3e-07,0.000223
4.35e-07,0.000176
4.4e-07,0.00014
4.45e-07,0.000111
4.5e-07,8.9e-05
4.55e-07,7.2e-05
4.6e-07,5.8e-05
4.65e-07,4.7e-05
4.7e-07,3.9e-05
4.75e-07,3.2e-05
4.8e-07,2.6e-05
4.85e-07,2.2e-05
4.9e-07,1.8e-05
4.95e-07,1.5e-05
5e-07,1.3e-05
5.05e-07,1e-05
5.1e-07,9e-06
5.15e-07,7e-06
5.2e-07,6e-06
5.25e-07,5e-06
5.3e-07,5e-06
5.35e-07,4e-06
5.4e-07,3e-06
5.45e-07,3e-06
5.5e-07,3e-06
5.55e-07,2e-06
5.6e-07,2e-06
5.65e-07,2e-06
5.7e-07,1e-06
5.75e-07,1e-06
5.8e-07,1e-06
5.85e-07,1e-06
5.9e-07,1e-06
5.95e-07,1e-06
6e-07,1e-06
6.05e-07,1e-06
6.1e-07,1e-06
6.15e-07,0.0
6.2e-07,0.0
6.25e-07,0.0
6.3e-07,0.0
6.35e-07,0.0
6.4e-07,0.0
6.45e-07,0.0
6.5e-07,0.0
6.55e-07,0.0
6.6e-07,0.0
6.65e-07,0.0
6.7e-07,0.0
6.75e-07,0.0
6.8e-07,0.0
6.85e-07,0.0
6.9e-07,0.0
6.95e-07,0.0
7e-07,0.0
7.05e-07,0.0
7.1e-07,0.0
7.15e-07,0.0
7.2e-07,0.0
7.25e-07,0.0
7.3e-07,0.0
7.35e-07,0.0
7.4e-07,0.0
7.45e-07,0.0
7.5e-07,0.0
7.55e-07,0.0
7.6e-07,0.0
7.65e-07,0.0
7.7e-07,0.0
7.75e-07,0.0
7.8e-07,0.0
7.85e-07,0.0
7.9e-07,0.0
7.95e-07,0.0
8e-07,0.0
8.05e-07,0.0
8.1e-07,0.0
8.15e-07,0.0
8.2e-07,0.0
8.25e-07,0.0
8.3e-07,0.0
8.35e-07,0.0
8.4e-07,0.0
8.45e-07,0.0
8.5e-07,0.0
8.55e-07,0.0
8.6e-07,0.0
8.65e-07,0.0
8.7e-07,0.0
8.75e-07,0.0
8.8e-07,0.0
8.85e-07,0.0
8.9e-07,0.0
8.95e-07,0.0
9e-07,0.0
9.05e-07,0.0
9.1e-07,0.0
9.15e-07,0.0
9.2e-07,0.0
9.25e-07,0.0
9.3e-07,0.0
9.35e-07,0.0
9.4e-07,0.0
9.45e-07,0.0
9.5e-07,0.0
9.55e-07,0.0
9.6e-07,0.0
9.65e-07,0.0
9.7e-07,0.0
9.75e-07,0.0
9.8e-07,0.0
9.85e-07,0.0
9.9e-07,0.0
9.95e-07,0.0
1e-06,0.0
1.005e-06,0.0
1.01e-06,0.0
1.015e-06,0.0
1.02e-06,0.0
1.025e-06,0.0
1.03e-06,0.0
1.035e-06,0.0
1.04e-06,0.0
1.045e-06,0.0
1.05e-06,0.0
1.055e-06,0.0
1.06e-06,0.0
1.065e-06,0.0
1.07e-06,0.0
1.075e-06,0.0
1.08e-06,0.0
1.085e-06,0.0
1.09e-06,0.0
1.095e-06,0.0
1.1e-06,0.0
1.105e-06,0.0
1.11e-06,0.0
1.115e-06,0.0
1.12e-06,0.0
1.125e-06,0.0
1.13e-06,0.0
1.135e-06,0.0
1.14e-06,0.0
1.145e-06,0.0
1.15e-06,0.0
1.155e-06,0.0
1.16e-06,0.0
1.165e-06,0.0
1.17e-06,0.0
1.175e-06,0.0
1.18e-06,0.0
1.185e-06,0.0
1.19e-06,0.0
1.195e-06,0.0
1.2e-06,0.0
1.205e-06,0.0
1.21e-06,0.0
1.215e-06,0.0
1.22e-06,0.0
1.225e-06,0.0
1.23e-06,0.0
1.235e-06,0.0
1.24e-06,0.0
1.245e-06,0.0
1.25e-06,0.0
1.255e-06,0.0
