wavelength,n
2.5e-07,3.04958
2.55e-07,3.079132
2.6e-07,3.10252
2.65e-07,3.119809
2.7e-07,3.13113
2.75e-07,3.136674
2.8e-07,3.136685
2.85e-07,3.131452
2.9e-07,3.121301
2.95e-07,3.106589
3e-07,3.087695
3.05e-07,3.065014
3.1e-07,3.038957
3.15e-07,3.009942
3.2e-07,2.9784
3.25e-07,2.944769
3.3e-07,2.909504
3.35e-07,2.873078
3.4e-07,2.836018
3.45e-07,2.798877
3.5e-07,2.762242
3.55e-07,2.726899
3.6e-07,2.69398
3.65e-07,2.665907
3.7e-07,2.642547
3.75e-07,2.622007
3.8e-07,2.603584
3.85e-07,2.586864
3.9e-07,2.571562
3.95e-07,2.557471
4e-07,2.544428
4.05e-07,2.532304
4.1e-07,2.520995
4.15e-07,2.510414
4.2e-07,2.500485
4.25e-07,2.491147
4.3e-07,2.482346
4.35e-07,2.474034
4.4e-07,2.46617
4.45e-07,2.458718
4.5e-07,2.451645
4.55e-07,2.444923
4.6e-07,2.438526
4.65e-07,2.43243
4.7e-07,2.426616
4.75e-07,2.421063
4.8e-07,2.415755
4.85e-07,2.410676
4.9e-07,2.405812
4.95e-07,2.40115
5e-07,2.396677
5.05e-07,2.392383
5.1e-07,2.388258
5.15e-07,2.384291
5.2e-07,2.380475
5.25e-07,2.376801
5.3e-07,2.373261
5.35e-07,2.369849
5.4e-07,2.366559
5.45e-07,2.363383
5.5e-07,2.360317
5.55e-07,2.357355
5.6e-07,2.354492
5.65e-07,2.351724
5.7e-07,2.349046
5.75e-07,2.346454
5.8e-07,2.343944
5.85e-07,2.341513
5.9e-07,2.339157
5.95e-07,2.336873
6e-07,2.334657
6.05e-07,2.332508
6.1e-07,2.330422
6.15e-07,2.328396
6.2e-07,2.326429
6.25e-07,2.324518
6.3e-07,2.32266
6.35e-07,2.320854
6.4e-07,2.319098
6.45e-07,2.317389
6.5e-07,2.315726
6.55e-07,2.314108
6.6e-07,2.312532
6.65e-07,2.310998
6.7e-07,2.309503
6.75e-07,2.308046
6.8e-07,2.306626
6.85e-07,2.305242
6.9e-07,2.303892
6.95e-07,2.302575
7e-07,2.301291
7.05e-07,2.300037
7.1e-07,2.298814
7.15e-07,2.297619
7.2e-07,2.296453
7.25e-07,2.295313
7.3e-07,2.2942
7.35e-07,2.293113
7.4e-07,2.29205
7.45e-07,2.291011
7.5e-07,2.289996
7.55e-07,2.289002
7.6e-07,2.288031
7.65e-07,2.287081
7.7e-07,2.286151
7.75e-07,2.285241
7.8e-07,2.284351
7.85e-07,2.283479
7.9e-07,2.282626
7.95e-07,2.28179
8e-07,2.280972
8.05e-07,2.28017
8.1e-07,2.279384
8.15e-07,2.278615
8.2e-07,2.277861
8.25e-07,2.277121
8.3e-07,2.276397
8.35e-07,2.275686
8.4e-07,2.27499
8.45e-07,2.274306
8.5e-07,2.273636
8.55e-07,2.272979
8.6e-07,2.272334
8.65e-07,2.271701
8.7e-07,2.27108
8.75e-07,2.270471
8.8e-07,2.269872
8.85e-07,2.269285
8.9e-07,2.268708
8.95e-07,2.268142
9e-07,2.267586
9.05e-07,2.26704
9.1e-07,2.266503
9.15e-07,2.265976
9.2e-07,2.265458
9.25e-07,2.264949
9.3e-07,2.264449
9.35e-07,2.263957
9.4e-07,2.263474
9.45e-07,2.262999
9.5e-07,2.262532
9.55e-07,2.262073
9.6e-07,2.261621
9.65e-07,2.261177
9.7e-07,2.260741
9.75e-07,2.260311
9.8e-07,2.259888
9.85e-07,2.259472
9.9e-07,2.259063
9.95e-07,2.258661
1e-06,2.258265
1.005e-06,2.257875
1.01e-06,2.257491
1.015e-06,2.257113
1.02e-06,2.256741
1.025e-06,2.256375
1.03e-06,2.256014
1.035e-06,2.255659
1.04e-06,2.25531
1.045e-06,2.254965
1.05e-06,2.254626
1.055e-06,2.254292
1.06e-06,2.253963
1.065e-06,2.253639
1.07e-06,2.253319
1.075e-06,2.253005
1.08e-06,2.252694
1.085e-06,2.252389
1.09e-06,2.252087
1.095e-06,2.25179
1.1e-06,2.251498
1.105e-06,2.251209
1.11e-06,2.250925
1.115e-06,2.250644
1.12e-06,2.250368
1.125e-06,2.250095
1.13e-06,2.249826
1.135e-06,2.249561
1.14e-06,2.2493
1.145e-06,2.249042
1.15e-06,2.248787
1.155e-06,2.248536
1.16e-06,2.248289
1.165e-06,2.248044
1.17e-06,2.247803
1.175e-06,2.247566
1.18e-06,2.247331
1.185e-06,2.247099
1.19e-06,2.246871
1.195e-06,2.246645
1.2e-06,2.246423
1.205e-06,2.246203
1.21e-06,2.245986
1.215e-06,2.245772
1.22e-06,2.24556
1.225e-06,2.245352
1.23e-06,2.245146
1.235e-06,2.244942
1.24e-06,2.244741
1.245e-06,2.244543
1.25e-06,2.244347
1.255e-06,2.244153
1.26e-06,2.243962
1.265e-06,2.243773
1.27e-06,2.243587
1.275e-06,2.243403
1.28e-06,2.243221
1.285e-06,2.243041
1.29e-06,2.242863
1.295e-06,2.242688
1.3e-06,2.242515
1.305e-06,2.242343
1.31e-06,2.242174
1.315e-06,2.242007
1.32e-06,2.241841
1.325e-06,2.241678
1.33e-06,2.241516
1.335e-06,2.241357
1.34e-06,2.241199
1.345e-06,2.241043
1.35e-06,2.240889
1.355e-06,2.240736
1.36e-06,2.240585
1.365e-06,2.240436
1.37e-06,2.240289
1.375e-06,2.240143
1.38e-06,2.239999
1.385e-06,2.239857
1.39e-06,2.239716
1.395e-06,2.239577
1.4e-06,2.239439
1.405e-06,2.239303
1.41e-06,2.239168
1.415e-06,2.239035
1.42e-06,2.238903
1.425e-06,2.238772
1.43e-06,2.238643
1.435e-06,2.238516
1.44e-06,2.23839
1.445e-06,2.238265
1.45e-06,2.238141
1.455e-06,2.238019
1.46e-06,2.237898
1.465e-06,2.237778
1.47e-06,2.23766
1.475e-06,2.237542
1.48e-06,2.237426
1.485e-06,2.237312
1.49e-06,2.237198
1.495e-06,2.237085
1.5e-06,2.236974
1.505e-06,2.236864
1.51e-06,2.236755
1.515e-06,2.236647
1.52e-06,2.23654
1.525e-06,2.236434
1.53e-06,2.23633
1.535e-06,2.236226
1.54e-06,2.236123
1.545e-06,2.236022
1.55e-06,2.235921
1.555e-06,2.235821
1.56e-06,2.235723
1.565e-06,2.235625
1.57e-06,2.235528
1.575e-06,2.235433
1.58e-06,2.235338
1.585e-06,2.235244
1.59e-06,2.235151
1.595e-06,2.235059
1.6e-06,2.234967
1.605e-06,2.234877
1.61e-06,2.234787
1.615e-06,2.234699
1.62e-06,2.234611
1.625e-06,2.234524
1.63e-06,2.234438
1.635e-06,2.234352
1.64e-06,2.234268
1.645e-06,2.234184
1.65e-06,2.234101
1.655e-06,2.234019
1.66e-06,2.233937
1.665e-06,2.233856
1.67e-06,2.233776
1.675e-06,2.233697
1.68e-06,2.233619
1.685e-06,2.233541
1.69e-06,2.233464
1.695e-06,2.233387
1.7e-06,2.233311
1.705e-06,2.233236
1.71e-06,2.233162
1.715e-06,2.233088
1.72e-06,2.233015
1.725e-06,2.232943
1.73e-06,2.232871
1.735e-06,2.2328
1.74e-06,2.232729
1.745e-06,2.232659
1.75e-06,2.23259
1.755e-06,2.232521
1.76e-06,2.232453
1.765e-06,2.232385
1.77e-06,2.232318
1.775e-06,2.232252
1.78e-06,2.232186
