wavelength,k
1.88e-16,1.6
1.92e-16,1.64
1.95e-16,1.69
1.99e-16,1.75
2.03e-16,1.82
2.07e-16,1.89
2.12e-16,1.96
2.16e-16,2.02
2.21e-16,2.09
2.26e-16,2.15
2.31e-16,2.2
2.37e-16,2.25
2.43e-16,2.29
2.49e-16,2.31
2.55e-16,2.32
2.62e-16,2.3
2.69e-16,2.29
2.76e-16,2.26
2.84e-16,2.23
2.92e-16,2.2
3.01e-16,2.18
3.11e-16,2.18
3.2e-16,2.19
3.32e-16,2.22
3.42e-16,2.26
3.54e-16,2.32
3.68e-16,2.4
3.81e-16,2.48
3.97e-16,2.57
4.13e-16,2.69
4.31e-16,2.82
4.51e-16,2.95
4.71e-16,3.09
4.96e-16,3.25
5.21e-16,3.42
5.49e-16,3.61
5.82e-16,3.8
6.17e-16,4.02
6.59e-16,4.26
7.04e-16,4.5
7.56e-16,4.73
8.21e-16,4.97
8.92e-16,5.23
9.84e-16,5.55
1.088e-15,5.93
1.216e-15,6.43
1.393e-15,7.08
1.61e-15,7.96
1.937e-15,9.09
