wavelength,n
6.67e-16,2.15
7.14e-16,2.25
7.69e-16,2.4
8.33e-16,2.56
9.09e-16,2.69
1e-15,2.82
1.05e-15,2.87
1.11e-15,2.95
1.18e-15,2.99
1.25e-15,3.05
1.33e-15,3.14
1.43e-15,3.23
1.54e-15,3.36
1.67e-15,3.51
1.82e-15,3.64
2e-15,3.83
2.11e-15,3.95
2.22e-15,4.03
2.35e-15,4.06
2.5e-15,4.16
2.67e-15,4.28
2.86e-15,4.4
3.08e-15,4.53
3.33e-15,4.67
3.64e-15,4.79
4e-15,4.95
4.44e-15,5.11
5e-15,5.3
5.71e-15,5.45
6.67e-15,6.05
8e-15,7.12
1e-14,8.42
1.11e-14,9.55
1.25e-14,11.0
1.43e-14,13.0
1.67e-14,15.2
2e-14,18.1
2.22e-14,20.0
2.5e-14,22.5
2.86e-14,25.6
3.33e-14,30.8
4e-14,39.1
4.44e-14,45.1
5e-14,52.7
5.71e-14,62.5
6.67e-14,75.1
8e-14,92.0
1e-13,116.0
1.25e-13,144.0
1.54e-13,176.0
2e-13,219.0
2.86e-13,286.0
