wavelength,n
2.36e-18,0.99605
3.16e-18,0.99514
4.47e-18,0.99273
6.76e-18,0.9863
1.14e-17,0.9524
1.355e-17,0.9139
1.714e-17,0.886
2.43e-17,0.883
2.563e-17,0.86
3.038e-17,0.84
3.27e-17,0.753
3.568e-17,0.703
3.793e-17,0.663
4.059e-17,0.638
4.478e-17,0.631
4.607e-17,0.623
4.895e-17,0.688
5.391e-17,0.75
5.843e-17,0.809
6.163e-17,0.805
6.714e-17,0.961
7.185e-17,1.03
7.359e-17,1.09
7.437e-17,1.15
8.345e-17,1.09
8.78e-17,1.03
9.198e-17,1.08
9.321e-17,1.15
9.888e-17,1.15
1.0258e-16,1.26
1.0482e-16,1.21
1.0667e-16,1.14
1.0857e-16,1.16
1.135e-16,1.16
1.2007e-16,1.25
1.2157e-16,1.26
