wavelength,k
5.4e-07,3.46
5.5e-07,3.5
5.6e-07,3.51
5.7e-07,3.52
5.8e-07,3.52
5.9e-07,3.52
6e-07,3.5
6.1e-07,3.45
6.2e-07,3.38
6.3e-07,3.27
6.4e-07,3.16
6.5e-07,3.09
6.6e-07,3.02
6.7e-07,2.93
6.8e-07,2.89
6.9e-07,2.84
7e-07,2.82
7.1e-07,2.83
7.2e-07,2.89
7.3e-07,2.97
7.4e-07,3.06
7.5e-07,3.15
7.6e-07,3.26
7.8e-07,3.46
7.9e-07,3.58
8e-07,3.61
8.1e-07,3.75
8.2e-07,3.78
8.4e-07,3.92
8.5e-07,3.97
8.6e-07,4.04
8.8e-07,4.16
9e-07,4.27
9.2e-07,4.39
9.5e-07,4.57
9.8e-07,4.76
1e-06,4.9
1.05e-06,5.22
1.1e-06,5.58
1.15e-06,5.92
1.2e-06,6.29
1.25e-06,6.66
1.3e-06,6.96
1.35e-06,7.26
1.4e-06,7.59
1.45e-06,7.9
1.5e-06,8.24
1.6e-06,8.94
1.7e-06,9.57
1.8e-06,10.3
1.9e-06,11.0
2e-06,11.5
2.1e-06,12.1
2.2e-06,12.7
2.3e-06,13.3
2.4e-06,13.9
2.5e-06,14.5
2.55e-06,14.7
2.6e-06,15.0
3e-06,17.3
3.5e-06,20.1
4e-06,23.1
5e-06,28.6
6e-06,34.4
7e-06,39.9
8e-06,45.5
9e-06,50.6
1e-05,55.9
1.1e-05,61.3
1.2e-05,66.5
