wavelength,k
4.5e-07,3.2
4.6e-07,3.22
4.7e-07,3.22
4.8e-07,3.22
4.9e-07,3.22
5e-07,3.24
5.1e-07,3.27
5.2e-07,3.31
5.3e-07,3.35
5.4e-07,3.39
5.5e-07,3.43
5.6e-07,3.45
5.7e-07,3.46
5.8e-07,3.47
5.9e-07,3.46
6e-07,3.44
6.1e-07,3.42
6.2e-07,3.38
6.3e-07,3.34
6.4e-07,3.28
6.5e-07,3.25
6.6e-07,3.19
6.7e-07,3.14
6.8e-07,3.1
6.9e-07,3.08
7e-07,3.07
7.1e-07,3.08
7.2e-07,3.13
7.3e-07,3.17
7.4e-07,3.24
7.5e-07,3.33
7.6e-07,3.41
7.8e-07,3.58
7.9e-07,3.65
8e-07,3.73
8.2e-07,3.86
8.5e-07,4.05
8.8e-07,4.25
9e-07,4.37
9.2e-07,4.49
9.5e-07,4.67
9.8e-07,4.86
1e-06,5.0
1.05e-06,5.3
1.1e-06,5.63
1.15e-06,6.0
1.2e-06,6.28
1.25e-06,6.66
1.3e-06,6.96
1.4e-06,7.59
1.5e-06,8.23
1.6e-06,8.93
1.7e-06,9.59
1.8e-06,10.2
1.9e-06,10.8
2e-06,11.3
2.1e-06,11.9
2.2e-06,12.5
2.3e-06,13.1
2.4e-06,13.7
2.5e-06,14.3
2.6e-06,14.8
3e-06,17.3
3.5e-06,20.4
4e-06,22.9
5e-06,28.7
6e-06,33.9
7e-06,38.7
8e-06,43.9
9e-06,49.1
1e-05,54.4
1.1e-05,59.1
1.2e-05,63.5
