wavelength,n
4.5e-07,1.56
4.6e-07,1.57
4.7e-07,1.64
4.8e-07,1.65
4.9e-07,1.65
5e-07,1.67
5.1e-07,1.68
5.2e-07,1.7
5.3e-07,1.73
5.4e-07,1.78
5.5e-07,1.82
5.6e-07,1.87
5.7e-07,1.91
5.8e-07,1.96
5.9e-07,2.01
6e-07,2.06
6.1e-07,2.1
6.2e-07,2.11
6.3e-07,2.14
6.4e-07,2.13
6.5e-07,2.09
6.6e-07,2.08
6.7e-07,2.02
6.8e-07,1.96
6.9e-07,1.88
7e-07,1.8
7.1e-07,1.68
7.2e-07,1.58
7.3e-07,1.47
7.4e-07,1.39
7.5e-07,1.34
7.6e-07,1.28
7.8e-07,1.18
7.9e-07,1.16
8e-07,1.13
8.2e-07,1.09
8.5e-07,1.05
8.8e-07,1.01
9e-07,0.983
9.2e-07,0.956
9.5e-07,0.917
9.8e-07,0.878
1e-06,0.848
1.05e-06,0.801
1.1e-06,0.743
1.15e-06,0.678
1.2e-06,0.651
1.25e-06,0.599
1.3e-06,0.583
1.4e-06,0.566
1.5e-06,0.575
1.6e-06,0.611
1.7e-06,0.647
1.8e-06,0.683
1.9e-06,0.728
2e-06,0.783
2.1e-06,0.835
2.2e-06,0.901
2.3e-06,0.949
2.4e-06,0.997
2.5e-06,1.05
2.6e-06,1.19
3e-06,1.53
3.5e-06,2.01
4e-06,2.48
5e-06,3.99
6e-06,5.41
7e-06,7.16
8e-06,8.82
9e-06,10.5
1e-05,12.3
1.1e-05,14.4
1.2e-05,16.3
