wavelength,k
6.67e-07,3.49
7.14e-07,3.58
7.69e-07,3.85
8.33e-07,4.25
9.09e-07,4.7
1e-06,5.26
1.05e-06,5.58
1.11e-06,5.94
1.18e-06,6.35
1.25e-06,6.8
1.33e-06,7.31
1.43e-06,7.88
1.54e-06,8.53
1.67e-06,9.27
1.82e-06,10.1
2e-06,11.2
2.11e-06,11.7
2.22e-06,12.4
2.35e-06,13.1
2.5e-06,13.8
2.67e-06,14.7
2.86e-06,15.6
3.08e-06,16.7
3.33e-06,17.9
3.64e-06,19.2
4e-06,20.7
4.44e-06,22.6
5e-06,24.8
5.71e-06,27.2
6.67e-06,30.1
8e-06,33.7
1e-05,38.1
1.11e-05,40.1
1.25e-05,42.6
1.43e-05,45.3
1.67e-05,48.3
2e-05,52.5
2.22e-05,55.2
2.5e-05,58.5
2.86e-05,62.5
3.33e-05,67.1
4e-05,72.7
4.44e-05,76.1
5e-05,80.0
5.71e-05,84.6
6.67e-05,90.6
8e-05,98.7
0.0001,111.0
0.000133,129.0
0.0002,164.0
0.0004,244.0
0.000667,319.0
