wavelength,n
6.67e-07,1.88
7.14e-07,1.74
7.69e-07,1.55
8.33e-07,1.46
9.09e-07,1.39
1e-06,1.36
1.05e-06,1.35
1.11e-06,1.36
1.18e-06,1.38
1.25e-06,1.42
1.33e-06,1.48
1.43e-06,1.57
1.54e-06,1.69
1.67e-06,1.85
1.82e-06,2.04
2e-06,2.31
2.11e-06,2.49
2.22e-06,2.7
2.35e-06,2.98
2.5e-06,3.18
2.67e-06,3.58
2.86e-06,3.94
3.08e-06,4.39
3.33e-06,5.01
3.64e-06,5.72
4e-06,6.54
4.44e-06,7.58
5e-06,9.02
5.71e-06,11.0
6.67e-06,13.5
8e-06,16.6
1e-05,21.4
1.11e-05,23.8
1.25e-05,26.5
1.43e-05,30.0
1.67e-05,33.9
2e-05,38.4
2.22e-05,41.2
2.5e-05,44.7
2.86e-05,49.0
3.33e-05,54.5
4e-05,61.4
4.44e-05,65.5
5e-05,70.2
5.71e-05,75.5
6.67e-05,81.8
8e-05,89.5
0.0001,99.5
0.000133,114.0
0.0002,141.0
0.0004,211.0
0.000667,289.0
