wavelength,k
1.88e-07,1.38
1.92e-07,1.42
1.95e-07,1.46
1.99e-07,1.5
2.03e-07,1.55
2.07e-07,1.6
2.12e-07,1.65
2.16e-07,1.7
2.21e-07,1.76
2.26e-07,1.81
2.31e-07,1.86
2.37e-07,1.91
2.43e-07,1.95
2.49e-07,1.99
2.55e-07,2.03
2.62e-07,2.07
2.69e-07,2.1
2.76e-07,2.13
2.84e-07,2.18
2.92e-07,2.23
3.01e-07,2.29
3.11e-07,2.35
3.2e-07,2.42
3.32e-07,2.5
3.42e-07,2.57
3.54e-07,2.65
3.68e-07,2.74
3.81e-07,2.83
3.97e-07,2.93
4.13e-07,3.03
4.31e-07,3.14
4.51e-07,3.26
4.71e-07,3.39
4.96e-07,3.54
5.21e-07,3.68
5.49e-07,3.84
5.82e-07,4.02
6.17e-07,4.21
6.59e-07,4.42
7.04e-07,4.65
7.56e-07,4.89
8.21e-07,5.19
8.92e-07,5.5
9.84e-07,5.89
1.088e-06,6.33
1.216e-06,6.9
1.393e-06,7.65
1.61e-06,8.59
1.937e-06,9.89
