wavelength,n
1.88e-07,0.84
1.92e-07,0.85
1.95e-07,0.85
1.99e-07,0.85
2.03e-07,0.86
2.07e-07,0.87
2.12e-07,0.89
2.16e-07,0.91
2.21e-07,0.92
2.26e-07,0.94
2.31e-07,0.97
2.37e-07,1.0
2.43e-07,1.04
2.49e-07,1.08
2.55e-07,1.11
2.62e-07,1.13
2.69e-07,1.16
2.76e-07,1.19
2.84e-07,1.18
2.92e-07,1.18
3.01e-07,1.2
3.11e-07,1.21
3.2e-07,1.21
3.32e-07,1.2
3.42e-07,1.22
3.54e-07,1.23
3.68e-07,1.24
3.81e-07,1.26
3.97e-07,1.3
4.13e-07,1.33
4.31e-07,1.37
4.51e-07,1.41
4.71e-07,1.46
4.96e-07,1.52
5.21e-07,1.57
5.49e-07,1.64
5.82e-07,1.68
6.17e-07,1.75
6.59e-07,1.8
7.04e-07,1.86
7.56e-07,1.95
8.21e-07,2.06
8.92e-07,2.23
9.84e-07,2.34
1.088e-06,2.52
1.216e-06,2.66
1.393e-06,2.8
1.61e-06,3.01
1.937e-06,3.34
