wavelength,k
2.36e-18,0.00378
3.16e-18,0.00477
4.47e-18,0.00208
6.76e-18,0.00311
1.14e-17,0.000391
1.355e-17,0.025
1.714e-17,0.148
2.43e-17,0.244
2.563e-17,0.224
3.038e-17,0.247
3.27e-17,0.31
3.568e-17,0.307
3.793e-17,0.42
4.059e-17,0.451
4.478e-17,0.495
4.607e-17,0.547
4.895e-17,0.625
5.391e-17,0.763
5.843e-17,0.85
6.163e-17,0.79
6.714e-17,0.766
7.185e-17,0.778
7.359e-17,0.824
7.437e-17,0.744
8.345e-17,0.877
8.78e-17,0.815
9.198e-17,0.796
9.321e-17,0.749
9.888e-17,0.733
1.0258e-16,0.708
1.0482e-16,0.691
1.0667e-16,0.666
1.0857e-16,0.533
1.135e-16,0.605
1.2007e-16,0.56
1.2157e-16,0.592
