wavelength,n
2.36e-18,0.99619
3.16e-18,0.99757
4.47e-18,0.99302
6.76e-18,0.9818
1.14e-17,0.9378
1.355e-17,0.871
1.714e-17,0.835
2.43e-17,0.879
2.563e-17,0.851
3.038e-17,0.821
3.27e-17,0.799
3.568e-17,0.758
3.793e-17,0.763
4.059e-17,0.794
4.478e-17,0.78
4.607e-17,0.765
4.895e-17,0.809
5.391e-17,0.853
5.843e-17,0.913
6.163e-17,0.99
6.714e-17,1.03
7.185e-17,1.06
7.359e-17,1.07
7.437e-17,0.936
8.345e-17,1.24
8.78e-17,1.23
9.198e-17,1.36
9.321e-17,1.3
9.888e-17,1.28
1.0258e-16,1.46
1.0482e-16,1.38
1.0667e-16,1.3
1.0857e-16,1.62
1.135e-16,1.4
1.2007e-16,1.36
1.2157e-16,1.27
