wavelength,k
7.74901e-10,0.000227
7.7733e-10,0.000228
7.79775e-10,0.000228
7.82235e-10,0.000227
7.8471e-10,0.000224
7.87201e-10,0.000224
7.89708e-10,0.000229
7.92231e-10,0.000233
7.9477e-10,0.000233
7.97326e-10,0.00023
7.99898e-10,0.000227
8.02487e-10,0.000228
8.05092e-10,0.000246
8.05615e-10,0.000247
8.06139e-10,0.000249
8.06664e-10,0.000251
8.07189e-10,0.000252
8.07715e-10,0.000252
8.08241e-10,0.000253
8.08768e-10,0.000252
8.09296e-10,0.000252
8.09825e-10,0.000251
8.10354e-10,0.00025
8.10884e-10,0.000249
8.11415e-10,0.000247
8.11946e-10,0.000248
8.12478e-10,0.000246
8.13011e-10,0.000245
8.13545e-10,0.000244
8.14079e-10,0.000243
8.14614e-10,0.000243
8.15149e-10,0.000243
8.15685e-10,0.000242
8.16222e-10,0.000242
8.1676e-10,0.00024
8.17299e-10,0.000241
8.17838e-10,0.000241
8.18377e-10,0.000241
8.18918e-10,0.000243
8.19459e-10,0.000242
8.20001e-10,0.000244
8.20544e-10,0.000243
8.21087e-10,0.000246
8.21631e-10,0.000247
8.22176e-10,0.000248
8.22722e-10,0.000249
8.23268e-10,0.000251
8.23815e-10,0.000252
8.24363e-10,0.000253
8.24911e-10,0.000254
8.25461e-10,0.000253
8.26011e-10,0.000255
8.26561e-10,0.000254
8.27113e-10,0.000255
8.27665e-10,0.000254
8.28218e-10,0.000254
8.28771e-10,0.000251
8.29326e-10,0.000251
8.29881e-10,0.00025
8.30437e-10,0.000249
8.30993e-10,0.000251
8.31551e-10,0.000252
8.32109e-10,0.000256
8.3491e-10,0.000238
8.37731e-10,0.000235
8.40571e-10,0.000241
8.4343e-10,0.000243
8.46308e-10,0.000239
8.49207e-10,0.000237
8.52125e-10,0.000236
8.55063e-10,0.000236
8.58022e-10,0.000244
8.61001e-10,0.00025
8.64001e-10,0.000248
8.67022e-10,0.000248
8.70064e-10,0.000246
8.73128e-10,0.000253
8.76213e-10,0.000255
8.7932e-10,0.000259
8.8245e-10,0.000258
8.85601e-10,0.000261
8.88776e-10,0.000266
8.91973e-10,0.000269
8.95193e-10,0.000272
8.98436e-10,0.000272
9.01703e-10,0.000274
9.04994e-10,0.000296
9.05655e-10,0.000288
9.06317e-10,0.000319
9.0698e-10,0.000303
9.07644e-10,0.000289
9.08309e-10,0.00028
9.08975e-10,0.000275
9.09642e-10,0.000269
9.1031e-10,0.00027
9.10979e-10,0.000273
9.11648e-10,0.000273
9.12319e-10,0.000276
9.12991e-10,0.000278
9.13664e-10,0.000282
9.14338e-10,0.000285
9.15012e-10,0.00029
9.15688e-10,0.000294
9.16365e-10,0.000294
9.17043e-10,0.000296
9.17722e-10,0.000298
9.18401e-10,0.000302
