wavelength,k
2.36e-18,0.00378
3.16e-18,0.00384
4.47e-18,0.00827
6.76e-18,0.00976
1.14e-17,0.0235
1.355e-17,0.0578
1.714e-17,0.168
2.43e-17,0.245
2.563e-17,0.178
3.038e-17,0.208
3.27e-17,0.236
3.568e-17,0.327
3.793e-17,0.385
4.059e-17,0.527
4.478e-17,0.574
4.607e-17,0.592
4.895e-17,0.7
5.391e-17,0.821
5.843e-17,0.952
6.163e-17,0.906
6.714e-17,0.814
7.185e-17,0.774
7.359e-17,0.787
7.437e-17,0.811
8.345e-17,0.846
8.78e-17,0.885
9.198e-17,0.868
9.321e-17,0.873
9.888e-17,0.856
1.0258e-16,0.898
1.0482e-16,0.925
1.0667e-16,0.933
1.0857e-16,0.958
1.135e-16,0.949
1.2007e-16,1.04
1.2157e-16,1.03
