wavelength,k
2.36e-18,0.00262
3.16e-18,0.00358
4.47e-18,0.00715
6.76e-18,0.00912
1.14e-17,0.0247
1.355e-17,0.0246
2.43e-17,0.199
2.563e-17,0.181
3.038e-17,0.188
3.27e-17,0.147
3.568e-17,0.175
3.793e-17,0.204
4.059e-17,0.234
4.478e-17,0.336
4.607e-17,0.405
4.895e-17,0.521
5.391e-17,0.723
5.843e-17,0.783
6.163e-17,0.866
6.714e-17,0.969
7.185e-17,0.937
7.359e-17,0.954
7.437e-17,0.92
8.345e-17,0.853
8.78e-17,0.838
9.198e-17,0.888
9.321e-17,0.881
9.888e-17,0.91
1.0258e-16,0.918
1.0482e-16,0.946
1.0667e-16,0.958
1.0857e-16,0.905
1.135e-16,0.933
1.2007e-16,0.901
1.2157e-16,0.922
