wavelength,n
2.36e-18,0.9972
3.16e-18,0.99772
4.47e-18,0.99431
6.76e-18,0.9883
1.14e-17,0.9664
1.355e-17,0.9473
2.43e-17,0.895
2.563e-17,0.881
3.038e-17,0.918
3.27e-17,0.861
3.568e-17,0.803
3.793e-17,0.766
4.059e-17,0.73
4.478e-17,0.687
4.607e-17,0.663
4.895e-17,0.702
5.391e-17,0.786
5.843e-17,0.779
6.163e-17,0.874
6.714e-17,1.023
7.185e-17,1.067
7.359e-17,1.071
7.437e-17,1.051
8.345e-17,1.102
8.78e-17,1.125
9.198e-17,1.148
9.321e-17,1.103
9.888e-17,1.221
1.0258e-16,1.274
1.0482e-16,1.196
1.0667e-16,1.259
1.0857e-16,1.2
1.135e-16,1.33
1.2007e-16,1.23
1.2157e-16,1.33
