wavelength,k
2.36e-09,0.00386
3.16e-09,0.00385
4.47e-09,0.00219
6.76e-09,0.00391
1.14e-08,0.00482
1.355e-08,0.0162
1.714e-08,0.145
2.43e-08,0.274
2.563e-08,0.278
3.038e-08,0.202
3.27e-08,0.252
3.568e-08,0.298
3.793e-08,0.407
4.059e-08,0.525
4.478e-08,0.584
4.607e-08,0.638
4.895e-08,0.753
5.391e-08,0.839
5.843e-08,0.977
6.163e-08,0.972
6.714e-08,0.895
7.185e-08,0.866
7.359e-08,0.814
7.437e-08,0.833
8.345e-08,0.821
8.78e-08,0.836
9.198e-08,0.799
9.321e-08,0.779
9.888e-08,0.763
1.0258e-07,0.719
1.0482e-07,0.715
1.0667e-07,0.725
1.0857e-07,0.684
1.135e-07,0.664
1.2007e-07,0.644
1.2157e-07,0.582
