wavelength,k
2.36e-18,0.00353
3.16e-18,0.00254
4.47e-18,0.00157
6.76e-18,0.00264
1.14e-17,0.00543
1.355e-17,0.0129
1.714e-17,0.125
2.43e-17,0.216
2.563e-17,0.221
3.038e-17,0.14
3.27e-17,0.179
3.568e-17,0.216
3.793e-17,0.292
4.059e-17,0.346
4.478e-17,0.511
4.607e-17,0.553
4.895e-17,0.583
5.391e-17,0.73
5.843e-17,0.831
6.163e-17,0.895
6.714e-17,0.96
7.185e-17,0.831
7.359e-17,0.866
7.437e-17,0.843
8.345e-17,0.772
8.78e-17,0.772
9.198e-17,0.745
9.321e-17,0.727
9.888e-17,0.694
1.0258e-16,0.634
1.0482e-16,0.637
1.0667e-16,0.616
1.0857e-16,0.564
1.135e-16,0.574
1.2007e-16,0.589
1.2157e-16,0.59
