wavelength,n
2.36e-09,0.99668
3.16e-09,0.99698
4.47e-09,0.99546
6.76e-09,0.984
1.14e-08,0.9417
1.355e-08,0.9023
1.714e-08,0.809
2.43e-08,0.87
2.563e-08,0.888
3.038e-08,0.858
3.27e-08,0.805
3.568e-08,0.745
3.793e-08,0.714
4.059e-08,0.681
4.478e-08,0.696
4.607e-08,0.679
4.895e-08,0.739
5.391e-08,0.782
5.843e-08,0.839
6.163e-08,0.93
6.714e-08,1.19
7.185e-08,1.13
7.359e-08,1.21
7.437e-08,1.19
8.345e-08,1.25
8.78e-08,1.23
9.198e-08,1.24
9.321e-08,1.29
9.888e-08,1.26
1.0258e-07,1.19
1.0482e-07,1.14
1.0667e-07,1.14
1.0857e-07,1.02
1.135e-07,1.05
1.2007e-07,0.983
1.2157e-07,0.906
