wavelength,k
1.239842e-18,0.0001487
1.252366e-18,0.000153633
1.265145e-18,0.000157867
1.278187e-18,0.000163833
1.291502e-18,0.000169233
1.305097e-18,0.000175
1.318981e-18,0.000181667
1.333163e-18,0.000187867
1.347654e-18,0.0001953
1.362464e-18,0.0002026
1.377602e-18,0.000210433
1.393081e-18,0.0002185
1.408911e-18,0.0002271
1.425106e-18,0.000236567
1.441677e-18,0.000246533
1.458637e-18,0.000257033
1.476002e-18,0.000267967
1.493785e-18,0.000279667
1.512002e-18,0.000290167
1.530669e-18,0.000302133
1.549802e-18,0.000314533
1.56942e-18,0.0003277
1.589541e-18,0.0003444
1.610184e-18,0.0003596
1.631371e-18,0.000377267
1.653122e-18,0.0003956
1.675462e-18,0.000412767
1.698414e-18,0.000433833
1.722003e-18,0.000454433
1.746256e-18,0.000472967
1.771203e-18,0.000498467
1.796872e-18,0.0005239
1.823297e-18,0.000549667
1.85051e-18,0.000576933
1.878548e-18,0.000606767
1.907449e-18,0.000636367
1.937253e-18,0.000665033
1.968003e-18,0.000699375
1.999745e-18,0.000739825
2.032528e-18,0.00078715
2.066403e-18,0.000829975
2.101427e-18,0.000859075
2.137658e-18,0.000891675
2.175161e-18,0.0009523
2.214003e-18,0.001028675
2.254258e-18,0.0010653
2.296003e-18,0.0010842
2.339324e-18,0.0011513
2.384311e-18,0.00119455
2.431062e-18,0.00130075
2.479684e-18,0.001267025
2.53029e-18,0.001240625
2.583004e-18,0.001356025
2.637961e-18,0.001433075
2.695308e-18,0.00142545
2.755204e-18,0.001490325
2.817822e-18,0.00164605
2.887382e-18,0.00167175
2.890748e-18,0.0016691
2.894122e-18,0.0016655
2.897504e-18,0.00166395
2.900893e-18,0.001663675
2.904291e-18,0.001665525
2.907697e-18,0.00166735
2.91111e-18,0.00167005
2.914532e-18,0.00167475
2.917962e-18,0.00167905
2.921399e-18,0.001683225
2.924845e-18,0.00168715
2.928299e-18,0.001689225
2.931761e-18,0.001689475
