wavelength,k
2.066e-07,2.909
2.101e-07,2.982
2.138e-07,3.045
2.175e-07,3.12
2.214e-07,3.206
2.254e-07,3.302
2.296e-07,3.366
2.339e-07,3.353
2.384e-07,3.354
2.431e-07,3.429
2.48e-07,3.565
2.53e-07,3.749
2.583e-07,3.979
2.638e-07,4.278
2.695e-07,4.678
2.755e-07,5.082
2.818e-07,5.344
2.883e-07,5.395
2.952e-07,4.639
3.024e-07,3.979
3.1e-07,3.586
3.179e-07,3.346
3.263e-07,3.182
3.351e-07,3.058
3.444e-07,2.987
3.542e-07,3.014
3.647e-07,2.705
3.757e-07,1.32
3.875e-07,0.63
3.999e-07,0.387
4.133e-07,0.269
4.275e-07,0.203
4.428e-07,0.163
4.592e-07,0.13
4.769e-07,0.09
4.959e-07,0.073
5.166e-07,0.06
5.391e-07,0.048
5.636e-07,0.032
5.904e-07,0.03
6.199e-07,0.022
6.525e-07,0.016
6.888e-07,0.013
7.293e-07,0.01
7.749e-07,0.008
8.266e-07,0.005
