wavelength,n
2.066e-16,1.01
2.101e-16,1.083
2.138e-16,1.133
2.175e-16,1.186
2.214e-16,1.247
2.254e-16,1.34
2.296e-16,1.471
2.339e-16,1.579
2.384e-16,1.589
2.431e-16,1.571
2.48e-16,1.57
2.53e-16,1.597
2.583e-16,1.658
2.638e-16,1.764
2.695e-16,1.988
2.755e-16,2.452
2.818e-16,3.12
2.883e-16,4.087
2.952e-16,4.888
3.024e-16,5.02
3.1e-16,5.01
3.179e-16,5.016
3.263e-16,5.065
3.351e-16,5.156
3.444e-16,5.296
3.542e-16,5.61
3.647e-16,6.522
3.757e-16,6.709
3.875e-16,6.062
3.999e-16,5.57
4.133e-16,5.222
4.275e-16,4.961
4.428e-16,4.753
4.592e-16,4.583
4.769e-16,4.442
4.959e-16,4.32
5.166e-16,4.215
5.391e-16,4.123
5.636e-16,4.042
5.904e-16,3.969
6.199e-16,3.906
6.525e-16,3.847
6.888e-16,3.796
7.293e-16,3.752
7.749e-16,3.714
8.266e-16,3.673
