wavelength,k
1.033e-16,0.726
1.078e-16,0.847
1.127e-16,0.946
1.181e-16,1.04
1.24e-16,1.14
1.305e-16,1.24
1.378e-16,1.35
1.459e-16,1.47
1.55e-16,1.6
1.653e-16,1.74
1.771e-16,1.89
1.907e-16,2.07
2.066e-16,2.28
2.254e-16,2.51
2.48e-16,2.76
2.583e-16,2.85
2.695e-16,2.93
2.818e-16,2.99
2.952e-16,3.04
3.1e-16,3.06
3.263e-16,3.0
3.444e-16,2.88
3.543e-16,2.79
3.647e-16,2.66
3.875e-16,2.38
4.133e-16,2.02
4.428e-16,1.64
4.769e-16,1.28
4.96e-16,1.12
5.166e-16,0.969
5.636e-16,0.69
6.199e-16,0.461
6.526e-16,0.363
6.888e-16,0.271
7.293e-16,0.199
7.749e-16,0.136
8.266e-16,0.0812
8.856e-16,0.0401
9.538e-16,0.0
1.033e-15,0.0
1.127e-15,0.0
1.24e-15,0.0
1.378e-15,0.0
1.55e-15,0.0
1.771e-15,0.0
2.066e-15,0.0
