wavelength,n
1.033e-07,0.327
1.078e-07,0.363
1.127e-07,0.392
1.181e-07,0.423
1.24e-07,0.459
1.305e-07,0.497
1.378e-07,0.543
1.459e-07,0.597
1.55e-07,0.66
1.653e-07,0.735
1.771e-07,0.832
1.907e-07,0.951
2.066e-07,1.11
2.254e-07,1.35
2.48e-07,1.69
2.583e-07,1.86
2.695e-07,2.07
2.818e-07,2.3
2.952e-07,2.56
3.1e-07,2.87
3.263e-07,3.21
3.444e-07,3.55
3.543e-07,3.73
3.647e-07,3.9
3.875e-07,4.17
4.133e-07,4.38
4.428e-07,4.47
4.769e-07,4.49
4.96e-07,4.47
5.166e-07,4.46
5.636e-07,4.36
6.199e-07,4.23
6.526e-07,4.17
6.888e-07,4.09
7.293e-07,4.01
7.749e-07,3.93
8.266e-07,3.86
8.856e-07,3.77
9.538e-07,3.68
1.033e-06,3.61
1.127e-06,3.57
1.24e-06,3.54
1.378e-06,3.5
1.55e-06,3.48
1.771e-06,3.45
2.066e-06,3.44
