wavelength,n
2.638e-07,2.034
2.652e-07,2.077
2.666e-07,2.111
2.681e-07,2.161
2.695e-07,2.19
2.71e-07,2.25
2.725e-07,2.31
2.74e-07,2.381
2.755e-07,2.458
2.771e-07,2.55
2.786e-07,2.649
2.802e-07,2.755
2.818e-07,2.883
2.834e-07,3.026
2.85e-07,3.163
2.867e-07,3.304
2.883e-07,3.49
2.9e-07,3.682
2.917e-07,3.876
2.935e-07,4.098
2.952e-07,4.319
2.97e-07,4.481
2.988e-07,4.656
3.006e-07,4.785
3.024e-07,4.882
3.043e-07,4.969
3.061e-07,5.035
3.08e-07,5.071
3.1e-07,5.088
3.119e-07,5.105
3.139e-07,5.138
3.159e-07,5.138
3.179e-07,5.146
3.2e-07,5.146
3.22e-07,5.148
3.241e-07,5.175
3.263e-07,5.177
3.284e-07,5.186
3.306e-07,5.207
3.328e-07,5.213
3.351e-07,5.235
3.374e-07,5.248
3.397e-07,5.272
3.42e-07,5.301
3.444e-07,5.321
3.468e-07,5.358
3.493e-07,5.384
3.517e-07,5.418
3.542e-07,5.465
3.568e-07,5.518
3.594e-07,5.598
3.62e-07,5.665
3.647e-07,5.761
3.674e-07,5.88
3.701e-07,6.008
3.729e-07,6.138
3.757e-07,6.264
3.786e-07,6.393
3.815e-07,6.468
3.844e-07,6.474
3.875e-07,6.433
3.905e-07,6.357
3.936e-07,6.262
3.967e-07,6.153
3.999e-07,6.028
4.032e-07,5.916
4.065e-07,5.801
4.099e-07,5.7
4.133e-07,5.601
4.168e-07,5.513
4.203e-07,5.43
4.239e-07,5.342
4.275e-07,5.267
4.312e-07,5.196
4.35e-07,5.13
4.389e-07,5.06
4.428e-07,5.002
4.468e-07,4.95
4.509e-07,4.894
4.55e-07,4.843
4.592e-07,4.792
4.635e-07,4.745
4.679e-07,4.699
4.723e-07,4.656
4.769e-07,4.615
4.815e-07,4.577
4.862e-07,4.533
4.91e-07,4.501
4.959e-07,4.468
5.009e-07,4.434
5.061e-07,4.4
5.113e-07,4.37
5.166e-07,4.342
5.22e-07,4.312
5.276e-07,4.284
5.333e-07,4.258
5.391e-07,4.233
5.45e-07,4.208
5.51e-07,4.186
5.572e-07,4.164
5.636e-07,4.142
5.7e-07,4.121
5.767e-07,4.103
5.835e-07,4.082
5.904e-07,4.064
5.975e-07,4.048
6.048e-07,4.0297
6.123e-07,4.013
6.199e-07,3.994
6.278e-07,3.979
6.358e-07,3.962
6.441e-07,3.947
6.525e-07,3.935
6.612e-07,3.917
6.702e-07,3.9027
6.794e-07,3.8918
6.888e-07,3.879
6.985e-07,3.867
7.085e-07,3.857
7.187e-07,3.848
7.293e-07,3.836
7.402e-07,3.824
7.514e-07,3.816
7.63e-07,3.805
7.749e-07,3.796
7.872e-07,3.788
7.999e-07,3.778
8.13e-07,3.77
8.266e-07,3.757
