wavelength,n
1.53846e-15,2.46306
1.53941e-15,2.46305
1.54036e-15,2.46304
1.54131e-15,2.46302
1.54226e-15,2.46301
1.54321e-15,2.463
1.54416e-15,2.46299
1.54512e-15,2.46297
1.54607e-15,2.46296
1.54703e-15,2.46295
1.54799e-15,2.46293
1.54895e-15,2.46292
1.54991e-15,2.46291
1.55087e-15,2.4629
1.55183e-15,2.46288
1.5528e-15,2.46287
1.55376e-15,2.46286
1.55473e-15,2.46284
1.55569e-15,2.46283
1.55666e-15,2.46282
1.55763e-15,2.4628
1.5586e-15,2.46279
1.55958e-15,2.46278
1.56055e-15,2.46276
1.56152e-15,2.46275
1.5625e-15,2.46274
1.56348e-15,2.46272
1.56446e-15,2.46271
1.56544e-15,2.4627
1.56642e-15,2.46268
1.5674e-15,2.46267
1.56838e-15,2.46266
1.56937e-15,2.46264
1.57035e-15,2.46263
1.57134e-15,2.46262
1.57233e-15,2.4626
1.57332e-15,2.46259
1.57431e-15,2.46258
1.5753e-15,2.46256
1.57629e-15,2.46255
1.57729e-15,2.46253
1.57828e-15,2.46252
1.57928e-15,2.46251
1.58028e-15,2.46249
1.58128e-15,2.46248
1.58228e-15,2.46246
1.58328e-15,2.46245
1.58428e-15,2.46244
1.58529e-15,2.46242
1.58629e-15,2.46241
1.5873e-15,2.4624
1.58831e-15,2.46238
1.58932e-15,2.46237
1.59033e-15,2.46235
1.59134e-15,2.46234
1.59236e-15,2.46232
1.59337e-15,2.46231
1.59439e-15,2.4623
1.59541e-15,2.46228
1.59642e-15,2.46227
1.59744e-15,2.46225
1.59847e-15,2.46224
1.59949e-15,2.46223
1.60051e-15,2.46221
1.60154e-15,2.4622
1.60256e-15,2.46218
1.60359e-15,2.46217
1.60462e-15,2.46215
1.60565e-15,2.46214
1.60668e-15,2.46212
1.60772e-15,2.46211
1.60875e-15,2.4621
1.60979e-15,2.46208
1.61082e-15,2.46207
1.61186e-15,2.46205
1.6129e-15,2.46204
1.61394e-15,2.46202
1.61499e-15,2.46201
1.61603e-15,2.46199
1.61708e-15,2.46198
1.61812e-15,2.46196
1.61917e-15,2.46195
1.62022e-15,2.46193
1.62127e-15,2.46192
1.62232e-15,2.4619
1.62338e-15,2.46189
1.62443e-15,2.46187
1.62549e-15,2.46186
1.62655e-15,2.46184
1.6276e-15,2.46183
1.62866e-15,2.46181
1.62973e-15,2.4618
1.63079e-15,2.46178
1.63185e-15,2.46177
1.63292e-15,2.46175
1.63399e-15,2.46174
1.63506e-15,2.46172
1.63613e-15,2.46171
1.6372e-15,2.46169
1.63827e-15,2.46167
1.63934e-15,2.46166
1.64042e-15,2.46164
1.6415e-15,2.46163
1.64258e-15,2.46161
1.64366e-15,2.4616
1.64474e-15,2.46158
1.64582e-15,2.46157
1.6469e-15,2.46155
1.64799e-15,2.46153
1.64908e-15,2.46152
1.65017e-15,2.4615
1.65125e-15,2.46149
1.65235e-15,2.46147
1.65344e-15,2.46146
1.65453e-15,2.46144
1.65563e-15,2.46142
1.65673e-15,2.46141
1.65782e-15,2.46139
1.65893e-15,2.46138
1.66003e-15,2.46136
1.66113e-15,2.46134
1.66223e-15,2.46133
1.66334e-15,2.46131
1.66445e-15,2.46129
1.66556e-15,2.46128
1.66667e-15,2.46126
1.66778e-15,2.46125
1.66889e-15,2.46123
1.67001e-15,2.46121
1.67112e-15,2.4612
1.67224e-15,2.46118
1.67336e-15,2.46116
1.67448e-15,2.46115
1.6756e-15,2.46113
1.67673e-15,2.46111
1.67785e-15,2.4611
1.67898e-15,2.46108
1.68011e-15,2.46106
1.68124e-15,2.46105
1.68237e-15,2.46103
1.6835e-15,2.46101
1.68464e-15,2.461
1.68577e-15,2.46098
1.68691e-15,2.46096
1.68805e-15,2.46095
1.68919e-15,2.46093
1.69033e-15,2.46091
1.69147e-15,2.4609
1.69262e-15,2.46088
1.69377e-15,2.46086
1.69492e-15,2.46084
1.69607e-15,2.46083
1.69722e-15,2.46081
1.69837e-15,2.46079
1.69952e-15,2.46077
1.70068e-15,2.46076
1.70184e-15,2.46074
1.703e-15,2.46072
1.70416e-15,2.46071
1.70532e-15,2.46069
1.70648e-15,2.46067
1.70765e-15,2.46065
1.70882e-15,2.46063
1.70999e-15,2.46062
1.71116e-15,2.4606
1.71233e-15,2.46058
1.7135e-15,2.46056
1.71468e-15,2.46055
1.71585e-15,2.46053
1.71703e-15,2.46051
1.71821e-15,2.46049
1.71939e-15,2.46047
1.72058e-15,2.46046
1.72176e-15,2.46044
1.72295e-15,2.46042
1.72414e-15,2.4604
1.72533e-15,2.46038
1.72652e-15,2.46037
1.72771e-15,2.46035
1.72891e-15,2.46033
1.7301e-15,2.46031
1.7313e-15,2.46029
1.7325e-15,2.46027
1.7337e-15,2.46026
1.73491e-15,2.46024
1.73611e-15,2.46022
1.73732e-15,2.4602
1.73853e-15,2.46018
1.73974e-15,2.46016
1.74095e-15,2.46015
1.74216e-15,2.46013
1.74338e-15,2.46011
1.74459e-15,2.46009
1.74581e-15,2.46007
1.74703e-15,2.46005
1.74825e-15,2.46003
1.74948e-15,2.46001
1.7507e-15,2.45999
1.75193e-15,2.45998
1.75316e-15,2.45996
1.75439e-15,2.45994
1.75562e-15,2.45992
1.75685e-15,2.4599
1.75809e-15,2.45988
1.75932e-15,2.45986
1.76056e-15,2.45984
1.7618e-15,2.45982
1.76305e-15,2.4598
1.76429e-15,2.45978
1.76554e-15,2.45976
1.76678e-15,2.45974
1.76803e-15,2.45972
1.76929e-15,2.4597
1.77054e-15,2.45969
