wavelength,k
2.52e-07,0.001211
2.54e-07,0.001171
2.56e-07,0.001131
2.58e-07,0.001093
2.6e-07,0.001055
2.62e-07,0.001019
2.64e-07,0.000983
2.66e-07,0.000949
2.68e-07,0.000915
2.7e-07,0.000882
2.72e-07,0.00085
2.74e-07,0.000819
2.76e-07,0.000789
2.78e-07,0.000759
2.8e-07,0.00073
2.82e-07,0.000702
2.84e-07,0.000675
2.86e-07,0.000649
2.88e-07,0.000623
2.9e-07,0.000598
2.92e-07,0.000574
2.94e-07,0.00055
2.96e-07,0.000527
2.98e-07,0.000505
3e-07,0.000483
3.02e-07,0.000462
3.04e-07,0.000441
3.06e-07,0.000421
3.08e-07,0.000402
3.1e-07,0.000383
3.12e-07,0.000365
3.14e-07,0.000348
3.16e-07,0.000331
3.18e-07,0.000314
3.2e-07,0.000298
3.22e-07,0.000283
3.24e-07,0.000268
3.26e-07,0.000253
3.28e-07,0.00024
3.3e-07,0.000226
3.32e-07,0.000213
3.34e-07,0.0002
3.36e-07,0.000188
3.38e-07,0.000177
3.4e-07,0.000166
3.42e-07,0.000155
3.44e-07,0.000144
3.46e-07,0.000135
3.48e-07,0.000125
3.5e-07,0.000116
3.52e-07,0.000107
3.54e-07,9.9e-05
3.56e-07,9.1e-05
3.58e-07,8.3e-05
3.6e-07,7.6e-05
3.62e-07,6.9e-05
3.64e-07,6.3e-05
3.66e-07,5.7e-05
3.68e-07,5.1e-05
3.7e-07,4.5e-05
3.72e-07,4e-05
3.74e-07,3.6e-05
3.76e-07,3.1e-05
3.78e-07,2.7e-05
3.8e-07,2.3e-05
3.82e-07,2e-05
3.84e-07,1.6e-05
3.86e-07,1.4e-05
3.88e-07,1.1e-05
3.9e-07,9e-06
3.92e-07,7e-06
3.94e-07,5e-06
3.96e-07,3e-06
3.98e-07,2e-06
4e-07,1e-06
4.02e-07,1e-06
4.04e-07,0.0
4.06e-07,0.0
4.08e-07,0.0
4.1e-07,0.0
4.12e-07,0.0
4.14e-07,0.0
4.16e-07,0.0
4.18e-07,0.0
4.2e-07,0.0
4.22e-07,0.0
4.24e-07,0.0
4.26e-07,0.0
4.28e-07,0.0
4.3e-07,0.0
4.32e-07,0.0
4.34e-07,0.0
4.36e-07,0.0
4.38e-07,0.0
4.4e-07,0.0
4.42e-07,0.0
4.44e-07,0.0
4.46e-07,0.0
4.48e-07,0.0
4.5e-07,0.0
4.52e-07,0.0
4.54e-07,0.0
4.56e-07,0.0
4.58e-07,0.0
4.6e-07,0.0
4.62e-07,0.0
4.64e-07,0.0
4.66e-07,0.0
4.68e-07,0.0
4.7e-07,0.0
4.72e-07,0.0
4.74e-07,0.0
4.76e-07,0.0
4.78e-07,0.0
4.8e-07,0.0
4.82e-07,0.0
4.84e-07,0.0
4.86e-07,0.0
4.88e-07,0.0
4.9e-07,0.0
4.92e-07,0.0
4.94e-07,0.0
4.96e-07,0.0
4.98e-07,0.0
5e-07,0.0
5.02e-07,0.0
5.04e-07,0.0
5.06e-07,0.0
5.08e-07,0.0
5.1e-07,0.0
5.12e-07,0.0
5.14e-07,0.0
5.16e-07,0.0
5.18e-07,0.0
5.2e-07,0.0
5.22e-07,0.0
5.24e-07,0.0
5.26e-07,0.0
5.28e-07,0.0
5.3e-07,0.0
5.32e-07,0.0
5.34e-07,0.0
5.36e-07,0.0
5.38e-07,0.0
5.4e-07,0.0
5.42e-07,0.0
5.44e-07,0.0
5.46e-07,0.0
5.48e-07,0.0
5.5e-07,0.0
5.52e-07,0.0
5.54e-07,0.0
5.56e-07,0.0
5.58e-07,0.0
5.6e-07,0.0
5.62e-07,0.0
5.64e-07,0.0
5.66e-07,0.0
5.68e-07,0.0
5.7e-07,0.0
5.72e-07,0.0
5.74e-07,0.0
5.76e-07,0.0
5.78e-07,0.0
5.8e-07,0.0
5.82e-07,0.0
5.84e-07,0.0
5.86e-07,0.0
5.88e-07,0.0
5.9e-07,0.0
5.92e-07,0.0
5.94e-07,0.0
5.96e-07,0.0
5.98e-07,0.0
6e-07,0.0
6.02e-07,0.0
6.04e-07,0.0
6.06e-07,0.0
6.08e-07,0.0
6.1e-07,0.0
