wavelength,n
2.52e-07,1.523846
2.54e-07,1.522945
2.56e-07,1.522066
2.58e-07,1.521208
2.6e-07,1.52037
2.62e-07,1.519552
2.64e-07,1.518753
2.66e-07,1.517972
2.68e-07,1.517209
2.7e-07,1.516463
2.72e-07,1.515734
2.74e-07,1.515021
2.76e-07,1.514325
2.78e-07,1.513643
2.8e-07,1.512977
2.82e-07,1.512325
2.84e-07,1.511687
2.86e-07,1.511063
2.88e-07,1.510452
2.9e-07,1.509854
2.92e-07,1.509268
2.94e-07,1.508695
2.96e-07,1.508134
2.98e-07,1.507584
3e-07,1.507046
3.02e-07,1.506518
3.04e-07,1.506002
3.06e-07,1.505495
3.08e-07,1.504999
3.1e-07,1.504512
3.12e-07,1.504035
3.14e-07,1.503568
3.16e-07,1.503109
3.18e-07,1.50266
3.2e-07,1.502219
3.22e-07,1.501786
3.24e-07,1.501361
3.26e-07,1.500945
3.28e-07,1.500536
3.3e-07,1.500135
3.32e-07,1.499742
3.34e-07,1.499355
3.36e-07,1.498976
3.38e-07,1.498603
3.4e-07,1.498238
3.42e-07,1.497878
3.44e-07,1.497525
3.46e-07,1.497179
3.48e-07,1.496838
3.5e-07,1.496504
3.52e-07,1.496175
3.54e-07,1.495852
3.56e-07,1.495534
3.58e-07,1.495222
3.6e-07,1.494915
3.62e-07,1.494613
3.64e-07,1.494316
3.66e-07,1.494025
3.68e-07,1.493738
3.7e-07,1.493455
3.72e-07,1.493177
3.74e-07,1.492904
3.76e-07,1.492635
3.78e-07,1.49237
3.8e-07,1.49211
3.82e-07,1.491854
3.84e-07,1.491601
3.86e-07,1.491353
3.88e-07,1.491108
3.9e-07,1.490867
3.92e-07,1.490629
3.94e-07,1.490396
3.96e-07,1.490165
3.98e-07,1.489938
4e-07,1.489714
4.02e-07,1.489494
4.04e-07,1.489276
4.06e-07,1.489062
4.08e-07,1.48885
4.1e-07,1.488641
4.12e-07,1.488435
4.14e-07,1.488231
4.16e-07,1.488031
4.18e-07,1.487833
4.2e-07,1.487638
4.22e-07,1.487446
4.24e-07,1.487256
4.26e-07,1.487069
4.28e-07,1.486884
4.3e-07,1.486702
4.32e-07,1.486522
4.34e-07,1.486345
4.36e-07,1.48617
4.38e-07,1.485997
4.4e-07,1.485827
4.42e-07,1.485659
4.44e-07,1.485493
4.46e-07,1.485329
4.48e-07,1.485167
4.5e-07,1.485008
4.52e-07,1.484851
4.54e-07,1.484695
4.56e-07,1.484542
4.58e-07,1.48439
4.6e-07,1.484241
4.62e-07,1.484094
4.64e-07,1.483948
4.66e-07,1.483804
4.68e-07,1.483662
4.7e-07,1.483522
4.72e-07,1.483383
4.74e-07,1.483247
4.76e-07,1.483111
4.78e-07,1.482978
4.8e-07,1.482846
4.82e-07,1.482716
4.84e-07,1.482588
4.86e-07,1.482461
4.88e-07,1.482335
4.9e-07,1.482211
4.92e-07,1.482089
4.94e-07,1.481968
4.96e-07,1.481848
4.98e-07,1.48173
5e-07,1.481613
5.02e-07,1.481498
5.04e-07,1.481384
5.06e-07,1.481271
5.08e-07,1.48116
5.1e-07,1.48105
5.12e-07,1.480941
5.14e-07,1.480834
5.16e-07,1.480727
5.18e-07,1.480622
5.2e-07,1.480518
5.22e-07,1.480416
5.24e-07,1.480314
5.26e-07,1.480214
5.28e-07,1.480115
5.3e-07,1.480016
5.32e-07,1.479919
5.34e-07,1.479823
5.36e-07,1.479729
5.38e-07,1.479635
5.4e-07,1.479542
5.42e-07,1.47945
5.44e-07,1.479359
5.46e-07,1.479269
5.48e-07,1.479181
5.5e-07,1.479093
5.52e-07,1.479006
5.54e-07,1.47892
5.56e-07,1.478835
5.58e-07,1.478751
5.6e-07,1.478667
5.62e-07,1.478585
5.64e-07,1.478503
5.66e-07,1.478423
5.68e-07,1.478343
5.7e-07,1.478264
5.72e-07,1.478186
5.74e-07,1.478108
5.76e-07,1.478032
5.78e-07,1.477956
5.8e-07,1.477881
5.82e-07,1.477807
5.84e-07,1.477733
5.86e-07,1.47766
5.88e-07,1.477588
5.9e-07,1.477517
5.92e-07,1.477447
5.94e-07,1.477377
5.96e-07,1.477308
5.98e-07,1.477239
6e-07,1.477171
6.02e-07,1.477104
6.04e-07,1.477038
6.06e-07,1.476972
6.08e-07,1.476907
6.1e-07,1.476842
6.12e-07,1.476778
6.14e-07,1.476715
6.16e-07,1.476652
6.18e-07,1.47659
6.2e-07,1.476529
6.22e-07,1.476468
6.24e-07,1.476408
6.26e-07,1.476348
6.28e-07,1.476289
6.3e-07,1.47623
6.32e-07,1.476172
6.34e-07,1.476115
6.36e-07,1.476058
6.38e-07,1.476001
6.4e-07,1.475946
6.42e-07,1.47589
6.44e-07,1.475835
6.46e-07,1.475781
6.48e-07,1.475727
6.5e-07,1.475674
6.52e-07,1.475621
6.54e-07,1.475568
6.56e-07,1.475517
6.58e-07,1.475465
6.6e-07,1.475414
6.62e-07,1.475364
6.64e-07,1.475314
6.66e-07,1.475264
6.68e-07,1.475215
6.7e-07,1.475166
6.72e-07,1.475118
6.74e-07,1.47507
6.76e-07,1.475022
6.78e-07,1.474975
6.8e-07,1.474929
6.82e-07,1.474883
6.84e-07,1.474837
6.86e-07,1.474791
6.88e-07,1.474746
6.9e-07,1.474702
6.92e-07,1.474657
6.94e-07,1.474614
6.96e-07,1.47457
6.98e-07,1.474527
7e-07,1.474484
7.02e-07,1.474442
7.04e-07,1.4744
7.06e-07,1.474358
7.08e-07,1.474317
7.1e-07,1.474276
7.12e-07,1.474235
7.14e-07,1.474195
7.16e-07,1.474155
7.18e-07,1.474115
7.2e-07,1.474076
7.22e-07,1.474037
7.24e-07,1.473998
7.26e-07,1.47396
7.28e-07,1.473922
7.3e-07,1.473884
7.32e-07,1.473847
7.34e-07,1.47381
7.36e-07,1.473773
7.38e-07,1.473737
7.4e-07,1.4737
7.42e-07,1.473665
7.44e-07,1.473629
7.46e-07,1.473594
7.48e-07,1.473559
7.5e-07,1.473524
7.52e-07,1.473489
7.54e-07,1.473455
7.56e-07,1.473421
7.58e-07,1.473387
7.6e-07,1.473354
7.62e-07,1.473321
7.64e-07,1.473288
7.66e-07,1.473255
7.68e-07,1.473223
7.7e-07,1.473191
7.72e-07,1.473159
7.74e-07,1.473127
7.76e-07,1.473096
7.78e-07,1.473065
7.8e-07,1.473034
7.82e-07,1.473003
7.84e-07,1.472973
7.86e-07,1.472942
7.88e-07,1.472912
7.9e-07,1.472883
7.92e-07,1.472853
7.94e-07,1.472824
7.96e-07,1.472795
7.98e-07,1.472766
8e-07,1.472737
8.02e-07,1.472709
8.04e-07,1.47268
8.06e-07,1.472652
8.08e-07,1.472625
8.1e-07,1.472597
8.12e-07,1.47257
8.14e-07,1.472542
8.16e-07,1.472515
8.18e-07,1.472489
8.2e-07,1.472462
8.22e-07,1.472436
8.24e-07,1.472409
8.26e-07,1.472383
8.28e-07,1.472357
8.3e-07,1.472332
8.32e-07,1.472306
8.34e-07,1.472281
8.36e-07,1.472256
8.38e-07,1.472231
8.4e-07,1.472206
8.42e-07,1.472182
8.44e-07,1.472157
8.46e-07,1.472133
8.48e-07,1.472109
8.5e-07,1.472085
8.52e-07,1.472061
8.54e-07,1.472038
8.56e-07,1.472014
8.58e-07,1.471991
8.6e-07,1.471968
8.62e-07,1.471945
8.64e-07,1.471922
8.66e-07,1.4719
8.68e-07,1.471877
8.7e-07,1.471855
8.72e-07,1.471833
8.74e-07,1.471811
8.76e-07,1.471789
8.78e-07,1.471767
8.8e-07,1.471746
8.82e-07,1.471724
8.84e-07,1.471703
8.86e-07,1.471682
8.88e-07,1.471661
8.9e-07,1.47164
8.92e-07,1.47162
8.94e-07,1.471599
8.96e-07,1.471579
8.98e-07,1.471558
9e-07,1.471538
9.02e-07,1.471518
9.04e-07,1.471498
9.06e-07,1.471479
9.08e-07,1.471459
9.1e-07,1.471439
9.12e-07,1.47142
9.14e-07,1.471401
9.16e-07,1.471382
9.18e-07,1.471363
9.2e-07,1.471344
9.22e-07,1.471325
9.24e-07,1.471307
9.26e-07,1.471288
9.28e-07,1.47127
9.3e-07,1.471251
9.32e-07,1.471233
9.34e-07,1.471215
9.36e-07,1.471197
9.38e-07,1.47118
9.4e-07,1.471162
9.42e-07,1.471144
9.44e-07,1.471127
9.46e-07,1.47111
9.48e-07,1.471092
9.5e-07,1.471075
9.52e-07,1.471058
9.54e-07,1.471041
9.56e-07,1.471025
9.58e-07,1.471008
9.6e-07,1.470991
9.62e-07,1.470975
9.64e-07,1.470958
9.66e-07,1.470942
9.68e-07,1.470926
9.7e-07,1.47091
9.72e-07,1.470894
9.74e-07,1.470878
9.76e-07,1.470862
9.78e-07,1.470846
9.8e-07,1.470831
9.82e-07,1.470815
9.84e-07,1.4708
9.86e-07,1.470785
9.88e-07,1.470769
9.9e-07,1.470754
9.92e-07,1.470739
9.94e-07,1.470724
9.96e-07,1.470709
9.98e-07,1.470695
1e-06,1.47068
1.002e-06,1.470665
1.004e-06,1.470651
1.006e-06,1.470636
1.008e-06,1.470622
1.01e-06,1.470608
1.012e-06,1.470594
1.014e-06,1.47058
1.016e-06,1.470566
1.018e-06,1.470552
1.02e-06,1.470538
1.022e-06,1.470524
1.024e-06,1.47051
1.026e-06,1.470497
1.028e-06,1.470483
1.03e-06,1.47047
1.032e-06,1.470456
1.034e-06,1.470443
1.036e-06,1.47043
1.038e-06,1.470417
1.04e-06,1.470404
1.042e-06,1.470391
1.044e-06,1.470378
1.046e-06,1.470365
1.048e-06,1.470352
1.05e-06,1.47034
1.052e-06,1.470327
1.054e-06,1.470314
1.056e-06,1.470302
1.058e-06,1.47029
1.06e-06,1.470277
1.062e-06,1.470265
1.064e-06,1.470253
1.066e-06,1.470241
1.068e-06,1.470229
1.07e-06,1.470217
1.072e-06,1.470205
1.074e-06,1.470193
1.076e-06,1.470181
1.078e-06,1.470169
1.08e-06,1.470158
1.082e-06,1.470146
1.084e-06,1.470135
1.086e-06,1.470123
1.088e-06,1.470112
1.09e-06,1.4701
1.092e-06,1.470089
1.094e-06,1.470078
1.096e-06,1.470067
1.098e-06,1.470056
1.1e-06,1.470045
1.102e-06,1.470034
1.104e-06,1.470023
1.106e-06,1.470012
1.108e-06,1.470001
1.11e-06,1.46999
1.112e-06,1.46998
1.114e-06,1.469969
1.116e-06,1.469958
1.118e-06,1.469948
1.12e-06,1.469937
1.122e-06,1.469927
1.124e-06,1.469917
1.126e-06,1.469906
1.128e-06,1.469896
1.13e-06,1.469886
1.132e-06,1.469876
1.134e-06,1.469866
1.136e-06,1.469856
1.138e-06,1.469846
1.14e-06,1.469836
1.142e-06,1.469826
1.144e-06,1.469816
1.146e-06,1.469807
1.148e-06,1.469797
1.15e-06,1.469787
1.152e-06,1.469778
1.154e-06,1.469768
1.156e-06,1.469758
1.158e-06,1.469749
1.16e-06,1.46974
1.162e-06,1.46973
1.164e-06,1.469721
1.166e-06,1.469712
1.168e-06,1.469702
1.17e-06,1.469693
1.172e-06,1.469684
1.174e-06,1.469675
1.176e-06,1.469666
1.178e-06,1.469657
1.18e-06,1.469648
1.182e-06,1.469639
1.184e-06,1.46963
1.186e-06,1.469622
1.188e-06,1.469613
1.19e-06,1.469604
1.192e-06,1.469595
1.194e-06,1.469587
1.196e-06,1.469578
1.198e-06,1.46957
1.2e-06,1.469561
1.202e-06,1.469553
1.204e-06,1.469544
1.206e-06,1.469536
1.208e-06,1.469528
1.21e-06,1.469519
1.212e-06,1.469511
1.214e-06,1.469503
1.216e-06,1.469495
1.218e-06,1.469487
1.22e-06,1.469478
1.222e-06,1.46947
1.224e-06,1.469462
1.226e-06,1.469454
1.228e-06,1.469447
1.23e-06,1.469439
1.232e-06,1.469431
1.234e-06,1.469423
1.236e-06,1.469415
1.238e-06,1.469407
1.24e-06,1.4694
1.242e-06,1.469392
1.244e-06,1.469384
1.246e-06,1.469377
1.248e-06,1.469369
1.25e-06,1.469362
