wavelength,n
1.53846e-15,1.44325
1.53941e-15,1.44324
1.54036e-15,1.44323
1.54131e-15,1.44322
1.54226e-15,1.44321
1.54321e-15,1.4432
1.54416e-15,1.44319
1.54512e-15,1.44318
1.54607e-15,1.44317
1.54703e-15,1.44316
1.54799e-15,1.44315
1.54895e-15,1.44314
1.54991e-15,1.44313
1.55087e-15,1.44312
1.55183e-15,1.44311
1.5528e-15,1.44311
1.55376e-15,1.4431
1.55473e-15,1.44309
1.55569e-15,1.44308
1.55666e-15,1.44307
1.55763e-15,1.44306
1.5586e-15,1.44305
1.55958e-15,1.44304
1.56055e-15,1.44303
1.56152e-15,1.44302
1.5625e-15,1.44301
1.56348e-15,1.443
1.56446e-15,1.44299
1.56544e-15,1.44298
1.56642e-15,1.44297
1.5674e-15,1.44296
1.56838e-15,1.44295
1.56937e-15,1.44294
1.57035e-15,1.44293
1.57134e-15,1.44292
1.57233e-15,1.44291
1.57332e-15,1.4429
1.57431e-15,1.44289
1.5753e-15,1.44288
1.57629e-15,1.44287
1.57729e-15,1.44286
1.57828e-15,1.44285
1.57928e-15,1.44284
1.58028e-15,1.44283
1.58128e-15,1.44282
1.58228e-15,1.44281
1.58328e-15,1.4428
1.58428e-15,1.44279
1.58529e-15,1.44278
1.58629e-15,1.44277
1.5873e-15,1.44276
1.58831e-15,1.44275
1.58932e-15,1.44274
1.59033e-15,1.44273
1.59134e-15,1.44272
1.59236e-15,1.44271
1.59337e-15,1.4427
1.59439e-15,1.44269
1.59541e-15,1.44267
1.59642e-15,1.44266
1.59744e-15,1.44265
1.59847e-15,1.44264
1.59949e-15,1.44263
1.60051e-15,1.44262
1.60154e-15,1.44261
1.60256e-15,1.4426
1.60359e-15,1.44259
1.60462e-15,1.44258
1.60565e-15,1.44257
1.60668e-15,1.44256
1.60772e-15,1.44255
1.60875e-15,1.44254
1.60979e-15,1.44253
1.61082e-15,1.44252
1.61186e-15,1.4425
1.6129e-15,1.44249
1.61394e-15,1.44248
1.61499e-15,1.44247
1.61603e-15,1.44246
1.61708e-15,1.44245
1.61812e-15,1.44244
1.61917e-15,1.44243
1.62022e-15,1.44242
1.62127e-15,1.44241
1.62232e-15,1.4424
1.62338e-15,1.44239
1.62443e-15,1.44237
1.62549e-15,1.44236
1.62655e-15,1.44235
1.6276e-15,1.44234
1.62866e-15,1.44233
1.62973e-15,1.44232
1.63079e-15,1.44231
1.63185e-15,1.4423
1.63292e-15,1.44228
1.63399e-15,1.44227
1.63506e-15,1.44226
1.63613e-15,1.44225
1.6372e-15,1.44224
1.63827e-15,1.44223
1.63934e-15,1.44222
1.64042e-15,1.44221
1.6415e-15,1.44219
1.64258e-15,1.44218
1.64366e-15,1.44217
1.64474e-15,1.44216
1.64582e-15,1.44215
1.6469e-15,1.44214
1.64799e-15,1.44213
1.64908e-15,1.44211
1.65017e-15,1.4421
1.65125e-15,1.44209
1.65235e-15,1.44208
1.65344e-15,1.44207
1.65453e-15,1.44206
1.65563e-15,1.44204
1.65673e-15,1.44203
1.65782e-15,1.44202
1.65893e-15,1.44201
1.66003e-15,1.442
1.66113e-15,1.44199
1.66223e-15,1.44197
1.66334e-15,1.44196
1.66445e-15,1.44195
1.66556e-15,1.44194
1.66667e-15,1.44193
1.66778e-15,1.44191
1.66889e-15,1.4419
1.67001e-15,1.44189
1.67112e-15,1.44188
1.67224e-15,1.44187
1.67336e-15,1.44185
1.67448e-15,1.44184
1.6756e-15,1.44183
1.67673e-15,1.44182
1.67785e-15,1.4418
1.67898e-15,1.44179
1.68011e-15,1.44178
1.68124e-15,1.44177
1.68237e-15,1.44176
1.6835e-15,1.44174
1.68464e-15,1.44173
1.68577e-15,1.44172
1.68691e-15,1.44171
1.68805e-15,1.44169
1.68919e-15,1.44168
1.69033e-15,1.44167
1.69147e-15,1.44166
1.69262e-15,1.44164
1.69377e-15,1.44163
1.69492e-15,1.44162
1.69607e-15,1.44161
1.69722e-15,1.44159
1.69837e-15,1.44158
1.69952e-15,1.44157
1.70068e-15,1.44156
1.70184e-15,1.44154
1.703e-15,1.44153
1.70416e-15,1.44152
1.70532e-15,1.4415
1.70648e-15,1.44149
1.70765e-15,1.44148
1.70882e-15,1.44147
1.70999e-15,1.44145
1.71116e-15,1.44144
1.71233e-15,1.44143
1.7135e-15,1.44141
1.71468e-15,1.4414
1.71585e-15,1.44139
1.71703e-15,1.44137
1.71821e-15,1.44136
1.71939e-15,1.44135
1.72058e-15,1.44133
1.72176e-15,1.44132
1.72295e-15,1.44131
1.72414e-15,1.4413
1.72533e-15,1.44128
1.72652e-15,1.44127
1.72771e-15,1.44126
1.72891e-15,1.44124
1.7301e-15,1.44123
1.7313e-15,1.44121
1.7325e-15,1.4412
1.7337e-15,1.44119
1.73491e-15,1.44117
1.73611e-15,1.44116
1.73732e-15,1.44115
1.73853e-15,1.44113
1.73974e-15,1.44112
1.74095e-15,1.44111
1.74216e-15,1.44109
1.74338e-15,1.44108
1.74459e-15,1.44107
1.74581e-15,1.44105
1.74703e-15,1.44104
1.74825e-15,1.44102
1.74948e-15,1.44101
1.7507e-15,1.441
1.75193e-15,1.44098
1.75316e-15,1.44097
1.75439e-15,1.44095
1.75562e-15,1.44094
1.75685e-15,1.44093
1.75809e-15,1.44091
1.75932e-15,1.4409
1.76056e-15,1.44088
1.7618e-15,1.44087
1.76305e-15,1.44085
1.76429e-15,1.44084
1.76554e-15,1.44083
1.76678e-15,1.44081
1.76803e-15,1.4408
1.76929e-15,1.44078
1.77054e-15,1.44077
1.77179e-15,1.44075
1.77305e-15,1.44074
1.77431e-15,1.44073
1.77557e-15,1.44071
1.77683e-15,1.4407
1.77809e-15,1.44068
1.77936e-15,1.44067
1.78063e-15,1.44065
1.7819e-15,1.44064
1.78317e-15,1.44062
1.78444e-15,1.44061
1.78571e-15,1.44059
1.78699e-15,1.44058
1.78827e-15,1.44056
1.78955e-15,1.44055
1.79083e-15,1.44053
1.79211e-15,1.44052
1.7934e-15,1.4405
1.79469e-15,1.44049
1.79598e-15,1.44047
1.79727e-15,1.44046
1.79856e-15,1.44044
1.79986e-15,1.44043
1.80115e-15,1.44041
1.80245e-15,1.4404
1.80375e-15,1.44038
1.80505e-15,1.44037
1.80636e-15,1.44035
1.80766e-15,1.44034
1.80897e-15,1.44032
1.81028e-15,1.4403
1.81159e-15,1.44029
1.81291e-15,1.44027
1.81422e-15,1.44026
1.81554e-15,1.44024
1.81686e-15,1.44023
1.81818e-15,1.44021
1.81951e-15,1.4402
1.82083e-15,1.44018
1.82216e-15,1.44016
1.82349e-15,1.44015
1.82482e-15,1.44013
1.82615e-15,1.44012
1.82749e-15,1.4401
1.82882e-15,1.44008
1.83016e-15,1.44007
1.8315e-15,1.44005
1.83284e-15,1.44004
1.83419e-15,1.44002
1.83554e-15,1.44
1.83688e-15,1.43999
1.83824e-15,1.43997
1.83959e-15,1.43996
1.84094e-15,1.43994
1.8423e-15,1.43992
1.84366e-15,1.43991
1.84502e-15,1.43989
1.84638e-15,1.43987
1.84775e-15,1.43986
1.84911e-15,1.43984
1.85048e-15,1.43982
1.85185e-15,1.43981
1.85322e-15,1.43979
1.8546e-15,1.43977
1.85598e-15,1.43976
1.85736e-15,1.43974
1.85874e-15,1.43972
1.86012e-15,1.43971
1.8615e-15,1.43969
1.86289e-15,1.43967
1.86428e-15,1.43966
1.86567e-15,1.43964
1.86706e-15,1.43962
1.86846e-15,1.43961
1.86986e-15,1.43959
1.87126e-15,1.43957
1.87266e-15,1.43955
1.87406e-15,1.43954
1.87547e-15,1.43952
1.87688e-15,1.4395
1.87829e-15,1.43948
1.8797e-15,1.43947
1.88111e-15,1.43945
1.88253e-15,1.43943
1.88395e-15,1.43941
1.88537e-15,1.4394
1.88679e-15,1.43938
1.88822e-15,1.43936
1.88964e-15,1.43934
1.89107e-15,1.43933
1.89251e-15,1.43931
1.89394e-15,1.43929
1.89538e-15,1.43927
1.89681e-15,1.43925
1.89825e-15,1.43924
1.8997e-15,1.43922
1.90114e-15,1.4392
1.90259e-15,1.43918
1.90404e-15,1.43916
1.90549e-15,1.43915
1.90694e-15,1.43913
1.9084e-15,1.43911
1.90985e-15,1.43909
1.91131e-15,1.43907
1.91278e-15,1.43906
1.91424e-15,1.43904
1.91571e-15,1.43902
1.91718e-15,1.439
1.91865e-15,1.43898
1.92012e-15,1.43896
1.9216e-15,1.43894
1.92308e-15,1.43893
1.92456e-15,1.43891
1.92604e-15,1.43889
1.92753e-15,1.43887
1.92901e-15,1.43885
1.9305e-15,1.43883
1.93199e-15,1.43881
1.93349e-15,1.43879
