wavelength,k
2.5e-07,0.00026
2.55e-07,0.00024
2.6e-07,0.000222
2.65e-07,0.000206
2.7e-07,0.000191
2.75e-07,0.000179
2.8e-07,0.000167
2.85e-07,0.000157
2.9e-07,0.000148
2.95e-07,0.000139
3e-07,0.000132
3.05e-07,0.000125
3.1e-07,0.000118
3.15e-07,0.000112
3.2e-07,0.000107
3.25e-07,0.000102
3.3e-07,1.05879118407e-21
3.35e-07,-2.64697796017e-22
3.4e-07,-2.51462906216e-22
3.45e-07,-1.12496563307e-22
3.5e-07,9.92616735064e-24
3.55e-07,8.27180612553e-25
3.6e-07,7.23783035984e-25
3.65e-07,1.03397576569e-25
3.7e-07,-6.46234853557e-27
3.75e-07,-6.46234853557e-27
3.8e-07,2.82727748431e-27
3.85e-07,2.01948391737e-27
3.9e-07,-4.79627430374e-28
3.95e-07,-1.89326617253e-28
4e-07,0.0
4.05e-07,-5.52202633655e-30
4.1e-07,4.53595020502e-30
4.15e-07,1.47911419729e-31
4.2e-07,-4.68386162475e-31
4.25e-07,-1.5099290764e-31
4.3e-07,-4.62223186653e-33
4.35e-07,-2.5037089277e-33
4.4e-07,2.88889491658e-34
4.45e-07,9.62964972194e-35
4.5e-07,6.01853107621e-35
4.55e-07,1.50463276905e-36
4.6e-07,-1.50463276905e-36
4.65e-07,-2.82118644197e-37
4.7e-07,-4.70197740329e-38
4.75e-07,3.52648305247e-38
4.8e-07,3.08567267091e-38
4.85e-07,1.46936793853e-39
4.9e-07,-2.66322938858e-39
4.95e-07,-3.67341984632e-40
5e-07,-3.44383110592e-41
5.05e-07,5.73971850987e-41
5.1e-07,-1.57842259022e-41
5.15e-07,5.38098610301e-43
5.2e-07,6.27781712018e-43
5.25e-07,0.0
5.3e-07,4.7644147787e-44
5.35e-07,-7.00649232162e-46
5.4e-07,7.00649232162e-46
5.45e-07,0.0
5.5e-07,1.53267019536e-46
5.55e-07,-1.09476442525e-47
5.6e-07,-6.84227765784e-48
5.65e-07,2.39479718024e-48
5.7e-07,2.30926870952e-48
5.75e-07,8.5528470723e-50
5.8e-07,0.0
5.85e-07,0.0
5.9e-07,-5.34552942018e-51
5.95e-07,5.01143383142e-52
6e-07,3.34095588762e-52
6.05e-07,-5.2202435744e-53
6.1e-07,-1.04404871488e-53
6.15e-07,-5.8727740212e-54
6.2e-07,3.7520500691e-54
6.25e-07,2.03915764625e-55
6.3e-07,-2.14111552856e-55
6.35e-07,-2.80384176359e-56
6.4e-07,6.37236764453e-58
6.45e-07,-9.55855146679e-58
6.5e-07,-3.18618382226e-58
6.55e-07,-1.99136488892e-59
6.6e-07,1.84201252225e-58
6.65e-07,-6.22301527786e-60
6.7e-07,-4.3561106945e-60
6.75e-07,-1.71132920141e-60
6.8e-07,-2.3336307292e-61
6.85e-07,2.9170384115e-62
6.9e-07,2.55240861006e-62
6.95e-07,3.64629801437e-63
7e-07,-9.11574503593e-64
7.05e-07,-3.7982270983e-64
7.1e-07,-9.49556774576e-65
7.15e-07,-1.42433516186e-65
7.2e-07,1.24629326663e-65
7.25e-07,2.67062842849e-66
7.3e-07,3.70920615069e-68
7.35e-07,0.0
7.4e-07,-4.40468230394e-68
7.45e-07,-1.62277769093e-68
7.5e-07,-2.02847211366e-69
7.55e-07,-1.59379951787e-69
7.6e-07,-1.99224939734e-70
7.65e-07,4.98062349335e-71
7.7e-07,-3.96185959699e-71
7.75e-07,-5.37680945305e-72
7.8e-07,7.07474928033e-73
7.85e-07,1.76868732008e-74
7.9e-07,4.86389013023e-74
7.95e-07,-1.54760140507e-74
8e-07,6.07986266279e-75
8.05e-07,2.2108591501e-75
8.1e-07,5.52714787526e-76
8.15e-07,-8.63616855509e-77
8.2e-07,-1.72723371102e-77
8.25e-07,8.0964080204e-78
8.3e-07,-1.34940133673e-78
8.35e-07,1.04578603597e-78
8.4e-07,1.0963885861e-79
8.45e-07,-3.79519125956e-80
8.5e-07,3.16265938297e-81
8.55e-07,6.06176381736e-81
8.6e-07,1.44955221719e-81
8.65e-07,1.15305290004e-82
8.7e-07,3.70624146442e-83
8.75e-07,-1.54426727684e-83
8.8e-07,1.80164515631e-84
8.85e-07,9.00822578157e-85
8.9e-07,1.28688939737e-85
8.95e-07,1.60861174671e-86
9e-07,1.40753527837e-86
9.05e-07,-7.5403675627e-87
9.1e-07,1.38240071983e-87
9.15e-07,-1.88509189067e-88
9.2e-07,-2.35636486334e-89
9.25e-07,1.5709099089e-89
9.3e-07,1.47272803959e-89
9.35e-07,2.45454673265e-90
9.4e-07,3.68182009897e-91
9.45e-07,-9.20455024743e-92
9.5e-07,2.68466048883e-92
9.55e-07,-1.24644951267e-92
9.6e-07,3.11612378168e-93
9.65e-07,1.1985091468e-94
9.7e-07,-2.6966455803e-94
9.75e-07,-7.49068216751e-95
9.8e-07,-9.36335270938e-96
9.85e-07,4.91576017243e-96
9.9e-07,-3.51125726602e-97
9.95e-07,2.92604772168e-98
1e-06,1.46302386084e-98
1.005e-06,1.09726789563e-98
1.01e-06,-1.37158486954e-99
1.015e-06,8.00091173898e-100
1.02e-06,-6.00068380423e-100
1.025e-06,-1.4287342391e-100
1.03e-06,0.0
1.035e-06,-2.2323972486e-102
1.04e-06,-1.00457876187e-102
1.045e-06,4.4647944972e-103
1.05e-06,-5.5809931215e-104
1.055e-06,3.13930863084e-104
1.06e-06,-1.4824512979e-104
1.065e-06,-8.72030175234e-106
1.07e-06,-8.72030175234e-106
1.075e-06,-2.72509429761e-107
1.08e-06,-1.1922287552e-106
1.085e-06,-1.7883431328e-107
1.09e-06,2.341877912e-108
1.095e-06,-1.06448996e-109
1.1e-06,-5.05632731001e-109
1.105e-06,-1.33061245e-110
1.11e-06,-2.49489834375e-110
1.115e-06,3.74234751563e-111
1.12e-06,-3.43048522266e-111
1.125e-06,-1.55931146485e-112
1.13e-06,-6.49713110353e-114
1.135e-06,2.43642416382e-113
1.14e-06,-4.06070693971e-114
1.145e-06,-1.62428277588e-114
1.15e-06,-1.52276510239e-115
1.155e-06,-1.52276510239e-115
1.16e-06,5.07588367463e-116
1.165e-06,3.17242729664e-117
1.17e-06,-3.17242729664e-117
1.175e-06,-3.4698423557e-118
1.18e-06,3.59376529698e-118
1.185e-06,5.57653235738e-119
1.19e-06,-4.64711029782e-120
1.195e-06,-1.93629595742e-120
1.2e-06,2.22674035104e-120
1.205e-06,9.68147978712e-122
1.21e-06,-1.21018497339e-122
1.215e-06,-1.66400433841e-122
1.22e-06,1.24800325381e-122
1.225e-06,8.50911309415e-124
1.23e-06,4.25455654708e-124
1.235e-06,1.77273189461e-125
1.24e-06,5.46592334173e-125
1.245e-06,-8.12502118365e-126
1.25e-06,0.0
1.255e-06,4.61648930889e-128
1.26e-06,-6.92473396334e-128
1.265e-06,1.44265290903e-128
1.27e-06,5.77061163612e-129
1.275e-06,-1.62298452266e-129
1.28e-06,3.1558032385e-130
1.285e-06,-7.88950809625e-131
1.29e-06,-4.22652219442e-131
1.295e-06,-3.24033368239e-131
1.3e-06,7.04420365737e-133
1.305e-06,1.05663054861e-132
1.31e-06,4.18249592156e-133
1.315e-06,-8.25492616098e-134
1.32e-06,1.78856733488e-134
1.325e-06,-2.40768679695e-135
1.33e-06,1.37582102683e-135
1.335e-06,-5.5892729215e-136
1.34e-06,1.28983221265e-136
1.345e-06,-2.68715044303e-138
1.35e-06,-6.71787610757e-139
1.355e-06,-1.5115221242e-138
1.36e-06,-2.51920354034e-139
1.365e-06,2.09933628361e-140
1.37e-06,4.46108960268e-140
1.375e-06,3.93625553178e-141
1.38e-06,2.13213841305e-141
1.385e-06,-4.10026617893e-142
1.39e-06,-1.84511978052e-142
1.395e-06,2.56266636183e-143
1.4e-06,0.0
1.405e-06,4.80499942844e-144
1.41e-06,-9.60999885688e-145
1.415e-06,2.00208309518e-145
1.42e-06,2.50260386898e-146
1.425e-06,1.62669251484e-146
1.43e-06,-2.18977838536e-147
1.435e-06,6.25650967245e-148
1.44e-06,-7.6251211633e-148
1.445e-06,-5.86547781792e-149
1.45e-06,7.3318472724e-150
1.455e-06,6.109872727e-151
1.46e-06,7.63734090875e-151
1.465e-06,6.49173977244e-151
1.47e-06,-4.77333806797e-152
1.475e-06,5.48933877816e-152
1.48e-06,1.55133487209e-152
1.485e-06,2.98333629248e-154
1.49e-06,-6.33958962152e-154
1.495e-06,3.7291703656e-155
1.5e-06,-4.1953166613e-155
1.505e-06,-1.16536573925e-156
1.51e-06,1.16536573925e-156
1.515e-06,4.37012152219e-157
1.52e-06,7.28353587031e-158
1.525e-06,-9.10441983789e-159
1.53e-06,-2.38991020745e-158
1.535e-06,0.0
1.54e-06,-8.53539359802e-160
1.545e-06,-7.11282799835e-161
1.55e-06,-1.24474489971e-160
1.555e-06,1.11137937474e-161
1.56e-06,6.66827624846e-162
1.565e-06,-5.55689687371e-163
1.57e-06,-1.25030179659e-162
1.575e-06,-1.82335678669e-163
1.58e-06,3.6901268302e-164
1.585e-06,-3.25599426194e-165
1.59e-06,-4.47699211017e-165
1.595e-06,-2.71332855162e-166
1.6e-06,5.08749103428e-167
1.605e-06,-1.27187275857e-167
1.61e-06,-2.2257773275e-167
1.615e-06,-2.64973491369e-168
1.62e-06,-3.97460237053e-169
1.625e-06,-1.82169275316e-169
1.63e-06,-2.89814756185e-170
1.635e-06,7.24536890462e-171
1.64e-06,-5.43402667846e-171
1.645e-06,-1.16443428824e-171
1.65e-06,5.1752635033e-172
1.655e-06,1.13208889135e-172
1.66e-06,3.23453968956e-173
1.665e-06,-3.53777778546e-174
1.67e-06,1.38984127286e-174
1.675e-06,-2.52698413247e-175
1.68e-06,-1.02658730382e-175
1.685e-06,-2.36904762419e-176
1.69e-06,1.23387897093e-176
1.695e-06,-2.96130953024e-177
1.7e-06,-3.7016369128e-178
1.705e-06,0.0
1.71e-06,9.63967946041e-179
1.715e-06,-3.85587178416e-180
1.72e-06,-4.33785575719e-180
1.725e-06,-1.0844639393e-180
1.73e-06,5.12107971334e-181
1.735e-06,1.88274989461e-182
1.74e-06,-9.41374947306e-184
1.745e-06,-5.17756221018e-183
1.75e-06,3.5301560524e-184
1.755e-06,4.70687473653e-184
1.76e-06,-1.47089835517e-184
1.765e-06,1.10317376637e-185
1.77e-06,1.24107048717e-185
1.775e-06,8.04397537981e-187
1.78e-06,2.87284834993e-187
1.785e-06,-3.95016648116e-187
1.79e-06,1.07731813122e-188
1.795e-06,1.5262006859e-188
1.8e-06,1.12220638669e-189
1.805e-06,-1.57108894137e-189
1.81e-06,4.2082739501e-191
1.815e-06,7.01378991683e-192
1.82e-06,8.76723739603e-193
1.825e-06,-7.89051365643e-192
1.83e-06,-1.26029037568e-192
1.835e-06,-1.91783318038e-193
1.84e-06,4.10964252939e-194
1.845e-06,-5.13705316174e-194
1.85e-06,2.14043881739e-195
1.855e-06,0.0
1.86e-06,-3.47821307826e-196
1.865e-06,-6.01998417391e-197
1.87e-06,1.67221782609e-198
1.875e-06,2.92638119565e-198
1.88e-06,-7.31595298913e-199
1.885e-06,-5.48696474185e-199
1.89e-06,1.56770421196e-199
1.895e-06,6.85870592731e-200
1.9e-06,-4.89907566236e-201
1.905e-06,4.49081935717e-201
1.91e-06,7.14448534095e-202
1.915e-06,0.0
1.92e-06,7.65480572244e-203
1.925e-06,1.91370143061e-203
1.93e-06,3.98687798044e-205
1.935e-06,-2.49179873777e-205
1.94e-06,4.98359747555e-206
1.945e-06,4.98359747555e-206
1.95e-06,1.55737421111e-206
1.955e-06,3.89343552777e-208
1.96e-06,-3.89343552777e-208
1.965e-06,-4.86679440972e-209
1.97e-06,-3.04174650607e-209
1.975e-06,-2.28130987955e-209
1.98e-06,-7.60436626518e-210
1.985e-06,-9.50545783148e-212
1.99e-06,2.85163734944e-211
1.995e-06,2.37636445787e-212
2e-06,5.94091114467e-212
2.005e-06,2.97045557234e-213
2.01e-06,7.42613893084e-214
2.015e-06,4.64133683178e-215
2.02e-06,-2.32066841589e-215
2.025e-06,2.90083551986e-216
2.03e-06,-2.68327285587e-215
2.035e-06,1.08781331995e-216
2.04e-06,1.08781331995e-216
2.045e-06,1.81302219991e-217
2.05e-06,5.09912493725e-218
2.055e-06,-1.69970831242e-218
2.06e-06,2.47874128894e-219
2.065e-06,1.7705294921e-220
2.07e-06,8.85264746051e-221
2.075e-06,2.04717472524e-220
2.08e-06,2.90477494798e-221
2.085e-06,4.14967849711e-222
2.09e-06,-3.45806541426e-223
2.095e-06,-8.64516353565e-223
2.1e-06,-3.02580723748e-223
2.105e-06,-4.8629044888e-224
2.11e-06,-1.48588748269e-224
2.115e-06,3.37701700611e-225
2.12e-06,3.79914413188e-226
2.125e-06,-1.05531781441e-226
2.13e-06,2.37446508242e-227
2.135e-06,-1.31914726801e-228
2.14e-06,2.96808135303e-228
2.145e-06,-3.29786817003e-229
2.15e-06,1.03058380314e-229
2.155e-06,-2.57645950784e-230
2.16e-06,2.83410545862e-230
2.165e-06,5.79703389264e-231
2.17e-06,9.6617231544e-232
2.175e-06,-8.051435962e-233
2.18e-06,-2.0128589905e-233
2.185e-06,-2.76768111194e-233
2.19e-06,6.29018434531e-235
2.195e-06,6.29018434531e-235
2.2e-06,3.93136521582e-236
2.205e-06,6.87988912768e-236
2.21e-06,1.96568260791e-236
2.215e-06,-8.5998614096e-237
2.22e-06,1.22855162994e-237
2.225e-06,-2.30353430614e-238
2.23e-06,-6.71864172625e-239
2.235e-06,4.79902980447e-239
2.24e-06,1.19975745112e-239
2.245e-06,5.39890853002e-240
2.25e-06,-1.04978776973e-240
2.255e-06,-3.74924203474e-241
2.26e-06,6.56117356079e-242
2.265e-06,1.17163813586e-243
2.27e-06,7.3227383491e-243
2.275e-06,5.12591684437e-244
2.28e-06,2.56295842218e-244
2.285e-06,1.83068458727e-245
2.29e-06,9.15342293637e-246
2.295e-06,-2.28835573409e-246
2.3e-06,-1.71626680057e-246
2.305e-06,4.29066700143e-247
2.31e-06,5.36333375178e-248
2.315e-06,-2.23472239658e-249
2.32e-06,-1.67604179743e-249
2.325e-06,2.93307314551e-249
2.33e-06,1.39670149786e-250
2.335e-06,-3.49175374465e-251
2.34e-06,-3.92822296273e-251
2.345e-06,1.0911730452e-252
2.35e-06,5.45586522602e-252
2.355e-06,1.0911730452e-252
2.36e-06,-1.70495788313e-254
2.365e-06,-9.803507828e-254
2.37e-06,-1.70495788313e-254
2.375e-06,-3.72959536935e-255
2.38e-06,-9.32398842337e-256
2.385e-06,1.66499793274e-257
2.39e-06,-7.49249069735e-257
2.395e-06,-4.16249483186e-258
2.4e-06,-4.16249483186e-258
2.405e-06,-5.20311853982e-259
2.41e-06,-3.25194908739e-260
2.415e-06,0.0
2.42e-06,-2.03246817962e-260
2.425e-06,1.27029261226e-260
2.43e-06,-4.06493635924e-261
2.435e-06,-1.27029261226e-262
2.44e-06,-4.76359729598e-263
2.445e-06,2.77876508932e-263
2.45e-06,-1.98483220666e-264
2.455e-06,-9.9241610333e-265
2.46e-06,-1.42659814854e-264
2.465e-06,-1.55065016145e-266
2.47e-06,-5.81493810545e-266
2.475e-06,-2.32597524218e-266
2.48e-06,1.45373452636e-267
2.485e-06,8.48011807044e-268
2.49e-06,-6.05722719317e-268
2.495e-06,2.42289087727e-268
2.5e-06,0.0
