wavelength,k
6.67e-16,2.3306224
7.14e-16,2.7919609
7.69e-16,3.2384897
8.33e-16,3.7362305
9.09e-16,4.2736932
1e-15,4.8873028
1.05e-15,5.2167868
1.11e-15,5.5894492
1.18e-15,6.0121558
1.25e-15,6.4776281
1.33e-15,7.0171487
1.43e-15,7.6548582
1.54e-15,8.3686838
1.67e-15,9.1771344
1.82e-15,10.114648
2e-15,11.243595
2.11e-15,11.896174
2.22e-15,12.595572
2.35e-15,13.363144
2.5e-15,14.23958
2.67e-15,15.240124
2.86e-15,16.359682
3.08e-15,17.640057
3.33e-15,19.120563
3.64e-15,20.845754
4e-15,22.915456
4.44e-15,25.461819
5e-15,28.57704
5.71e-15,32.510917
6.67e-15,37.643719
8e-15,44.613332
1e-14,54.673721
1.11e-14,59.926459
1.25e-14,66.350003
1.43e-14,73.949845
1.67e-14,82.79423
2e-14,93.122866
2.22e-14,98.921392
2.5e-14,105.16669
2.86e-14,111.86857
3.33e-14,119.08288
4e-14,127.08528
4.44e-14,131.63028
5e-14,136.82885
5.71e-14,143.08774
6.67e-14,151.08524
8e-14,161.9815
1e-13,177.86128
1.25e-13,196.87085
