wavelength,n
6.67e-16,1.4478379
7.14e-16,1.2685432
7.69e-16,1.1466787
8.33e-16,1.073087
9.09e-16,1.0150307
1e-15,0.9821499
1.05e-15,0.96032
1.11e-15,0.9253053
1.18e-15,0.9012078
1.25e-15,0.8740663
1.33e-15,0.8414308
1.43e-15,0.8354757
1.54e-15,0.8564461
1.67e-15,0.9019896
1.82e-15,0.960826
2e-15,1.0326738
2.11e-15,1.1067824
2.22e-15,1.192353
2.35e-15,1.2678805
2.5e-15,1.3499202
2.67e-15,1.4802727
2.86e-15,1.6348171
3.08e-15,1.8209204
3.33e-15,2.0587589
3.64e-15,2.3469537
4e-15,2.6799222
4.44e-15,3.1932058
5e-15,3.9020861
5.71e-15,4.9008382
6.67e-15,6.4122619
8e-15,8.7691085
1e-14,12.931507
1.11e-14,15.61576
1.25e-14,19.058763
1.43e-14,24.23852
1.67e-14,31.493393
2e-14,41.721911
2.22e-14,48.392026
2.5e-14,56.42849
2.86e-14,66.1388
3.33e-14,77.867703
4e-14,92.016211
4.44e-14,100.17673
5e-14,109.23359
5.71e-14,119.43744
6.67e-14,131.25365
8e-14,145.5884
1e-13,164.07966
1.25e-13,184.49663
