wavelength,n
2.36e-18,0.99639
3.16e-18,0.9953
4.47e-18,0.99054
6.76e-18,0.9815
1.14e-17,0.9613
1.355e-17,0.9436
1.714e-17,0.886
2.43e-17,0.861
2.563e-17,0.868
3.038e-17,0.892
3.27e-17,0.964
3.568e-17,0.922
3.793e-17,0.903
4.059e-17,0.854
4.478e-17,0.83
4.607e-17,0.812
4.895e-17,0.811
5.391e-17,0.768
5.843e-17,0.73
6.163e-17,0.79
6.714e-17,0.762
7.185e-17,0.79
7.359e-17,0.83
7.437e-17,0.78
8.345e-17,0.851
8.78e-17,0.917
9.198e-17,0.977
9.321e-17,0.971
9.888e-17,0.996
1.0258e-16,1.05
1.0482e-16,1.09
1.0667e-16,1.06
1.0857e-16,1.25
1.135e-16,1.29
1.2007e-16,1.39
1.2157e-16,1.23
