wavelength,k
3.5e-16,0.000655
3.52e-16,0.000637
3.54e-16,0.000619
3.56e-16,0.000602
3.58e-16,0.000585
3.6e-16,0.000569
3.62e-16,0.000553
3.64e-16,0.000538
3.66e-16,0.000523
3.68e-16,0.000509
3.7e-16,0.000495
3.72e-16,0.000482
3.74e-16,0.000468
3.76e-16,0.000456
3.78e-16,0.000443
3.8e-16,0.000431
3.82e-16,0.000419
3.84e-16,0.000408
3.86e-16,0.000397
3.88e-16,0.000386
3.9e-16,0.000376
3.92e-16,0.000365
3.94e-16,0.000355
3.96e-16,0.000346
3.98e-16,0.000336
4e-16,0.000327
4.02e-16,0.000318
4.04e-16,0.000309
4.06e-16,0.000301
4.08e-16,0.000292
4.1e-16,0.000284
4.12e-16,0.000276
4.14e-16,0.000269
4.16e-16,0.000261
4.18e-16,0.000254
4.2e-16,0.000247
4.22e-16,0.00024
4.24e-16,0.000233
4.26e-16,0.000226
4.28e-16,0.00022
4.3e-16,0.000214
4.32e-16,0.000207
4.34e-16,0.000201
4.36e-16,0.000196
4.38e-16,0.00019
4.4e-16,0.000184
4.42e-16,0.000179
4.44e-16,0.000173
4.46e-16,0.000168
4.48e-16,0.000163
4.5e-16,0.000158
4.52e-16,0.000153
4.54e-16,0.000149
4.56e-16,0.000144
4.58e-16,0.00014
4.6e-16,0.000135
4.62e-16,0.000131
4.64e-16,0.000127
4.66e-16,0.000123
4.68e-16,0.000119
4.7e-16,0.000115
4.72e-16,0.000111
4.74e-16,0.000108
4.76e-16,0.000104
4.78e-16,0.0001
4.8e-16,0.0001
4.82e-16,9.4e-05
4.84e-16,9e-05
4.86e-16,8.7e-05
4.88e-16,8.4e-05
4.9e-16,8.1e-05
4.92e-16,7.8e-05
4.94e-16,7.5e-05
4.96e-16,7.3e-05
4.98e-16,7e-05
5e-16,6.7e-05
5.02e-16,6.5e-05
5.04e-16,6.2e-05
5.06e-16,6e-05
5.08e-16,5.7e-05
5.1e-16,5.5e-05
5.12e-16,5.3e-05
5.14e-16,5.1e-05
5.16e-16,4.8e-05
5.18e-16,4.6e-05
5.2e-16,4.4e-05
5.22e-16,4.2e-05
5.24e-16,4.1e-05
5.26e-16,3.9e-05
5.28e-16,3.7e-05
5.3e-16,3.5e-05
5.32e-16,3.3e-05
5.34e-16,3.2e-05
5.36e-16,3e-05
5.38e-16,2.9e-05
5.4e-16,2.7e-05
5.42e-16,2.6e-05
5.44e-16,2.4e-05
5.46e-16,2.3e-05
5.48e-16,2.2e-05
5.5e-16,2.1e-05
5.52e-16,1.9e-05
5.54e-16,1.8e-05
5.56e-16,1.7e-05
5.58e-16,1.6e-05
5.6e-16,1.5e-05
5.62e-16,1.4e-05
5.64e-16,1.3e-05
5.66e-16,1.2e-05
5.68e-16,1.1e-05
5.7e-16,1e-05
5.72e-16,9e-06
5.74e-16,9e-06
5.76e-16,8e-06
5.78e-16,7e-06
5.8e-16,7e-06
5.82e-16,6e-06
5.84e-16,5e-06
5.86e-16,5e-06
5.88e-16,4e-06
5.9e-16,4e-06
5.92e-16,3e-06
5.94e-16,3e-06
5.96e-16,3e-06
5.98e-16,2e-06
6e-16,2e-06
6.02e-16,1e-06
6.04e-16,1e-06
6.06e-16,1e-06
6.08e-16,1e-06
6.1e-16,1e-06
6.12e-16,0.0
6.14e-16,0.0
6.16e-16,0.0
6.18e-16,0.0
6.2e-16,0.0
6.22e-16,0.0
6.24e-16,0.0
6.26e-16,0.0
6.28e-16,0.0
6.3e-16,0.0
6.32e-16,0.0
6.34e-16,0.0
6.36e-16,0.0
6.38e-16,0.0
6.4e-16,0.0
6.42e-16,0.0
6.44e-16,0.0
6.46e-16,0.0
6.48e-16,0.0
6.5e-16,0.0
6.52e-16,0.0
6.54e-16,0.0
6.56e-16,0.0
6.58e-16,0.0
6.6e-16,0.0
6.62e-16,0.0
6.64e-16,0.0
6.66e-16,0.0
6.68e-16,0.0
6.7e-16,0.0
6.72e-16,0.0
6.74e-16,0.0
6.76e-16,0.0
6.78e-16,0.0
6.8e-16,0.0
6.82e-16,0.0
6.84e-16,0.0
6.86e-16,0.0
6.88e-16,0.0
6.9e-16,0.0
6.92e-16,0.0
6.94e-16,0.0
6.96e-16,0.0
6.98e-16,0.0
7e-16,0.0
7.02e-16,0.0
7.04e-16,0.0
7.06e-16,0.0
7.08e-16,0.0
7.1e-16,0.0
7.12e-16,0.0
7.14e-16,0.0
7.16e-16,0.0
7.18e-16,0.0
7.2e-16,0.0
7.22e-16,0.0
7.24e-16,0.0
7.26e-16,0.0
7.28e-16,0.0
7.3e-16,0.0
7.32e-16,0.0
7.34e-16,0.0
7.36e-16,0.0
7.38e-16,0.0
7.4e-16,0.0
7.42e-16,0.0
7.44e-16,0.0
7.46e-16,0.0
7.48e-16,0.0
7.5e-16,0.0
7.52e-16,0.0
7.54e-16,0.0
7.56e-16,0.0
7.58e-16,0.0
7.6e-16,0.0
7.62e-16,0.0
7.64e-16,0.0
7.66e-16,0.0
7.68e-16,0.0
7.7e-16,0.0
7.72e-16,0.0
7.74e-16,0.0
7.76e-16,0.0
7.78e-16,0.0
7.8e-16,0.0
7.82e-16,0.0
7.84e-16,0.0
7.86e-16,0.0
7.88e-16,0.0
7.9e-16,0.0
7.92e-16,0.0
7.94e-16,0.0
7.96e-16,0.0
7.98e-16,0.0
8e-16,0.0
8.02e-16,0.0
8.04e-16,0.0
8.06e-16,0.0
8.08e-16,0.0
8.1e-16,0.0
8.12e-16,0.0
8.14e-16,0.0
8.16e-16,0.0
8.18e-16,0.0
8.2e-16,0.0
8.22e-16,0.0
8.24e-16,0.0
8.26e-16,0.0
8.28e-16,0.0
8.3e-16,0.0
8.32e-16,0.0
8.34e-16,0.0
8.36e-16,0.0
8.38e-16,0.0
8.4e-16,0.0
8.42e-16,0.0
8.44e-16,0.0
8.46e-16,0.0
8.48e-16,0.0
8.5e-16,0.0
8.52e-16,0.0
8.54e-16,0.0
8.56e-16,0.0
8.58e-16,0.0
8.6e-16,0.0
8.62e-16,0.0
8.64e-16,0.0
8.66e-16,0.0
8.68e-16,0.0
8.7e-16,0.0
8.72e-16,0.0
8.74e-16,0.0
8.76e-16,0.0
8.78e-16,0.0
8.8e-16,0.0
8.82e-16,0.0
8.84e-16,0.0
8.86e-16,0.0
8.88e-16,0.0
8.9e-16,0.0
8.92e-16,0.0
8.94e-16,0.0
8.96e-16,0.0
8.98e-16,0.0
9e-16,0.0
9.02e-16,0.0
9.04e-16,0.0
9.06e-16,0.0
9.08e-16,0.0
9.1e-16,0.0
9.12e-16,0.0
9.14e-16,0.0
9.16e-16,0.0
9.18e-16,0.0
9.2e-16,0.0
9.22e-16,0.0
9.24e-16,0.0
9.26e-16,0.0
9.28e-16,0.0
9.3e-16,0.0
9.32e-16,0.0
9.34e-16,0.0
9.36e-16,0.0
9.38e-16,0.0
9.4e-16,0.0
9.42e-16,0.0
9.44e-16,0.0
9.46e-16,0.0
9.48e-16,0.0
9.5e-16,0.0
9.52e-16,0.0
9.54e-16,0.0
9.56e-16,0.0
9.58e-16,0.0
9.6e-16,0.0
9.62e-16,0.0
9.64e-16,0.0
9.66e-16,0.0
9.68e-16,0.0
9.7e-16,0.0
9.72e-16,0.0
9.74e-16,0.0
9.76e-16,0.0
9.78e-16,0.0
9.8e-16,0.0
9.82e-16,0.0
9.84e-16,0.0
9.86e-16,0.0
9.88e-16,0.0
9.9e-16,0.0
9.92e-16,0.0
9.94e-16,0.0
9.96e-16,0.0
9.98e-16,0.0
1e-15,0.0
1.002e-15,0.0
1.004e-15,0.0
1.006e-15,0.0
1.008e-15,0.0
1.01e-15,0.0
1.012e-15,0.0
1.014e-15,0.0
1.016e-15,0.0
1.018e-15,0.0
1.02e-15,0.0
1.022e-15,0.0
1.024e-15,0.0
1.026e-15,0.0
1.028e-15,0.0
1.03e-15,0.0
1.032e-15,0.0
1.034e-15,0.0
1.036e-15,0.0
1.038e-15,0.0
1.04e-15,0.0
1.042e-15,0.0
1.044e-15,0.0
1.046e-15,0.0
1.048e-15,0.0
1.05e-15,0.0
1.052e-15,0.0
1.054e-15,0.0
1.056e-15,0.0
1.058e-15,0.0
1.06e-15,0.0
1.062e-15,0.0
1.064e-15,0.0
1.066e-15,0.0
1.068e-15,0.0
1.07e-15,0.0
1.072e-15,0.0
1.074e-15,0.0
1.076e-15,0.0
1.078e-15,0.0
1.08e-15,0.0
1.082e-15,0.0
1.084e-15,0.0
1.086e-15,0.0
1.088e-15,0.0
1.09e-15,0.0
1.092e-15,0.0
1.094e-15,0.0
1.096e-15,0.0
1.098e-15,0.0
1.1e-15,0.0
1.102e-15,0.0
1.104e-15,0.0
1.106e-15,0.0
1.108e-15,0.0
1.11e-15,0.0
1.112e-15,0.0
1.114e-15,0.0
1.116e-15,0.0
1.118e-15,0.0
1.12e-15,0.0
1.122e-15,0.0
1.124e-15,0.0
1.126e-15,0.0
1.128e-15,0.0
1.13e-15,0.0
1.132e-15,0.0
1.134e-15,0.0
1.136e-15,0.0
1.138e-15,0.0
1.14e-15,0.0
1.142e-15,0.0
1.144e-15,0.0
1.146e-15,0.0
1.148e-15,0.0
1.15e-15,0.0
1.152e-15,0.0
1.154e-15,0.0
1.156e-15,0.0
1.158e-15,0.0
1.16e-15,0.0
1.162e-15,0.0
1.164e-15,0.0
1.166e-15,0.0
1.168e-15,0.0
1.17e-15,0.0
1.172e-15,0.0
1.174e-15,0.0
1.176e-15,0.0
1.178e-15,0.0
1.18e-15,0.0
1.182e-15,0.0
1.184e-15,0.0
1.186e-15,0.0
1.188e-15,0.0
1.19e-15,0.0
1.192e-15,0.0
1.194e-15,0.0
1.196e-15,0.0
1.198e-15,0.0
1.2e-15,0.0
1.202e-15,0.0
1.204e-15,0.0
1.206e-15,0.0
1.208e-15,0.0
1.21e-15,0.0
1.212e-15,0.0
1.214e-15,0.0
1.216e-15,0.0
1.218e-15,0.0
1.22e-15,0.0
1.222e-15,0.0
1.224e-15,0.0
1.226e-15,0.0
1.228e-15,0.0
1.23e-15,0.0
1.232e-15,0.0
1.234e-15,0.0
1.236e-15,0.0
1.238e-15,0.0
1.24e-15,0.0
1.242e-15,0.0
1.244e-15,0.0
1.246e-15,0.0
1.248e-15,0.0
1.25e-15,0.0
1.252e-15,0.0
1.254e-15,0.0
1.256e-15,0.0
1.258e-15,0.0
1.26e-15,0.0
1.262e-15,0.0
1.264e-15,0.0
1.266e-15,0.0
1.268e-15,0.0
1.27e-15,0.0
1.272e-15,0.0
1.274e-15,0.0
1.276e-15,0.0
1.278e-15,0.0
1.28e-15,0.0
1.282e-15,0.0
1.284e-15,0.0
1.286e-15,0.0
1.288e-15,0.0
1.29e-15,0.0
1.292e-15,0.0
1.294e-15,0.0
1.296e-15,0.0
1.298e-15,0.0
1.3e-15,0.0
1.302e-15,0.0
1.304e-15,0.0
1.306e-15,0.0
1.308e-15,0.0
1.31e-15,0.0
1.312e-15,0.0
1.314e-15,0.0
1.316e-15,0.0
1.318e-15,0.0
1.32e-15,0.0
1.322e-15,0.0
1.324e-15,0.0
1.326e-15,0.0
1.328e-15,0.0
1.33e-15,0.0
1.332e-15,0.0
1.334e-15,0.0
1.336e-15,0.0
1.338e-15,0.0
1.34e-15,0.0
1.342e-15,0.0
1.344e-15,0.0
1.346e-15,0.0
1.348e-15,0.0
1.35e-15,0.0
1.352e-15,0.0
1.354e-15,0.0
1.356e-15,0.0
1.358e-15,0.0
1.36e-15,0.0
1.362e-15,0.0
1.364e-15,0.0
1.366e-15,0.0
1.368e-15,0.0
1.37e-15,0.0
1.372e-15,0.0
1.374e-15,0.0
1.376e-15,0.0
1.378e-15,0.0
1.38e-15,0.0
1.382e-15,0.0
1.384e-15,0.0
1.386e-15,0.0
1.388e-15,0.0
1.39e-15,0.0
1.392e-15,0.0
1.394e-15,0.0
1.396e-15,0.0
1.398e-15,0.0
1.4e-15,0.0
1.402e-15,0.0
1.404e-15,0.0
1.406e-15,0.0
1.408e-15,0.0
1.41e-15,0.0
1.412e-15,0.0
1.414e-15,0.0
1.416e-15,0.0
1.418e-15,0.0
1.42e-15,0.0
1.422e-15,0.0
1.424e-15,0.0
1.426e-15,0.0
1.428e-15,0.0
1.43e-15,0.0
1.432e-15,0.0
1.434e-15,0.0
1.436e-15,0.0
1.438e-15,0.0
1.44e-15,0.0
1.442e-15,0.0
1.444e-15,0.0
1.446e-15,0.0
1.448e-15,0.0
1.45e-15,0.0
1.452e-15,0.0
1.454e-15,0.0
1.456e-15,0.0
1.458e-15,0.0
1.46e-15,0.0
1.462e-15,0.0
1.464e-15,0.0
1.466e-15,0.0
1.468e-15,0.0
1.47e-15,0.0
1.472e-15,0.0
1.474e-15,0.0
1.476e-15,0.0
1.478e-15,0.0
1.48e-15,0.0
1.482e-15,0.0
1.484e-15,0.0
1.486e-15,0.0
1.488e-15,0.0
1.49e-15,0.0
1.492e-15,0.0
1.494e-15,0.0
1.496e-15,0.0
1.498e-15,0.0
1.5e-15,0.0
1.502e-15,0.0
1.504e-15,0.0
1.506e-15,0.0
1.508e-15,0.0
1.51e-15,0.0
1.512e-15,0.0
1.514e-15,0.0
1.516e-15,0.0
1.518e-15,0.0
1.52e-15,0.0
1.522e-15,0.0
1.524e-15,0.0
1.526e-15,0.0
1.528e-15,0.0
1.53e-15,0.0
1.532e-15,0.0
1.534e-15,0.0
1.536e-15,0.0
1.538e-15,0.0
1.54e-15,0.0
1.542e-15,0.0
1.544e-15,0.0
1.546e-15,0.0
1.548e-15,0.0
1.55e-15,0.0
1.552e-15,0.0
1.554e-15,0.0
1.556e-15,0.0
1.558e-15,0.0
1.56e-15,0.0
1.562e-15,0.0
1.564e-15,0.0
1.566e-15,0.0
1.568e-15,0.0
1.57e-15,0.0
1.572e-15,0.0
1.574e-15,0.0
1.576e-15,0.0
