wavelength,n
3.5e-07,2.317048
3.52e-07,2.313395
3.54e-07,2.309832
3.56e-07,2.306355
3.58e-07,2.302962
3.6e-07,2.299649
3.62e-07,2.296414
3.64e-07,2.293255
3.66e-07,2.290169
3.68e-07,2.287153
3.7e-07,2.284205
3.72e-07,2.281324
3.74e-07,2.278507
3.76e-07,2.275751
3.78e-07,2.273056
3.8e-07,2.270419
3.82e-07,2.267838
3.84e-07,2.265313
3.86e-07,2.26284
3.88e-07,2.260419
3.9e-07,2.258048
3.92e-07,2.255726
3.94e-07,2.253451
3.96e-07,2.251222
3.98e-07,2.249037
4e-07,2.246896
4.02e-07,2.244797
4.04e-07,2.242739
4.06e-07,2.24072
4.08e-07,2.238741
4.1e-07,2.236799
4.12e-07,2.234894
4.14e-07,2.233025
4.16e-07,2.23119
4.18e-07,2.22939
4.2e-07,2.227622
4.22e-07,2.225887
4.24e-07,2.224183
4.26e-07,2.22251
4.28e-07,2.220867
4.3e-07,2.219252
4.32e-07,2.217666
4.34e-07,2.216108
4.36e-07,2.214577
4.38e-07,2.213072
4.4e-07,2.211593
4.42e-07,2.210139
4.44e-07,2.208709
4.46e-07,2.207304
4.48e-07,2.205921
4.5e-07,2.204562
4.52e-07,2.203225
4.54e-07,2.20191
4.56e-07,2.200616
4.58e-07,2.199343
4.6e-07,2.198091
4.62e-07,2.196858
4.64e-07,2.195645
4.66e-07,2.194451
4.68e-07,2.193275
4.7e-07,2.192118
4.72e-07,2.190979
4.74e-07,2.189857
4.76e-07,2.188752
4.78e-07,2.187664
4.8e-07,2.186592
4.82e-07,2.185537
4.84e-07,2.184497
4.86e-07,2.183473
4.88e-07,2.182463
4.9e-07,2.181469
4.92e-07,2.180489
4.94e-07,2.179523
4.96e-07,2.178571
4.98e-07,2.177633
5e-07,2.176708
5.02e-07,2.175796
5.04e-07,2.174897
5.06e-07,2.17401
5.08e-07,2.173136
5.1e-07,2.172274
5.12e-07,2.171424
5.14e-07,2.170586
5.16e-07,2.169759
5.18e-07,2.168943
5.2e-07,2.168138
5.22e-07,2.167345
5.24e-07,2.166561
5.26e-07,2.165788
5.28e-07,2.165026
5.3e-07,2.164273
5.32e-07,2.16353
5.34e-07,2.162797
5.36e-07,2.162074
5.38e-07,2.16136
5.4e-07,2.160655
5.42e-07,2.159959
5.44e-07,2.159272
5.46e-07,2.158593
5.48e-07,2.157923
5.5e-07,2.157262
5.52e-07,2.156609
5.54e-07,2.155964
5.56e-07,2.155327
5.58e-07,2.154697
5.6e-07,2.154076
5.62e-07,2.153462
5.64e-07,2.152856
5.66e-07,2.152256
5.68e-07,2.151665
5.7e-07,2.15108
5.72e-07,2.150502
5.74e-07,2.149931
5.76e-07,2.149367
5.78e-07,2.148809
5.8e-07,2.148258
5.82e-07,2.147714
5.84e-07,2.147175
5.86e-07,2.146643
5.88e-07,2.146118
5.9e-07,2.145598
5.92e-07,2.145084
5.94e-07,2.144576
5.96e-07,2.144074
5.98e-07,2.143577
6e-07,2.143086
6.02e-07,2.142601
6.04e-07,2.142121
6.06e-07,2.141646
6.08e-07,2.141177
6.1e-07,2.140712
6.12e-07,2.140253
6.14e-07,2.139799
6.16e-07,2.13935
6.18e-07,2.138906
6.2e-07,2.138466
6.22e-07,2.138032
6.24e-07,2.137602
6.26e-07,2.137176
6.28e-07,2.136755
6.3e-07,2.136339
6.32e-07,2.135927
6.34e-07,2.13552
6.36e-07,2.135116
6.38e-07,2.134717
6.4e-07,2.134322
6.42e-07,2.133931
6.44e-07,2.133545
6.46e-07,2.133162
6.48e-07,2.132783
6.5e-07,2.132408
6.52e-07,2.132037
6.54e-07,2.131669
6.56e-07,2.131306
6.58e-07,2.130946
6.6e-07,2.130589
6.62e-07,2.130236
