wavelength,k
1.88e-16,1.62
1.92e-16,1.64
1.95e-16,1.66
1.99e-16,1.68
2.03e-16,1.69
2.07e-16,1.69
2.12e-16,1.68
2.16e-16,1.67
2.21e-16,1.66
2.26e-16,1.66
2.31e-16,1.68
2.37e-16,1.72
2.43e-16,1.77
2.49e-16,1.83
2.55e-16,1.91
2.62e-16,1.99
2.69e-16,2.07
2.76e-16,2.17
2.84e-16,2.26
2.92e-16,2.36
3.01e-16,2.46
3.11e-16,2.57
3.2e-16,2.66
3.32e-16,2.74
3.42e-16,2.82
3.54e-16,2.87
3.68e-16,2.9
3.81e-16,2.93
3.97e-16,2.95
4.13e-16,2.98
4.31e-16,3.01
4.51e-16,3.04
4.71e-16,3.1
4.96e-16,3.19
5.21e-16,3.3
5.49e-16,3.43
5.82e-16,3.58
6.17e-16,3.72
6.59e-16,3.84
7.04e-16,3.96
7.56e-16,4.01
8.21e-16,4.01
8.92e-16,3.96
9.84e-16,3.97
1.088e-15,4.02
1.216e-15,4.15
1.393e-15,4.37
1.61e-15,4.7
1.937e-15,5.19
