wavelength,n
4e-16,1.71
4.2e-16,1.73
4.4e-16,1.89
4.6e-16,1.92
4.8e-16,2.03
5e-16,2.1
5.2e-16,2.19
5.4e-16,2.22
5.6e-16,2.27
5.7e-16,2.31
5.9e-16,2.36
6.1e-16,2.42
6.35e-16,2.49
6.55e-16,2.55
6.75e-16,2.6
7e-16,2.67
7.2e-16,2.73
7.4e-16,2.78
7.65e-16,2.83
7.85e-16,2.91
8.1e-16,2.98
8.3e-16,3.06
8.55e-16,3.13
8.75e-16,3.18
8.95e-16,3.24
9.2e-16,3.3
9.4e-16,3.34
9.6e-16,3.4
9.8e-16,3.42
1.2e-15,3.3
1.5e-15,3.54
1.8e-15,3.89
2e-15,4.03
2.25e-15,4.02
2.5e-15,3.96
3e-15,3.65
3.5e-15,3.35
4e-15,3.31
4.5e-15,3.36
5e-15,3.44
5.5e-15,3.57
6e-15,3.8
7e-15,4.56
8e-15,5.81
9e-15,7.27
1e-14,9.09
