wavelength,n
6.67e-16,2.370432
7.14e-16,2.5658703
7.69e-16,2.8061078
8.33e-16,3.1079186
9.09e-16,3.3065327
1e-15,3.3957928
1.05e-15,3.4440424
1.11e-15,3.5179021
1.18e-15,3.6009322
1.25e-15,3.698148
1.33e-15,3.8097162
1.43e-15,3.9419174
1.54e-15,4.0126191
1.67e-15,4.2746437
1.82e-15,4.4682212
2e-15,4.6752372
2.11e-15,4.7311251
2.22e-15,4.7418094
2.35e-15,4.6520327
2.5e-15,4.364761
2.67e-15,3.8144105
2.86e-15,3.0649496
3.08e-15,2.4004043
3.33e-15,2.3943002
3.64e-15,2.5809283
4e-15,2.7313635
4.44e-15,2.8327334
5e-15,2.3660792
5.71e-15,2.1867059
6.67e-15,2.4841185
8e-15,3.2048691
1e-14,4.0715739
1.11e-14,4.5921948
1.25e-14,5.29318
1.43e-14,6.2397504
1.67e-14,7.5817542
2e-14,9.6744916
2.22e-14,11.217047
2.5e-14,13.29969
2.86e-14,16.284041
3.33e-14,20.880752
4e-14,27.169229
4.44e-14,31.260311
5e-14,36.217641
5.71e-14,42.303853
6.67e-14,49.906684
8e-14,59.644857
1e-13,72.530316
1.25e-13,86.399911
1.54e-13,100.49717
2e-13,119.99544
